0:42:01.413395,0,0,22929194
0:46:29.967087,10,10,22929107
0:50:56.697963,20,20,22928945
0:55:32.421403,30,30,22928434
1:00:21.347637,40,40,22928148
1:05:07.654418,50,50,22927990
1:09:49.819978,60,100,22927002
1:14:33.466294,70,150,22926052
1:19:22.981131,80,200,22924951
1:24:20.348334,90,250,22924652
1:29:22.708905,100,300,22923703
1:34:21.982938,110,550,22920789
1:39:31.059177,120,800,22917088
1:44:49.806097,130,1050,22909878
1:50:05.715523,140,1300,22905246
1:55:27.546480,150,1550,22896919
2:00:57.546857,160,2050,22884071
2:06:29.585587,170,2550,22867132
2:12:17.682109,180,3050,22851208
2:18:02.981646,190,3550,22831888
2:23:50.587083,200,4050,22817438
0:01:29.503511,0,0,22929194
0:05:32.545500,10,10,22929107
0:09:28.926168,20,20,22928945
0:13:39.692618,30,30,22928434
0:17:43.947618,40,40,22928148
0:21:50.600338,50,50,22927990
0:26:01.831908,60,100,22927002
0:30:25.397509,70,150,22926052
0:34:45.113832,80,200,22924951
0:38:59.676939,90,250,22924652
0:43:23.803908,100,300,22923703
0:47:56.864669,110,550,22920789
0:52:32.617391,120,800,22917088
0:57:07.331383,130,1050,22909878
1:01:44.690383,140,1300,22905246
1:06:38.373086,150,1550,22896920
1:11:28.746540,160,2050,22884071
1:16:31.744485,170,2550,22867663
1:21:49.812752,180,3050,22851195
1:27:17.477264,190,3550,22831888
1:32:47.872865,200,4050,22817438
