0:44:40.004665,0,0,22929194
0:49:27.887330,10,500,22914278
0:54:46.558914,20,1000,22899855
1:00:25.650093,30,1500,22886222
1:06:07.316728,40,2000,22872417
1:12:01.559069,50,2500,22858415
1:18:16.542064,60,3000,22843785
1:25:08.428052,70,3500,22829105
1:32:17.648592,80,4000,22815093
1:39:27.340716,90,4500,22800311
0:01:24.956358,0,0,22929194
0:06:00.824048,10,500,22915805
0:10:49.000966,20,1000,22901286
0:15:42.385183,30,1500,22886560
0:20:42.746373,40,2000,22871562
0:25:39.771545,50,2500,22857179
0:30:43.476991,60,3000,22843087
0:35:44.969173,70,3500,22828345
0:41:06.497466,80,4000,22814225
0:46:36.814483,90,4500,22800465
