o_node,d_node,origin,destination,travel_time,iteration,edge_type
1602-0-4-58,1068-0-99-99,1602,1068,135.0,0,Streetcar Route
1606-0-4-58,1068-0-99-99,1606,1068,116.0,0,Streetcar Route
1483-0-4-58,1070-0-99-99,1483,1070,110.0,0,Streetcar Route
1510-0-4-58,1076-0-99-99,1510,1076,119.0,0,Streetcar Route
1600-0-4-58,1076-0-99-99,1600,1076,125.0,0,Streetcar Route
1039-0-4-58,1078-0-99-99,1039,1078,44.0,0,Streetcar Route
1524-0-4-58,1078-0-99-99,1524,1078,118.0,0,Streetcar Route
1562-0-4-58,1078-0-99-99,1562,1078,160.0,0,Streetcar Route
1365-0-4-58,1080-0-99-99,1365,1080,91.0,0,Streetcar Route
1143-0-4-58,1085-0-99-99,1143,1085,93.0,0,Streetcar Route
1513-0-4-58,1090-0-99-99,1513,1090,120.0,0,Streetcar Route
1132-0-4-58,1104-0-99-99,1132,1104,53.0,0,Streetcar Route
1389-0-4-58,1113-0-99-99,1389,1113,117.0,0,Streetcar Route
1286-0-4-58,1114-0-99-99,1286,1114,51.0,0,Streetcar Route
1022-0-4-58,1116-0-99-99,1022,1116,39.0,0,Streetcar Route
1400-0-4-58,1118-0-99-99,1400,1118,110.0,0,Streetcar Route
1116-0-4-58,1124-0-99-99,1116,1124,26.0,0,Streetcar Route
1412-0-4-58,1139-0-99-99,1412,1139,92.0,0,Streetcar Route
1524-0-4-58,1141-0-99-99,1524,1141,129.0,0,Streetcar Route
1046-0-4-58,1142-0-99-99,1046,1142,80.0,0,Streetcar Route
1130-0-4-58,1145-0-99-99,1130,1145,35.0,0,Streetcar Route
1153-0-4-58,1146-0-99-99,1153,1146,77.0,0,Streetcar Route
1382-0-4-58,1150-0-99-99,1382,1150,115.0,0,Streetcar Route
1133-0-4-58,1156-0-99-99,1133,1156,86.0,0,Streetcar Route
1572-0-4-58,1157-0-99-99,1572,1157,168.0,0,Streetcar Route
1544-0-4-58,1160-0-99-99,1544,1160,118.0,0,Streetcar Route
1176-0-4-58,1168-0-99-99,1176,1168,42.0,0,Streetcar Route
1212-0-4-58,1170-0-99-99,1212,1170,97.0,0,Streetcar Route
1588-0-4-58,1180-0-99-99,1588,1180,125.0,0,Streetcar Route
1595-0-4-58,1187-0-99-99,1595,1187,106.0,0,Streetcar Route
1186-0-4-58,1202-0-99-99,1186,1202,30.0,0,Streetcar Route
1223-0-4-58,1203-0-99-99,1223,1203,93.0,0,Streetcar Route
1139-0-4-58,1211-0-99-99,1139,1211,67.0,0,Streetcar Route
1166-0-4-58,1218-0-99-99,1166,1218,101.0,0,Streetcar Route
1523-0-4-58,1218-0-99-99,1523,1218,81.0,0,Streetcar Route
