o_node,d_node,origin,destination,travel_time,iteration,edge_type
1270-0-20-9,1003-0-99-99,1270,1003,18.0,0,Outer Subway Station
1552-0-20-9,1011-0-99-99,1552,1011,79.0,0,Outer Subway Station
1043-0-20-9,1014-0-99-99,1043,1014,41.0,0,Outer Subway Station
1211-0-20-9,1014-0-99-99,1211,1014,61.0,0,Outer Subway Station
1490-0-20-9,1014-0-99-99,1490,1014,73.0,0,Outer Subway Station
1036-0-20-9,1015-0-99-99,1036,1015,17.0,0,Outer Subway Station
1046-0-20-9,1015-0-99-99,1046,1015,33.0,0,Outer Subway Station
1049-0-20-9,1015-0-99-99,1049,1015,33.0,0,Outer Subway Station
1057-0-20-9,1015-0-99-99,1057,1015,23.0,0,Outer Subway Station
1072-0-20-9,1015-0-99-99,1072,1015,43.0,0,Outer Subway Station
1184-0-20-9,1015-0-99-99,1184,1015,51.0,0,Outer Subway Station
1272-0-20-9,1015-0-99-99,1272,1015,28.0,0,Outer Subway Station
1075-0-20-9,1016-0-99-99,1075,1016,40.0,0,Outer Subway Station
1254-0-20-9,1016-0-99-99,1254,1016,51.0,0,Outer Subway Station
1025-0-20-9,1017-0-99-99,1025,1017,18.0,0,Outer Subway Station
1038-0-20-9,1017-0-99-99,1038,1017,25.0,0,Outer Subway Station
1068-0-20-9,1017-0-99-99,1068,1017,35.0,0,Outer Subway Station
1070-0-20-9,1017-0-99-99,1070,1017,42.0,0,Outer Subway Station
1269-0-20-9,1017-0-99-99,1269,1017,27.0,0,Outer Subway Station
1270-0-20-9,1017-0-99-99,1270,1017,21.0,0,Outer Subway Station
1560-0-20-9,1017-0-99-99,1560,1017,73.0,0,Outer Subway Station
1025-0-20-9,1018-0-99-99,1025,1018,20.0,0,Outer Subway Station
1037-0-20-9,1018-0-99-99,1037,1018,18.0,0,Outer Subway Station
1443-0-20-9,1018-0-99-99,1443,1018,68.0,0,Outer Subway Station
1036-0-20-9,1019-0-99-99,1036,1019,30.0,0,Outer Subway Station
1094-0-20-9,1019-0-99-99,1094,1019,45.0,0,Outer Subway Station
