0:40:45.803054,0,0,22496909
0:49:11.975560,10,10,22496091
0:57:53.299202,20,20,22495255
1:06:59.973251,30,30,22494449
1:16:09.238250,40,40,22493598
1:25:26.548648,50,50,22492743
1:34:47.356655,60,100,22488860
1:43:58.081908,70,150,22485459
1:53:47.867953,80,200,22482817
2:03:48.122818,90,250,22480332
2:13:54.492746,100,300,22477975
2:23:46.046598,110,550,22467475
2:34:11.015761,120,800,22456410
2:44:53.872534,130,1050,22446768
2:55:31.448887,140,1300,22436663
3:06:27.240909,150,1550,22426636
3:18:53.062582,160,2050,22408642
3:31:54.907521,170,2550,22392220
3:44:41.621326,180,3050,22376668
3:57:03.201264,190,3550,22362315
4:07:48.700995,200,4050,22348012
4:14:46.617658,210,5050,22321907
4:19:24.826529,220,6050,22298283
4:22:45.383399,230,7050,22278059
4:25:24.254522,240,8050,22260520
0:01:50.073919,0,0,22496909
0:09:24.685045,10,10,22496093
0:17:22.280984,20,20,22495259
0:25:37.921609,30,30,22494458
0:33:57.711639,40,40,22493595
0:42:17.495586,50,50,22492748
0:50:36.580737,60,100,22488844
0:58:59.778706,70,150,22485600
1:07:19.349216,80,200,22483072
1:15:36.844639,90,250,22480454
1:24:05.863256,100,300,22478220
1:32:30.068485,110,550,22467342
1:41:10.403003,120,800,22457154
1:50:26.647720,130,1050,22447286
1:59:35.338188,140,1300,22437879
2:08:55.204188,150,1550,22428286
2:18:27.684698,160,2050,22410317
2:27:51.662029,170,2550,22394103
2:37:52.701509,180,3050,22378606
2:48:05.410514,190,3550,22363515
2:56:51.214789,200,4050,22350644
3:02:39.086591,210,5050,22324939
3:06:26.670330,220,6050,22300013
3:08:50.547632,230,7050,22280534
