route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
58686,1,343,KENNEDY NIGHT BUS,,3,,0000FF,FFFFFF
58687,1,35,JANE,,3,,FF0000,FFFFFF
58688,1,352,LAWRENCE WEST NIGHT BUS,,3,,0000FF,FFFFFF
58689,1,353,STEELES NIGHT BUS,,3,,0000FF,FFFFFF
58690,1,354,LAWRENCE EAST NIGHT BUS,,3,,0000FF,FFFFFF
58691,1,36,FINCH WEST,,3,,808000,FFFFFF
58692,1,363,OSSINGTON NIGHT BUS,,3,,0000FF,FFFFFF
58693,1,365,PARLIAMENT NIGHT BUS,,3,,0000FF,FFFFFF
58694,1,37,ISLINGTON,,3,,800080,FFFFFF
58695,1,38,HIGHLAND CREEK,,3,,800080,FFFFFF
58697,1,384,SHEPPARD WEST NIGHT BUS,,3,,0000FF,FFFFFF
58698,1,385,SHEPPARD EAST NIGHT BUS,,3,,0000FF,FFFFFF
58699,1,39,FINCH EAST,,3,,FF8000,FFFFFF
58700,1,395,YORK MILLS NIGHT BUS,,3,,0000FF,FFFFFF
58701,1,396,WILSON NIGHT BUS,,3,,0000FF,FFFFFF
58813,1,4,LINE 4 (SHEPPARD),,1,,B300B3,FFFFFF
58702,1,40,JUNCTION-DUNDAS WEST,,3,,808000,FFFFFF
58703,1,400,LAWRENCE MANOR,,3,,008000,FFFFFF
58704,1,402,PARKDALE,,3,,800080,FFFFFF
58705,1,403,DON MILLS SOUTH,,3,,808000,FFFFFF
58706,1,404,EAST YORK,,3,,00FF00,FFFFFF
58707,1,405,ETOBICOKE,,3,,FF8040,FFFFFF
58708,1,41,KEELE,,3,,FF8040,FFFFFF
58709,1,42,CUMMER,,3,,008000,FFFFFF
58710,1,43,KENNEDY,,3,,0000FF,FFFFFF
58711,1,44,KIPLING SOUTH,,3,,800080,FFFFFF
58712,1,45,KIPLING,,3,,0000FF,FFFFFF
58713,1,46,MARTIN GROVE,,3,,FF0000,FFFFFF
58714,1,47,LANSDOWNE,,3,,FF00FF,FFFFFF
58715,1,48,RATHBURN,,3,,00FF00,FFFFFF
58716,1,49,BLOOR WEST,,3,,00FF00,FFFFFF
58717,1,5,AVENUE ROAD,,3,,008000,FFFFFF
58718,1,50,BURNHAMTHORPE,,3,,FF00FF,FFFFFF
58719,1,501,QUEEN,,0,,008000,FFFFFF
58720,1,503,KINGSTON RD,,0,,FF0000,FFFFFF
58721,1,504,KING,,0,,008000,FFFFFF
58722,1,505,DUNDAS,,3,,800080,FFFFFF
58723,1,506,CARLTON,,0,,008000,FFFFFF
58724,1,508,LAKE SHORE RD.,,0,,00FFFF,FFFFFF
58725,1,509,HARBOURFRONT,,0,,800080,FFFFFF
58726,1,51,LESLIE,,3,,0000FF,FFFFFF
58727,1,510,SPADINA,,0,,FF8000,FFFFFF
58728,1,511,BATHURST,,0,,00FF00,FFFFFF
58729,1,512,ST. CLAIR,,0,,800080,FFFFFF
58730,1,52,LAWRENCE WEST,,3,,804000,FFFFFF
58731,1,53,STEELES EAST,,3,,FF00FF,FFFFFF
58732,1,54,LAWRENCE EAST,,3,,FF0000,FFFFFF
58733,1,55,WARREN PARK,,3,,808000,FFFFFF
58734,1,56,LEASIDE,,3,,00FFFF,FFFFFF
58735,1,57,MIDLAND,,3,,008000,FFFFFF
58736,1,59,MAPLE LEAF,,3,,808000,FFFFFF
58737,1,6,BAY,,3,,0000FF,FFFFFF
58738,1,60,STEELES WEST,,3,,00FF00,FFFFFF
58739,1,61,AVENUE ROAD NORTH,,3,,800080,FFFFFF
58740,1,62,MORTIMER,,3,,00FF00,FFFFFF
58741,1,63,OSSINGTON,,3,,FF00FF,FFFFFF
58742,1,64,MAIN,,3,,0000FF,FFFFFF
58743,1,65,PARLIAMENT,,3,,FF8000,FFFFFF
58744,1,66,PRINCE EDWARD,,3,,00FF00,FFFFFF
58745,1,67,PHARMACY,,3,,0000FF,FFFFFF
58746,1,68,WARDEN,,3,,0000FF,FFFFFF
58747,1,69,WARDEN SOUTH,,3,,804000,FFFFFF
58748,1,7,BATHURST,,3,,FF00FF,FFFFFF
58749,1,70,O'CONNOR,,3,,FF8040,FFFFFF
58750,1,71,RUNNYMEDE,,3,,0000FF,FFFFFF
58751,1,72,PAPE,,3,,00FF00,FFFFFF
58752,1,73,ROYAL YORK,,3,,FF8000,FFFFFF
58753,1,74,MOUNT PLEASANT,,3,,00FF00,FFFFFF
58754,1,75,SHERBOURNE,,3,,00FFFF,FFFFFF
58755,1,76,ROYAL YORK SOUTH,,3,,FF00FF,FFFFFF
58756,1,77,SWANSEA,,3,,000080,FFFFFF
58757,1,78,ST. ANDREWS,,3,,00FF00,FFFFFF
58758,1,79,SCARLETT RD.,,3,,00FFFF,FFFFFF
58759,1,8,BROADVIEW,,3,,FF0000,FFFFFF
58760,1,80,QUEENSWAY,,3,,FF0000,FFFFFF
58761,1,81,THORNCLIFFE PARK,,3,,FF8000,FFFFFF
58762,1,82,ROSEDALE,,3,,804000,FFFFFF
58763,1,83,JONES,,3,,00FF00,FFFFFF
58764,1,84,SHEPPARD WEST,,3,,FF8000,FFFFFF
58765,1,85,SHEPPARD EAST,,3,,008000,FFFFFF
58766,1,86,SCARBOROUGH,,3,,00FFFF,FFFFFF
58767,1,87,COSBURN,,3,,804000,FFFFFF
58768,1,88,SOUTH LEASIDE,,3,,804000,FFFFFF
58769,1,89,WESTON,,3,,FF00FF,FFFFFF
58770,1,9,BELLAMY,,3,,000080,FFFFFF
58771,1,90,VAUGHAN,,3,,FF8000,FFFFFF
58772,1,900,AIRPORT EXPRESS,,3,,FF0000,FFFFFF
58773,1,902,MARKHAM RD EXPRESS,,3,,008080,FFFFFF
58774,1,903,KENNEDY-SCARBOROUGH CENTRE EXPRESS,,3,,00FF00,FFFFFF
58775,1,905,EGLINTON EAST EXPRESS,,3,,800000,FFFFFF
58776,1,91,WOODBINE,,3,,0000FF,FFFFFF
58777,1,913,PROGRESS EXPRESS,,3,,808000,FFFFFF
58778,1,92,WOODBINE SOUTH,,3,,00FFFF,FFFFFF
58779,1,924,VICTORIA PARK EXPRESS,,3,,800000,FFFFFF
58780,1,925,DON MILLS EXPRESS,,3,,008000,FFFFFF
58781,1,927,HIGHWAY 27 EXPRESS,,3,,00FFFF,FFFFFF
58782,1,929,DUFFERIN EXPRESS,,3,,FF0000,FFFFFF
58783,1,93,PARKVIEW HILLS,,3,,800080,FFFFFF
58784,1,935,JANE EXPRESS,,3,,FF0000,FFFFFF
58785,1,937,ISLINGTON EXPRESS,,3,,800080,FFFFFF
58786,1,939,FINCH EXPRESS,,3,,FF8000,FFFFFF
58787,1,94,WELLESLEY,,3,,804000,FFFFFF
58788,1,941,KEELE EXPRESS,,3,,800080,FFFFFF
58789,1,944,KIPLING SOUTH EXPRESS,,3,,008080,FFFFFF
58790,1,945,KIPLING EXPRESS,,3,,0000FF,FFFFFF
58791,1,95,YORK MILLS,,3,,FF8000,FFFFFF
58792,1,952,LAWRENCE WEST EXPRESS,,3,,804000,FFFFFF
58793,1,953,STEELES EAST EXPRESS,,3,,FF00FF,FFFFFF
58794,1,954,LAWRENCE EAST EXPRESS,,3,,FF0000,FFFFFF
58795,1,96,WILSON,,3,,804000,FFFFFF
58796,1,960,STEELES WEST EXPRESS,,3,,00FF00,FFFFFF
58797,1,97,YONGE,,3,,804000,FFFFFF
58798,1,98,WILLOWDALE-SENLAC,,3,,00FF00,FFFFFF
58799,1,984,SHEPPARD WEST EXPRESS,,3,,FF8000,FFFFFF
58800,1,985,SHEPPARD EAST EXPRESS,,3,,800080,FFFFFF
58801,1,986,SCARBOROUGH EXPRESS,,3,,00FFFF,FFFFFF
58802,1,989,WESTON EXPRESS,,3,,FF00FF,FFFFFF
58803,1,99,ARROW ROAD,,3,,00FF00,FFFFFF
58804,1,995,YORK MILLS EXPRESS,,3,,FF8000,FFFFFF
58805,1,996,WILSON EXPRESS,,3,,800080,FFFFFF
