std,INT_ID_o,INT_ID_d,cost
0.4712514425207865,100.0,101.0,1.3214285714285714
0.3876509048663705,100.0,151.0,1.819672131147541
0.0,100.0,13467163.0,1.0
0.0,100.0,13467239.0,2.0
0.0,100.0,13467593.0,3.0
0.502801142365493,100.0,13467909.0,2.50561797752809
0.7820647824535326,101.0,100.0,1.864864864864865
0.6790683616983868,101.0,102.0,1.5084745762711864
0.0,101.0,151.0,2.0
,101.0,13466312.0,2.0
0.0,101.0,13466516.0,1.0
0.0,101.0,13466729.0,2.0
0.30413462267999425,101.0,13466960.0,1.8985507246376812
0.5435466018163799,102.0,101.0,1.6507936507936507
0.5043668951391246,102.0,103.0,1.5
0.0,102.0,13466199.0,1.0
0.0,102.0,13466418.0,1.0
0.4945498837527219,103.0,102.0,1.596774193548387
0.49496208811552345,103.0,104.0,1.4035087719298245
0.0,103.0,13465263.0,1.0
0.0,103.0,13465671.0,2.0
0.0,103.0,13465822.0,2.0
0.5330600392680743,104.0,103.0,1.4426229508196722
0.49935022714588734,104.0,105.0,1.4285714285714286
0.0,104.0,13464664.0,1.0
0.0,104.0,13464821.0,2.0
0.0,104.0,13464999.0,1.0
0.4859611014169709,105.0,104.0,1.3666666666666667
0.33113308926626106,105.0,106.0,1.8771929824561404
0.0,105.0,13463723.0,1.0
0.0,105.0,13464212.0,3.0
0.0,105.0,13464427.0,2.0
,105.0,13464649.0,1.0
0.3928049560394924,106.0,105.0,1.8135593220338984
0.4949620881155235,106.0,107.0,1.5964912280701755
0.47559486560567094,106.0,215.0,1.3333333333333333
0.48795003647426655,106.0,216.0,1.625
0.0,106.0,13463015.0,1.0
,106.0,13463723.0,1.0
0.4643956877096258,107.0,106.0,1.694915254237288
0.4911497431287515,107.0,108.0,1.6140350877192982
0.0,107.0,13461921.0,1.0
0.0,107.0,13462168.0,2.0
,107.0,13463015.0,1.0
0.4591609697352898,108.0,107.0,1.706896551724138
0.4809947319913077,108.0,109.0,1.35
,108.0,13461921.0,1.0
0.49403218175557095,109.0,108.0,1.6
0.4666753088820375,109.0,110.0,2.689655172413793
0.0,109.0,13459944.0,1.0
0.5096471914376258,109.0,13459992.0,2.5454545454545454
0.0,109.0,13460447.0,7.0
0.5040669445356467,110.0,109.0,2.5172413793103448
0.18405922400991945,110.0,111.0,1.9655172413793103
0.0,110.0,13458124.0,1.0
0.4898979485566358,110.0,13458217.0,2.36
0.0,110.0,13458456.0,1.0
,110.0,13459913.0,2.0
0.3072032970180001,111.0,110.0,1.896551724137931
0.47126674363748494,111.0,112.0,3.3220338983050848
0.0,111.0,13456902.0,4.0
0.0,111.0,13457078.0,0.0
0.0,111.0,13457135.0,1.0
0.0,111.0,13457785.0,1.0
0.3864591173082211,112.0,111.0,3.8214285714285716
0.5207556439232958,112.0,113.0,2.9322033898305087
0.0,112.0,13453668.0,1.0
0.41225082039488553,112.0,13454100.0,1.793103448275862
