INT_ID,string
13461283,Clarion Rd / Waterbury Dr
13462270,Longbourne Dr / Westwynd Crt
13461695,Redgrave Dr / Waterbury Dr
13461594,Martin Grove Rd / Redgrave Dr / The Westway
13462021,Martin Grove Rd / Longbourne Dr
13461478,Callowhill Dr / The Westway
13460990,Martin Grove Rd / Tollington Rd
13461913,Eglinton Ave W / Russell Rd / Eden Valley Dr
13457191,Weston Rd / Oak St
13457136,Knob Hill Dr / Piggott Mews / Oak St
13456985,Gary Dr / Yelland St / Oak St
13470461,Twelfth St / Thirteenth St
13470476,Lake Shore Blvd W / Tenth St
13470475,Lake Shore Blvd W / Tenth St
13470429,Garnett Janes Rd / Coin St
13460793,Martin Grove Rd / Waterbury Dr
13460340,Dixon Rd / City View Dr / Kelfield St
13460180,Dixon Rd / 401 X W Dixon W Ramp
13460075,Martin Grove Rd / Dixon Rd
13459712,Martin Grove Rd / Ronson Dr
13459188,Martin Grove Rd / Enterprise Rd
13459432,Martin Grove Rd / Dosco Rd
13461680,Eglinton Ave W / Royal York Rd
13461359,Royal York Rd / La Rose Ave
13461037,Royal York Rd / Summitcrest Dr / Renault Cres
13460740,Royal York Rd / Chapman Rd
13456680,Weston Rd / Dee Ave / Weston Rd N 401 C E Ramp / Knob Hill Dr
13470148,Kipling Ave / Torlake Cres
13470076,Kipling Ave / Torlake Cres
13470006,Kipling Ave / Evans Ave
13469987,Evans Ave / Arnold St
13469971,Evans Ave / Horner Ave / Horner Avenue Ramp
13470130,Horner Ave / Judson St
13460071,Trehorne Dr / The Westway
13459538,Trio Ave / The Westway
13469870,Lake Shore Blvd W / Louisa St
13469847,Evans Ave / Garroch Pl
13469828,Alan Ave / Evans Ave
13469816,Carnarvon Ave / Evans Ave
13469783,Royal York Rd / Evans Ave
13469875,Royal York Rd / Portland St
13469793,Lake Shore Blvd W / Legion Rd
13468626,King St W / Wilson Park Rd
13469548,The Queensway / Smith Cres
13469508,The Queensway / Royal York Rd
13468619,King St W / Dowling Ave
13468571,King St W / Jameson Ave
13469439,Royal York Rd / Saunders Cres
13469614,Dalesford Rd / Royal York Rd / Sinclair St
13469473,The Queensway / Wesley St
13469838,Portland St / Buckingham St / Wesley St
13469814,Portland St / Audley St
13469683,Park Lawn Rd / Lake Shore Blvd W / Marine Parade Dr
13469530,Park Lawn Rd / Gardiner E Park Lawn Rd Ramp / Mimico Creek Trl
13469747,Grand Ave / Melrose St
13469669,Grand Ave / Manitoba St
13469460,Park Lawn Rd / Park Lawn Gardiner W Ramp
30070005,Lake Shore Blvd W / Silver Moon Dr
13468464,Ormskirk Ave / South Kingsway
13469523,Dalesford Rd / Grand Ave
13469443,The Queensway / Milton St
13469405,The Queensway / Grand Ave
13468786,The Queensway / Gardiner Queensway W Ramp / Queensway S Kingsway Ramp / S Kingsway Queensway Ramp / South Kingsway / Humber River Recreational Trl
13469375,Frankwood Rd / Royal York Rd
13468779,Springhurst Ave / Dufferin St
13468568,Dufferin St / Liberty St
13469263,Royal York Rd / Yorkview Dr
13469132,Royal York Rd / Castlebar Rd
30054189,Queensway S Kingsway Ramp / South Kingsway
13468556,Windermere Pl / Southport St
13468518,Windermere Ave / Windermere Pl
13469002,Royal York Rd / Coney Rd
13468888,Berry Rd / Prince Edward Dr S
13468676,Edwalter Ave / Prince Edward Dr S
13468587,Bernice Ave / Prince Edward Dr S
13468500,Kirk Bradden Rd E / Prince Edward Dr S / Kirk Bradden Rd W
13468837,Lake Shore Blvd W / Windermere Ave
13468605,The Queensway / Windermere Ave
13468506,Coe Hill Dr / Ellis Gdns
13468559,The Queensway / Ellis Ave
13469250,Park Lawn Rd / Lorne Ave
13469355,Park Lawn Rd / The Queensway
13469085,Cannon Rd / Park Lawn Rd / Park Lane
30070002,The Marginal Blvd / Marine Parade Dr
13469442,Lake Shore Blvd W / Brookers Lane / Lake Shore W Gardiner E Ramp
13468687,Lake Shore Blvd W / Ellis Ave
13468440,Atlantic Ave / Liberty St
13468727,Nova Scotia Ave / Manitoba Dr
20111568,Lynn Williams St / East Liberty St
13468857,Berry Rd / Minstrel Dr
13468797,Berry Rd / Ballacaine Dr
13468745,Park Lawn Rd / Berry Rd
13468844,Park Lawn Rd / Kinsdale Blvd
13468520,King St W / Dunn Ave
13468465,King St W / Spencer Ave
13468682,Cloverhill Rd / Berry Rd
13468641,Berry Rd / Bell Manor Dr
13469300,The Queensway / Aldgate Ave
13469271,The Queensway / Stephen Dr
13469148,Whitworth Ave / Stephen Dr
13469231,The Queensway
13468553,Lake Shore Blvd W / Colborne Lodge Dr
13468994,Islington Ave / Norseman St
13468805,Islington Ave / Advance Rd
13468841,Cloverhill Rd / Stephen Dr / Humber River Recreational Trl
13468601,Berry Rd / Stephen Dr
13468437,Gardiner Express / Parkside Dr / Lakeshore W Parkside Ramp / Parkside Dr S Lakeshore Blvd W Ramp
13468486,Parkside Dr / Lake Shore Blvd W / Parkside Dr S Lakeshore Blvd E Ramp / Lakeshore E Parkside Ramp
13470022,Lake Shore Blvd W / Superior Ave
20031732,Lake Shore Blvd W / Marine Parade Dr
13469945,Lake Shore Blvd W / Burlington St
13468436,King St W / Queen St W / The Queensway / Roncesvalles Ave / Beaty Boulevard Parkette Trl
13468685,Royal York Rd / Norseman St
13466023,Royal York Rd
14254033,Pirandello St / East Liberty St
14063912,Canada Blvd / Manitoba Dr
13468803,Lake Shore Blvd W / Strachan Ave / Remembrance Dr
13468018,Glenaden Ave E / Prince Edward Dr S / Glenaden Ave W
13467928,Glenroy Ave / Prince Edward Dr S
13468421,Glenellen Dr E / Prince Edward Dr S / Glenellen Dr W
13468274,Sunnydale Dr / Prince Edward Dr S / Kingslea Gdns
13468185,Prince Edward Dr S / Sunnylea Ave W
13467630,Ashton Manor / Prince Edward Dr S
13467231,Bloor St W / Prince Edward Dr N / Prince Edward Dr S
13468377,Spadina Ave / Lake Shore Blvd W / Lower Spadina Ave / Gardiner E Spadina Av Ramp / Waterfront Trl
13464263,St Clair Ave W / Florence Cres
13464451,Jane St / Dundas St W
13464218,Jane St / St Clair Ave W
13468652,Fleet St Lake Shore Blvd Ramp / Fleet St
13468316,Robertson Cres / Rees St / Queens Quay W
13468469,Islington Ave / Bering Ave / Fairfield Park Trl
13468227,Islington Ave / Van Dusen Blvd
13467131,Bloor St W / Kingsmill Rd
13466999,Bloor St W / Old Mill Rd / The Kingsway
14255084,Fort York Blvd / Fleet St
20054558,Fort York Blvd / Bastion St
13467331,Islington Ave / Cordova Ave / Central Park Rdwy
13464273,Scarlett Rd / Bernice Cres
13465244,Varsity Rd / Pasadena Gdns
13465415,Varsity Rd / Underwood Ave
13464997,Skylark Rd / Van Stassen Blvd
13465050,Gooch Ave / Magwood Crt
13468663,Bathurst St / Queens Quay W / Eireann Quay / Little Norway Park Trl / Martin Goodman Trl
14255097,Bathurst St / Fort York Blvd
13468584,Bathurst St / Lake Shore Blvd W
13464143,St Clair Ave W / Mariposa Ave
13463641,Scarlett Rd / Ellins Ave
13463344,Scarlett Rd / Edinborough Crt
13463871,Scarlett Rd / Foxwell St
13462866,Scarlett Rd / Clairton Cres
13464769,Dundas St W / Howland St
13465287,Jane St / St Mark'S Rd
13465039,Jane St / St John'S Rd
13464832,Jane St / Bradley Ave
13467917,Royal York Rd / Edgemore Dr
13468117,Royal York Rd / Glenroy Ave
13462619,Scarlett Rd / East Dr
13464952,Lundy Ave / Warren Cres
13465033,Varsity Rd / Doran Ave / Crosby Ave
13464616,Dundas St W / Humber Hill Ave
13464510,Dundas St W / Scarlett Rd
13464406,St Clair Ave W / Scarlett Rd
13464902,Anglesey Blvd / Pinehurst Cres
13464798,Anglesey Blvd / The Kingsway
13465275,Lambeth Rd / Royal York Rd
20236614,Dundas St W / Briarly Lane
13466153,Dundas St W / Nottingham Dr
13464880,Ashley Park Rd / Royal York Rd
13463932,Royal York Rd / Romney Rd / Hartfield Crt
13464483,Royal York Rd / Anglesey Blvd
13465297,Dundas St W / Prince Edward Dr N
13465912,Dundas St W / The Kingsway
13465085,Dundas St W / Old Dundas St
13465689,Dundas St W / Royal York Rd / Royal York S Dundas E Ramp / Royal York N Dundas W Ramp
13466992,Royal York Rd / King Georges Rd
13466445,Royal York Rd / Kingsgrove Blvd
13466745,Royal York Rd / Tremayne Ave
13463615,Glendarling Rd / Royal York Rd / Darlingbrook Cres
20089355,Royal York Rd / Centre Dr
13463038,Royal York Rd / Country Club Dr
13462634,Royal York Rd / North Dr
13466778,Indian Rd / Howard Park Ave
13462180,Weston Rd / Northland Ave
13462466,Weston Rd / Mccormack St
13465233,Humberside Ave / High Park Ave
13464852,High Park Ave / Annette St
13464742,Medland St / Annette St
13465250,Keele St / Hillsview Ave
13468434,Ormskirk Ave / Ripley Ave
13468000,St Olave'S Rd / Windermere Ave
20058327,Windermere Ave
13468276,Windermere Ave
13465420,Durie St / Annette St
13465036,Keele St / Humberside Ave
13464716,Keele St / Annette St
13467726,Morningside Ave / Windermere Ave
13467691,Lavinia Ave / Morningside Ave
13467143,Runnymede Rd / Deforest Rd
13465319,Runnymede Rd / Annette St
13464977,Runnymede Rd / Maher Ave
13464808,Humberside Ave / Dundas St W
13467626,Centre Rd / Colborne Lodge Dr / Deer Pen Rd
13464724,Runnymede Rd / St John'S Rd
13464467,Dundas St W / Willard Ave
13464462,Dundas St W / Windermere Ave
13464022,St Clair Ave W / Mould Ave
13464461,Dundas St W / Runnymede Rd
13464439,Dundas St W / High Park Ave
13464436,Dundas St W / Pacific Ave
13464438,Keele St / Dundas St W
13466476,Jane St / Colbeck St
13468360,The Queensway / Colborne Lodge Dr
13463893,St Clair Ave W / Runnymede Rd
13465238,Gilmour Ave / Annette St
13464684,Indian Road Cres / Annette St
13466049,Jane St / Ardagh St
13465149,Evelyn Ave / Annette St
13464963,Clendenan Ave / Annette St
13464592,Dupont St / Old Weston Rd / Annette St / Dundas St W
13465635,Jane St / Annette St
13465522,Willard Ave / Annette St
13464453,Dundas St W / Gilmour Ave
13464450,Dundas St W / St John'S Pl
13464433,Indian Grv / Dundas St W
13464031,Keele St / Junction Rd
13468182,Parkside Dr / Spring Rd
13467914,Parkside Dr / Algonquin Ave
13464434,Dundas St W / Quebec Ave
13465042,Jerome St / Dundas St W
13465288,Glenlake Ave / Dundas St W
13466171,Runnymede Rd / Colbeck St
13465858,Runnymede Rd / Glenwood Ave
13465550,Runnymede Rd / Webb Ave
13467459,Parkside Dr / Geoffrey St
13467129,Parkside Dr / Howard Park Ave
13467698,Parkside Dr / High Park Blvd
13463642,Mould Ave / Pritchard Ave
13463416,Rockcliffe Blvd / Castleton Ave / Corbett Ave / Gaffney Park Trl
13463700,Castleton Ave / Henrietta St
13463604,Runnymede Rd / Henrietta St
13463785,St Clair Ave W / Britannia Ave
13463578,Foxwell St / Duern St
13463440,Jane St / Woolner Ave / Foxwell St
13463074,Jane St / Haney Ave
13463827,Jane St / Pritchard Ave
13465772,Glenlake Ave / High Park Ave
14069693,Rockcliffe Blvd / Rockcliffe Crt
13462316,Humber Blvd / Alliance Ave / Cliff St
13463695,Batavia Ave / Pritchard Ave
13462698,Jane St / Alliance Ave
13465564,Keele St / Glenlake Ave
13466722,Parkside Dr / Indian Valley Cres
13463679,St Clair Ave W / Cobalt Ave
14172279,St Clair Ave W / Mondovi Gt
13463362,St Clair Ave W / Old Stock Yards Rd / Gunns Rd
13462239,Jane St / Outlook Ave / East Dr
13462567,Rockcliffe Blvd / Alliance Ave
13462178,Rockcliffe Blvd / Caesar Ave
13458530,Lawrence Ave W / Hickory Tree Rd / Little Ave / Humber River Recreational Trl
13458101,Lawrence Ave W / Pine St
13457106,Pine St / Church St
13457027,Uphill Ave / Church St
13456891,Woodward Ave / Uphill Ave
13456865,Wendell Ave / Gary Dr
13461883,Humber Blvd / Louvain St
13461812,Cordella Ave / Louvain St
13461238,Weston Rd / Lambton Ave
13461391,Weston Rd / Black Creek Dr / Humber Blvd
13463080,St Clair Ave W / Old Weston Rd
13462686,Weston Rd / Gunns Rd
13460084,Scarlett Rd / Saxony Cres
13456742,Portage Ave / Gary Dr
