route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
47621,1,324,VICTORIA PARK,,3,,0000FF,FFFFFF
47622,1,325,DON MILLS,,3,,0000FF,FFFFFF
47623,1,329,DUFFERIN,,3,,0000FF,FFFFFF
47624,1,33,FOREST HILL,,3,,804000,FFFFFF
47625,1,332,EGLINTON WEST,,3,,0000FF,FFFFFF
47626,1,334,EGLINTON EAST,,3,,0000FF,FFFFFF
47627,1,335,JANE,,3,,0000FF,FFFFFF
47628,1,336,FINCH WEST,,3,,0000FF,FFFFFF
47629,1,337,ISLINGTON,,3,,0000FF,FFFFFF
47630,1,339,FINCH EAST,,3,,0000FF,FFFFFF
47631,1,34,EGLINTON EAST,,3,,800080,FFFFFF
47632,1,341,KEELE,,3,,0000FF,FFFFFF
47633,1,343,KENNEDY,,3,,0000FF,FFFFFF
47634,1,35,JANE,,3,,FF0000,FFFFFF
47635,1,352,LAWRENCE WEST,,3,,0000FF,FFFFFF
47636,1,353,STEELES,,3,,0000FF,FFFFFF
47637,1,354,LAWRENCE EAST,,3,,0000FF,FFFFFF
47638,1,36,FINCH WEST,,3,,808000,FFFFFF
47639,1,363,OSSINGTON,,3,,0000FF,FFFFFF
47640,1,365,PARLIAMENT,,3,,0000FF,FFFFFF
47641,1,37,ISLINGTON,,3,,800080,FFFFFF
47642,1,38,HIGHLAND CREEK,,3,,800080,FFFFFF
47643,1,384,SHEPPARD WEST,,3,,0000FF,FFFFFF
47644,1,385,SHEPPARD EAST,,3,,0000FF,FFFFFF
47645,1,39,FINCH EAST,,3,,FF8000,FFFFFF
47646,1,395,YORK MILLS,,3,,0000FF,FFFFFF
47647,1,396,WILSON,,3,,0000FF,FFFFFF
47648,1,4,LINE 4 (SHEPPARD),,1,,B300B3,FFFFFF
47649,1,40,JUNCTION,,3,,808000,FFFFFF
47650,1,41,KEELE,,3,,FF8040,FFFFFF
47651,1,42,CUMMER,,3,,008000,FFFFFF
47652,1,43,KENNEDY,,3,,0000FF,FFFFFF
47653,1,44,KIPLING SOUTH,,3,,800080,FFFFFF
47654,1,45,KIPLING,,3,,0000FF,FFFFFF
47655,1,46,MARTIN GROVE,,3,,FF0000,FFFFFF
47656,1,47,LANSDOWNE,,3,,FF00FF,FFFFFF
47657,1,48,RATHBURN,,3,,00FF00,FFFFFF
47658,1,49,BLOOR WEST,,3,,00FF00,FFFFFF
47659,1,5,AVENUE RD,,3,,008000,FFFFFF
47660,1,50,BURNHAMTHORPE,,3,,FF00FF,FFFFFF
47661,1,501,QUEEN,,0,,008000,FFFFFF
47662,1,502,DOWNTOWNER,,3,,FF00FF,FFFFFF
47663,1,503,KINGSTON RD,,3,,FF0000,FFFFFF
47664,1,504,KING,,0,,008000,FFFFFF
47665,1,505,DUNDAS,,0,,800080,FFFFFF
47666,1,506,CARLTON,,0,,008000,FFFFFF
47667,1,508,LAKE SHORE RD,,0,,00FFFF,FFFFFF
47668,1,509,HARBOURFRONT,,0,,800080,FFFFFF
47669,1,51,LESLIE,,3,,0000FF,FFFFFF
47670,1,510,SPADINA,,0,,FF8000,FFFFFF
47671,1,511,BATHURST,,0,,0000FF,FFFFFF
47672,1,512,ST CLAIR,,3,,800080,FFFFFF
47673,1,514,CHERRY,,0,,000080,FFFFFF
47674,1,52,LAWRENCE WEST,,3,,804000,FFFFFF
47675,1,53,STEELES EAST,,3,,FF00FF,FFFFFF
47676,1,54,LAWRENCE EAST,,3,,FF0000,FFFFFF
47677,1,55,WARREN PARK,,3,,808000,FFFFFF
47678,1,56,LEASIDE,,3,,00FFFF,FFFFFF
47679,1,57,MIDLAND,,3,,008000,FFFFFF
47680,1,59,MAPLE LEAF,,3,,808000,FFFFFF
47681,1,6,BAY,,3,,0000FF,FFFFFF
47682,1,60,STEELES WEST,,3,,00FF00,FFFFFF
47683,1,61,AVENUE ROAD NORTH,,3,,800080,FFFFFF
47684,1,62,MORTIMER,,3,,00FF00,FFFFFF
47685,1,63,OSSINGTON,,3,,FF00FF,FFFFFF
47686,1,64,MAIN,,3,,0000FF,FFFFFF
47687,1,65,PARLIAMENT,,3,,FF8000,FFFFFF
47688,1,66,PRINCE EDWARD,,3,,00FF00,FFFFFF
47689,1,67,PHARMACY,,3,,0000FF,FFFFFF
47690,1,68,WARDEN,,3,,0000FF,FFFFFF
47691,1,69,WARDEN SOUTH,,3,,804000,FFFFFF
47692,1,7,BATHURST,,3,,FF00FF,FFFFFF
47693,1,70,O'CONNOR,,3,,FF8040,FFFFFF
47694,1,71,RUNNYMEDE,,3,,0000FF,FFFFFF
47695,1,72,PAPE,,3,,00FF00,FFFFFF
47696,1,73,ROYAL YORK,,3,,FF8000,FFFFFF
47697,1,74,MT PLEASANT,,3,,00FF00,FFFFFF
47698,1,75,SHERBOURNE,,3,,00FFFF,FFFFFF
47699,1,76,ROYAL YORK SOUTH,,3,,FF00FF,FFFFFF
47700,1,77,SWANSEA,,3,,000080,FFFFFF
47701,1,78,ST ANDREWS,,3,,00FF00,FFFFFF
47702,1,79,SCARLETT RD,,3,,00FFFF,FFFFFF
47703,1,8,BROADVIEW,,3,,FF0000,FFFFFF
47704,1,80,QUEENSWAY,,3,,FF0000,FFFFFF
47705,1,81,THORNCLIFFE PARK,,3,,FF8000,FFFFFF
47706,1,82,ROSEDALE,,3,,804000,FFFFFF
47707,1,83,JONES,,3,,00FF00,FFFFFF
47708,1,84,SHEPPARD WEST,,3,,FF8000,FFFFFF
47709,1,85,SHEPPARD EAST,,3,,008000,FFFFFF
47710,1,86,SCARBOROUGH,,3,,00FFFF,FFFFFF
47711,1,87,COSBURN,,3,,804000,FFFFFF
47712,1,88,SOUTH LEASIDE,,3,,804000,FFFFFF
47713,1,89,WESTON,,3,,FF00FF,FFFFFF
47714,1,9,BELLAMY,,3,,000080,FFFFFF
47715,1,90,VAUGHAN,,3,,FF8000,FFFFFF
47716,1,91,WOODBINE,,3,,0000FF,FFFFFF
47717,1,92,WOODBINE SOUTH,,3,,00FFFF,FFFFFF
48181,1,93,PARKVIEW HILLS,,0,,000000,FFFFFF
47718,1,94,WELLESLEY,,3,,804000,FFFFFF
47719,1,95,YORK MILLS,,3,,FF8000,FFFFFF
47720,1,96,WILSON,,3,,804000,FFFFFF
47721,1,97,YONGE,,3,,804000,FFFFFF
47722,1,98,WILLOWDALE - SENLAC,,3,,00FF00,FFFFFF
47723,1,99,ARROW ROAD,,3,,00FF00,FFFFFF
