id,route,stop_sequence_new,sequence,hr,min,INT_ID
160485489,334,10,12,4,7,13443509.0
160485489,334,11,14,4,8,13443108.0
160485489,334,12,15,4,9,13442715.0
160485489,334,13,17,4,10,13442522.0
160485489,334,14,18,4,10,14184384.0
160485489,334,15,19,4,11,13442074.0
160485489,334,16,20,4,11,13442126.0
160485489,334,17,21,4,13,13442174.0
160485489,334,18,22,4,13,13442002.0
160485539,300,1,1,4,1,156.0
160485539,300,2,2,4,1,13463747.0
160485539,300,3,3,4,2,215.0
160485539,300,4,4,4,3,106.0
160485539,300,5,7,4,6,216.0
160485539,300,6,8,4,8,13463124.0
160485539,300,7,9,4,9,217.0
160485539,300,8,10,4,10,218.0
160485539,300,9,12,4,12,219.0
160485539,300,10,15,4,14,220.0
160485539,300,11,16,4,15,13461657.0
160485539,300,12,17,4,15,221.0
160485539,300,13,19,4,16,13461356.0
160485539,300,14,20,4,16,222.0
160485539,300,15,22,4,17,223.0
160485539,300,16,26,4,19,224.0
160485539,300,17,30,4,21,225.0
160485539,300,18,32,4,22,13459820.0
160485539,300,19,33,4,22,13459659.0
160485539,300,20,34,4,23,13459445.0
160485539,300,21,35,4,25,13459334.0
160485539,300,22,36,4,25,13459232.0
160485539,300,23,37,4,26,13459025.0
160485539,300,24,38,4,26,13458963.0
160485539,300,25,39,4,27,13458733.0
160485539,300,26,40,4,27,13458308.0
160485539,300,27,41,4,28,13458057.0
160485539,300,28,42,4,29,13457866.0
160485539,300,29,43,4,29,30029327.0
160485539,300,30,46,4,30,13458312.0
160485539,300,31,47,4,31,13456203.0
160485539,300,32,48,4,31,13455957.0
160485539,300,33,50,4,33,13455179.0
160485572,304,1,1,4,0,20056886.0
160485572,304,2,2,4,1,13468374.0
160485572,304,3,3,4,2,13468465.0
160485572,304,4,4,4,4,13468520.0
160485572,304,5,5,4,5,13468571.0
160485572,304,6,6,4,6,13468619.0
160485572,304,7,7,4,7,13468626.0
160485572,304,8,9,4,8,13468436.0
160485572,304,9,10,4,9,13468159.0
160485572,304,10,11,4,10,13467938.0
160485572,304,11,12,4,10,13467486.0
160485572,304,12,13,4,11,13467084.0
160485572,304,13,14,4,12,13466640.0
160485572,304,14,15,4,13,13466258.0
160485572,304,15,17,4,15,208.0
160485638,341,1,1,4,1,13447680.0
160485638,341,2,2,4,3,13447313.0
160485638,341,3,3,4,12,169.0
160485638,341,4,4,4,12,13446589.0
160485673,300,1,1,4,0,13467131.0
160485673,300,2,2,4,1,13467231.0
160485673,300,3,3,4,1,202.0
160485673,300,4,6,4,3,201.0
160485673,300,5,8,4,5,13468572.0
160485673,300,6,9,4,8,13468356.0
160485673,300,7,10,4,8,13468541.0
160485673,300,8,11,4,9,13468614.0
160485673,300,9,12,4,9,13468751.0
160485674,334,1,1,4,1,13455720.0
160485674,334,2,2,4,2,13455811.0
