index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,WIL1,2,North,0,154,2019-12-06 05:26:51.489152620-05:00,YKD1,3.0,2019-12-06 05:28:37.407195-05:00,1.75
1,YUS,YKD1,3,North,0,154,2019-12-06 05:28:37.407195-05:00,LWW1,4.0,2019-12-06 05:30:37.259321-05:00,1.9833333333333334
2,YUS,LWW1,4,North,0,154,2019-12-06 05:30:37.259321-05:00,GCN1,5.0,2019-12-06 05:31:37.494432-05:00,1.0
3,YUS,GCN1,5,North,0,154,2019-12-06 05:31:37.494432-05:00,CVL1,6.0,2019-12-06 05:33:37.744956-05:00,2.0
4,YUS,CVL1,6,North,0,154,2019-12-06 05:33:37.744956-05:00,SCW1,7.0,2019-12-06 05:36:51.357818440-05:00,3.216666666666667
5,YUS,SCW1,7,North,0,154,2019-12-06 05:36:51.357818440-05:00,DUP1,8.0,2019-12-06 05:39:37.685294-05:00,2.7666666666666666
6,YUS,DUP1,8,North,0,154,2019-12-06 05:39:37.685294-05:00,SPA1,47.0,2019-12-06 05:42:02.513233840-05:00,2.4
7,YUS,SPA1,47,North,0,154,2019-12-06 05:42:02.513233840-05:00,SGU1,10.0,2019-12-06 05:44:37.467188-05:00,2.566666666666667
8,YUS,SGU1,10,North,0,154,2019-12-06 05:44:37.467188-05:00,MUS1,11.0,2019-12-06 05:47:46.864333180-05:00,3.15
9,YUS,MUS1,11,North,0,154,2019-12-06 05:47:46.864333180-05:00,QPK1,12.0,2019-12-06 05:49:09.828301640-05:00,1.3666666666666667
10,YUS,QPK1,12,North,0,154,2019-12-06 05:49:09.828301640-05:00,STP1,13.0,2019-12-06 05:50:37.669024-05:00,1.45
11,YUS,STP1,13,North,0,154,2019-12-06 05:50:37.669024-05:00,OSG1,14.0,2019-12-06 05:51:37.814766-05:00,1.0
12,YUS,OSG1,14,North,0,154,2019-12-06 05:51:37.814766-05:00,STA1,15.0,2019-12-06 05:52:37.288272-05:00,0.9833333333333333
13,YUS,STA1,15,North,0,154,2019-12-06 05:52:37.288272-05:00,UNI1,16.0,2019-12-06 05:54:37.293910-05:00,2.0
14,YUS,UNI1,16,North,0,154,2019-12-06 05:54:37.293910-05:00,KNG1,17.0,2019-12-06 06:00:37.825002-05:00,6.0
15,YUS,KNG1,17,North,0,154,2019-12-06 06:00:37.825002-05:00,QUN1,18.0,2019-12-06 06:01:37.851675-05:00,1.0
16,YUS,QUN1,18,North,0,154,2019-12-06 06:01:37.851675-05:00,DUN1,19.0,2019-12-06 06:02:37.445410-05:00,0.9833333333333333
17,YUS,DUN1,19,North,0,154,2019-12-06 06:02:37.445410-05:00,COL1,20.0,2019-12-06 06:04:16.509942720-05:00,1.65
18,YUS,COL1,20,North,0,154,2019-12-06 06:04:16.509942720-05:00,WEL1,21.0,2019-12-06 06:05:37.582168-05:00,1.35
19,YUS,WEL1,21,North,0,154,2019-12-06 06:05:37.582168-05:00,BLO1,22.0,2019-12-06 06:06:38.002321-05:00,1.0
20,YUS,BLO1,22,North,0,154,2019-12-06 06:06:38.002321-05:00,ROS1,23.0,2019-12-06 06:08:37.699436-05:00,1.9833333333333334
21,YUS,ROS1,23,North,0,154,2019-12-06 06:08:37.699436-05:00,SUM1,24.0,2019-12-06 06:09:37.390857-05:00,0.9833333333333333
22,YUS,SUM1,24,North,0,154,2019-12-06 06:09:37.390857-05:00,STC1,25.0,2019-12-06 06:11:37.951042-05:00,2.0
23,YUS,STC1,25,North,0,154,2019-12-06 06:11:37.951042-05:00,DAV1,26.0,2019-12-06 06:13:37.390602-05:00,1.9833333333333334
24,YUS,DAV1,26,North,0,154,2019-12-06 06:13:37.390602-05:00,EGL1,27.0,2019-12-06 06:16:12.626842640-05:00,2.5833333333333335
