index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,NYC2,31,South,2,152,2019-12-11 07:11:00.340927820-05:00,SHP2,30.0,2019-12-11 07:12:37.308566-05:00,1.6
1,YUS,NYC2,31,South,2,101,2019-12-11 07:14:37.629305-05:00,SHP2,64.0,2019-12-11 07:16:06.899981280-05:00,1.4833333333333334
1,YUS,NYC2,31,South,2,101,2019-12-11 07:14:37.629305-05:00,SHP2,64.0,2019-12-11 07:16:06.899981280-05:00,1.4833333333333334
1,YUS,SHP2,30,South,2,152,2019-12-11 07:12:37.308566-05:00,YKM2,29.0,2019-12-11 07:15:37.714289-05:00,3.0
2,YUS,SHP2,64,South,2,101,2019-12-11 07:16:06.899981280-05:00,YKM2,29.0,2019-12-11 07:18:37.465060-05:00,2.5
2,YUS,SHP2,64,South,2,101,2019-12-11 07:16:06.899981280-05:00,YKM2,29.0,2019-12-11 07:18:37.465060-05:00,2.5
2,YUS,YKM2,29,South,2,152,2019-12-11 07:15:37.714289-05:00,LAW2,28.0,2019-12-11 07:18:37.464713-05:00,2.9833333333333334
3,YUS,YKM2,29,South,2,101,2019-12-11 07:18:37.465060-05:00,LAW2,28.0,2019-12-11 07:21:44.830849-05:00,3.1166666666666667
3,YUS,YKM2,29,South,2,101,2019-12-11 07:18:37.465060-05:00,LAW2,28.0,2019-12-11 07:21:44.830849-05:00,3.1166666666666667
3,YUS,LAW2,28,South,2,152,2019-12-11 07:18:37.464713-05:00,EGL2,27.0,2019-12-11 07:21:44.831558-05:00,3.1166666666666667
4,YUS,LAW2,28,South,2,101,2019-12-11 07:21:44.830849-05:00,EGL2,27.0,2019-12-11 07:24:37.288300-05:00,2.8666666666666667
4,YUS,LAW2,28,South,2,101,2019-12-11 07:21:44.830849-05:00,EGL2,27.0,2019-12-11 07:24:37.288300-05:00,2.8666666666666667
4,YUS,EGL2,27,South,2,152,2019-12-11 07:21:44.831558-05:00,DAV2,26.0,2019-12-11 07:23:52.890608279-05:00,2.1333333333333333
5,YUS,EGL2,27,South,2,101,2019-12-11 07:24:37.288300-05:00,DAV2,26.0,2019-12-11 07:26:37.470315-05:00,2.0
5,YUS,EGL2,27,South,2,101,2019-12-11 07:24:37.288300-05:00,DAV2,26.0,2019-12-11 07:26:37.470315-05:00,2.0
5,YUS,DAV2,26,South,2,152,2019-12-11 07:23:52.890608279-05:00,STC2,25.0,2019-12-11 07:26:37.469955-05:00,2.7333333333333334
6,YUS,DAV2,26,South,2,101,2019-12-11 07:26:37.470315-05:00,STC2,25.0,2019-12-11 07:28:37.888408-05:00,2.0
6,YUS,DAV2,26,South,2,101,2019-12-11 07:26:37.470315-05:00,STC2,25.0,2019-12-11 07:28:37.888408-05:00,2.0
6,YUS,STC2,25,South,2,152,2019-12-11 07:26:37.469955-05:00,SUM2,24.0,2019-12-11 07:27:37.815417-05:00,1.0
7,YUS,STC2,25,South,2,101,2019-12-11 07:28:37.888408-05:00,SUM2,24.0,2019-12-11 07:29:37.714402-05:00,0.9833333333333333
7,YUS,STC2,25,South,2,101,2019-12-11 07:28:37.888408-05:00,SUM2,24.0,2019-12-11 07:29:37.714402-05:00,0.9833333333333333
7,YUS,SUM2,24,South,2,152,2019-12-11 07:27:37.815417-05:00,ROS2,23.0,2019-12-11 07:28:54.526187100-05:00,1.2666666666666666
8,YUS,SUM2,24,South,2,101,2019-12-11 07:29:37.714402-05:00,ROS2,23.0,2019-12-11 07:30:54.104601100-05:00,1.2666666666666666
8,YUS,SUM2,24,South,2,101,2019-12-11 07:29:37.714402-05:00,ROS2,23.0,2019-12-11 07:30:54.104601100-05:00,1.2666666666666666
8,YUS,ROS2,23,South,2,152,2019-12-11 07:28:54.526187100-05:00,BLO2,22.0,2019-12-11 07:30:37.457264-05:00,1.7
9,YUS,ROS2,23,South,2,101,2019-12-11 07:30:54.104601100-05:00,BLO2,22.0,2019-12-11 07:32:37.549719-05:00,1.7166666666666666
9,YUS,ROS2,23,South,2,101,2019-12-11 07:30:54.104601100-05:00,BLO2,22.0,2019-12-11 07:32:37.549719-05:00,1.7166666666666666
9,YUS,BLO2,22,South,2,152,2019-12-11 07:30:37.457264-05:00,WEL2,21.0,2019-12-11 07:32:37.549362-05:00,2.0
10,YUS,BLO2,22,South,2,101,2019-12-11 07:32:37.549719-05:00,WEL2,21.0,2019-12-11 07:34:06.718536260-05:00,1.4833333333333334
10,YUS,BLO2,22,South,2,101,2019-12-11 07:32:37.549719-05:00,WEL2,21.0,2019-12-11 07:34:06.718536260-05:00,1.4833333333333334
10,YUS,WEL2,21,South,2,152,2019-12-11 07:32:37.549362-05:00,COL2,20.0,2019-12-11 07:33:37.708409-05:00,1.0
11,YUS,WEL2,21,South,2,101,2019-12-11 07:34:06.718536260-05:00,COL2,20.0,2019-12-11 07:35:37.408392-05:00,1.5
11,YUS,WEL2,21,South,2,101,2019-12-11 07:34:06.718536260-05:00,COL2,20.0,2019-12-11 07:35:37.408392-05:00,1.5
11,YUS,COL2,20,South,2,152,2019-12-11 07:33:37.708409-05:00,DUN2,19.0,2019-12-11 07:34:37.293751-05:00,0.9833333333333333
12,YUS,COL2,20,South,2,101,2019-12-11 07:35:37.408392-05:00,DUN2,19.0,2019-12-11 07:36:38.158429-05:00,1.0
12,YUS,COL2,20,South,2,101,2019-12-11 07:35:37.408392-05:00,DUN2,19.0,2019-12-11 07:36:38.158429-05:00,1.0
12,YUS,DUN2,19,South,2,152,2019-12-11 07:34:37.293751-05:00,QUN2,18.0,2019-12-11 07:35:59.389176820-05:00,1.3666666666666667
13,YUS,DUN2,19,South,2,101,2019-12-11 07:36:38.158429-05:00,QUN2,18.0,2019-12-11 07:37:37.437274-05:00,0.9833333333333333
13,YUS,DUN2,19,South,2,101,2019-12-11 07:36:38.158429-05:00,QUN2,18.0,2019-12-11 07:37:37.437274-05:00,0.9833333333333333
13,YUS,QUN2,18,South,2,152,2019-12-11 07:35:59.389176820-05:00,KNG2,17.0,2019-12-11 07:37:37.436937-05:00,1.6333333333333333
14,YUS,QUN2,18,South,2,101,2019-12-11 07:37:37.437274-05:00,KNG2,17.0,2019-12-11 07:39:37.648622-05:00,2.0
14,YUS,QUN2,18,South,2,101,2019-12-11 07:37:37.437274-05:00,KNG2,17.0,2019-12-11 07:39:37.648622-05:00,2.0
14,YUS,KNG2,17,South,2,152,2019-12-11 07:37:37.436937-05:00,UNI2,16.0,2019-12-11 07:38:37.566548-05:00,1.0
15,YUS,KNG2,17,South,2,101,2019-12-11 07:39:37.648622-05:00,UNI2,16.0,2019-12-11 07:40:37.692511-05:00,1.0
15,YUS,KNG2,17,South,2,101,2019-12-11 07:39:37.648622-05:00,UNI2,16.0,2019-12-11 07:40:37.692511-05:00,1.0
15,YUS,UNI2,16,South,2,152,2019-12-11 07:38:37.566548-05:00,STA2,15.0,2019-12-11 07:40:37.692173-05:00,2.0
16,YUS,UNI2,16,South,2,101,2019-12-11 07:40:37.692511-05:00,STA2,15.0,2019-12-11 07:42:37.423787-05:00,1.9833333333333334
16,YUS,UNI2,16,South,2,101,2019-12-11 07:40:37.692511-05:00,STA2,15.0,2019-12-11 07:42:37.423787-05:00,1.9833333333333334
16,YUS,STA2,15,South,2,152,2019-12-11 07:40:37.692173-05:00,OSG2,14.0,2019-12-11 07:41:37.609105-05:00,0.9833333333333333
17,YUS,STA2,15,South,2,101,2019-12-11 07:42:37.423787-05:00,OSG2,14.0,2019-12-11 07:44:37.530118-05:00,2.0
17,YUS,STA2,15,South,2,101,2019-12-11 07:42:37.423787-05:00,OSG2,14.0,2019-12-11 07:44:37.530118-05:00,2.0
17,YUS,OSG2,14,South,2,152,2019-12-11 07:41:37.609105-05:00,STP2,13.0,2019-12-11 07:44:37.529779-05:00,2.9833333333333334
18,YUS,OSG2,14,South,2,101,2019-12-11 07:44:37.530118-05:00,STP2,13.0,2019-12-11 07:46:37.667922-05:00,2.0
18,YUS,OSG2,14,South,2,101,2019-12-11 07:44:37.530118-05:00,STP2,13.0,2019-12-11 07:46:37.667922-05:00,2.0
18,YUS,STP2,13,South,2,152,2019-12-11 07:44:37.529779-05:00,QPK2,12.0,2019-12-11 07:45:37.687007-05:00,1.0
19,YUS,STP2,13,South,2,101,2019-12-11 07:46:37.667922-05:00,QPK2,12.0,2019-12-11 07:48:11.380801880-05:00,1.55
19,YUS,STP2,13,South,2,101,2019-12-11 07:46:37.667922-05:00,QPK2,12.0,2019-12-11 07:48:11.380801880-05:00,1.55
19,YUS,QPK2,12,South,2,152,2019-12-11 07:45:37.687007-05:00,MUS2,11.0,2019-12-11 07:47:37.975670-05:00,2.0
20,YUS,QPK2,12,South,2,101,2019-12-11 07:48:11.380801880-05:00,MUS2,11.0,2019-12-11 07:49:37.846471-05:00,1.4333333333333333
20,YUS,QPK2,12,South,2,101,2019-12-11 07:48:11.380801880-05:00,MUS2,11.0,2019-12-11 07:49:37.846471-05:00,1.4333333333333333
20,YUS,MUS2,11,South,2,152,2019-12-11 07:47:37.975670-05:00,SGU2,10.0,2019-12-11 07:49:37.846127-05:00,1.9833333333333334
21,YUS,MUS2,11,South,2,101,2019-12-11 07:49:37.846471-05:00,SGU2,10.0,2019-12-11 07:51:37.829879-05:00,1.9833333333333334
21,YUS,MUS2,11,South,2,101,2019-12-11 07:49:37.846471-05:00,SGU2,10.0,2019-12-11 07:51:37.829879-05:00,1.9833333333333334
21,YUS,SGU2,10,South,2,152,2019-12-11 07:49:37.846127-05:00,SPA2,9.0,2019-12-11 07:51:37.825379-05:00,1.9833333333333334
22,YUS,SGU2,10,South,2,101,2019-12-11 07:51:37.829879-05:00,SPA2,9.0,2019-12-11 07:53:37.691948-05:00,1.9833333333333334
22,YUS,SGU2,10,South,2,101,2019-12-11 07:51:37.829879-05:00,SPA2,9.0,2019-12-11 07:53:37.691948-05:00,1.9833333333333334
22,YUS,SPA2,9,South,2,152,2019-12-11 07:51:37.825379-05:00,DUP2,8.0,2019-12-11 07:52:54.079350480-05:00,1.2666666666666666
23,YUS,SPA2,9,South,2,101,2019-12-11 07:53:37.691948-05:00,DUP2,8.0,2019-12-11 07:54:54.129477480-05:00,1.2666666666666666
23,YUS,SPA2,9,South,2,101,2019-12-11 07:53:37.691948-05:00,DUP2,8.0,2019-12-11 07:54:54.129477480-05:00,1.2666666666666666
23,YUS,DUP2,8,South,2,152,2019-12-11 07:52:54.079350480-05:00,SCW2,7.0,2019-12-11 07:55:37.613901-05:00,2.716666666666667
24,YUS,DUP2,8,South,2,101,2019-12-11 07:54:54.129477480-05:00,SCW2,7.0,2019-12-11 07:57:38.030594-05:00,2.716666666666667
24,YUS,DUP2,8,South,2,101,2019-12-11 07:54:54.129477480-05:00,SCW2,7.0,2019-12-11 07:57:38.030594-05:00,2.716666666666667
24,YUS,SCW2,7,South,2,152,2019-12-11 07:55:37.613901-05:00,CVL2,6.0,2019-12-11 08:00:37.622304-05:00,5.0
25,YUS,SCW2,7,South,2,101,2019-12-11 07:57:38.030594-05:00,CVL2,6.0,2019-12-11 08:02:37.517440-05:00,4.983333333333333
25,YUS,SCW2,7,South,2,101,2019-12-11 07:57:38.030594-05:00,CVL2,6.0,2019-12-11 08:02:37.517440-05:00,4.983333333333333
25,YUS,CVL2,6,South,2,152,2019-12-11 08:00:37.622304-05:00,GCN2,5.0,2019-12-11 08:02:37.516916-05:00,1.9833333333333334
26,YUS,CVL2,6,South,2,101,2019-12-11 08:02:37.517440-05:00,GCN2,5.0,2019-12-11 08:04:37.820374-05:00,2.0
26,YUS,CVL2,6,South,2,101,2019-12-11 08:02:37.517440-05:00,GCN2,5.0,2019-12-11 08:04:37.820374-05:00,2.0
26,YUS,GCN2,5,South,2,152,2019-12-11 08:02:37.516916-05:00,LWW2,4.0,2019-12-11 08:09:16.515604840-05:00,6.633333333333334
27,YUS,GCN2,5,South,2,101,2019-12-11 08:04:37.820374-05:00,LWW2,4.0,2019-12-11 08:09:37.506589-05:00,4.983333333333333
27,YUS,GCN2,5,South,2,101,2019-12-11 08:04:37.820374-05:00,LWW2,4.0,2019-12-11 08:09:37.506589-05:00,4.983333333333333
0,YUS,SHW2,1,South,0,101,2019-12-11 05:31:37.655905-05:00,DNP2,75.0,2019-12-11 05:34:20.083829560-05:00,2.7
31,YUS,SHW2,1,South,2,101,2019-12-11 08:16:37.819107-05:00,DNP2,75.0,2019-12-11 08:19:20.282363560-05:00,2.7
31,YUS,SHW2,1,South,2,101,2019-12-11 08:16:37.819107-05:00,DNP2,75.0,2019-12-11 08:19:20.282363560-05:00,2.7
1,YUS,DNP2,75,South,0,101,2019-12-11 05:34:20.083829560-05:00,FIW2,76.0,2019-12-11 05:36:37.431800-05:00,2.283333333333333
32,YUS,DNP2,75,South,2,101,2019-12-11 08:19:20.282363560-05:00,FIW2,76.0,2019-12-11 08:22:11.949769840-05:00,2.85
32,YUS,DNP2,75,South,2,101,2019-12-11 08:19:20.282363560-05:00,FIW2,76.0,2019-12-11 08:22:11.949769840-05:00,2.85
2,YUS,FIW2,76,South,0,101,2019-12-11 05:36:37.431800-05:00,YUN2,77.0,2019-12-11 05:38:37.607294-05:00,2.0
33,YUS,FIW2,76,South,2,101,2019-12-11 08:22:11.949769840-05:00,YUN2,77.0,2019-12-11 08:24:37.686680-05:00,2.4166666666666665
33,YUS,FIW2,76,South,2,101,2019-12-11 08:22:11.949769840-05:00,YUN2,77.0,2019-12-11 08:24:37.686680-05:00,2.4166666666666665
3,YUS,YUN2,77,South,0,101,2019-12-11 05:38:37.607294-05:00,PVL2,78.0,2019-12-11 05:39:48.389921500-05:00,1.1666666666666667
34,YUS,YUN2,77,South,2,101,2019-12-11 08:24:37.686680-05:00,PVL2,78.0,2019-12-11 08:26:37.669978-05:00,1.9833333333333334
34,YUS,YUN2,77,South,2,101,2019-12-11 08:24:37.686680-05:00,PVL2,78.0,2019-12-11 08:26:37.669978-05:00,1.9833333333333334
4,YUS,PVL2,78,South,0,101,2019-12-11 05:39:48.389921500-05:00,HWY2,79.0,2019-12-11 05:41:37.428373-05:00,1.8166666666666667
35,YUS,PVL2,78,South,2,101,2019-12-11 08:26:37.669978-05:00,HWY2,79.0,2019-12-11 08:28:37.916693-05:00,2.0
35,YUS,PVL2,78,South,2,101,2019-12-11 08:26:37.669978-05:00,HWY2,79.0,2019-12-11 08:28:37.916693-05:00,2.0
5,YUS,HWY2,79,South,0,101,2019-12-11 05:41:37.428373-05:00,VMC2,80.0,2019-12-11 05:44:11.874118860-05:00,2.566666666666667
36,YUS,HWY2,79,South,2,101,2019-12-11 08:28:37.916693-05:00,VMC1,80.0,2019-12-11 08:30:59.336748880-05:00,2.35
36,YUS,HWY2,79,South,2,101,2019-12-11 08:28:37.916693-05:00,VMC1,80.0,2019-12-11 08:30:59.336748880-05:00,2.35
6,YUS,VMC2,80,South,0,101,2019-12-11 05:44:11.874118860-05:00,VMC1,80.0,2019-12-11 05:44:11.874118860-05:00,0.0
0,YUS,FIN2,32,South,2,101,2019-12-11 07:08:52.809473-05:00,NYC2,31.0,2019-12-11 07:14:37.629305-05:00,5.733333333333333
0,YUS,FIN2,32,South,2,101,2019-12-11 07:08:52.809473-05:00,NYC2,31.0,2019-12-11 07:14:37.629305-05:00,5.733333333333333
28,YUS,LWW2,4,South,2,101,2019-12-11 08:09:37.506589-05:00,YKD2,3.0,2019-12-11 08:12:15.265149440-05:00,2.6166666666666667
28,YUS,LWW2,4,South,2,101,2019-12-11 08:09:37.506589-05:00,YKD2,3.0,2019-12-11 08:12:15.265149440-05:00,2.6166666666666667
29,YUS,YKD2,3,South,2,101,2019-12-11 08:12:15.265149440-05:00,WIL2,2.0,2019-12-11 08:13:37.681154-05:00,1.3666666666666667
29,YUS,YKD2,3,South,2,101,2019-12-11 08:12:15.265149440-05:00,WIL2,2.0,2019-12-11 08:13:37.681154-05:00,1.3666666666666667
30,YUS,WIL2,2,South,2,101,2019-12-11 08:13:37.681154-05:00,SHW2,1.0,2019-12-11 08:16:37.819107-05:00,3.0
30,YUS,WIL2,2,South,2,101,2019-12-11 08:13:37.681154-05:00,SHW2,1.0,2019-12-11 08:16:37.819107-05:00,3.0
0,YUS,FIN2,32,South,2,101,2019-12-11 07:08:52.809473-05:00,NYC2,31.0,2019-12-11 07:14:37.629305-05:00,5.733333333333333
1,YUS,NYC2,31,South,2,101,2019-12-11 07:14:37.629305-05:00,SHP2,64.0,2019-12-11 07:16:06.899981280-05:00,1.4833333333333334
2,YUS,SHP2,64,South,2,101,2019-12-11 07:16:06.899981280-05:00,YKM2,29.0,2019-12-11 07:18:37.465060-05:00,2.5
3,YUS,YKM2,29,South,2,101,2019-12-11 07:18:37.465060-05:00,LAW2,28.0,2019-12-11 07:21:44.830849-05:00,3.1166666666666667
4,YUS,LAW2,28,South,2,101,2019-12-11 07:21:44.830849-05:00,EGL2,27.0,2019-12-11 07:24:37.288300-05:00,2.8666666666666667
5,YUS,EGL2,27,South,2,101,2019-12-11 07:24:37.288300-05:00,DAV2,26.0,2019-12-11 07:26:37.470315-05:00,2.0
6,YUS,DAV2,26,South,2,101,2019-12-11 07:26:37.470315-05:00,STC2,25.0,2019-12-11 07:28:37.888408-05:00,2.0
7,YUS,STC2,25,South,2,101,2019-12-11 07:28:37.888408-05:00,SUM2,24.0,2019-12-11 07:29:37.714402-05:00,0.9833333333333333
8,YUS,SUM2,24,South,2,101,2019-12-11 07:29:37.714402-05:00,ROS2,23.0,2019-12-11 07:30:54.104601100-05:00,1.2666666666666666
9,YUS,ROS2,23,South,2,101,2019-12-11 07:30:54.104601100-05:00,BLO2,22.0,2019-12-11 07:32:37.549719-05:00,1.7166666666666666
10,YUS,BLO2,22,South,2,101,2019-12-11 07:32:37.549719-05:00,WEL2,21.0,2019-12-11 07:34:06.718536260-05:00,1.4833333333333334
11,YUS,WEL2,21,South,2,101,2019-12-11 07:34:06.718536260-05:00,COL2,20.0,2019-12-11 07:35:37.408392-05:00,1.5
12,YUS,COL2,20,South,2,101,2019-12-11 07:35:37.408392-05:00,DUN2,19.0,2019-12-11 07:36:38.158429-05:00,1.0
13,YUS,DUN2,19,South,2,101,2019-12-11 07:36:38.158429-05:00,QUN2,18.0,2019-12-11 07:37:37.437274-05:00,0.9833333333333333
14,YUS,QUN2,18,South,2,101,2019-12-11 07:37:37.437274-05:00,KNG2,17.0,2019-12-11 07:39:37.648622-05:00,2.0
15,YUS,KNG2,17,South,2,101,2019-12-11 07:39:37.648622-05:00,UNI2,16.0,2019-12-11 07:40:37.692511-05:00,1.0
16,YUS,UNI2,16,South,2,101,2019-12-11 07:40:37.692511-05:00,STA2,15.0,2019-12-11 07:42:37.423787-05:00,1.9833333333333334
17,YUS,STA2,15,South,2,101,2019-12-11 07:42:37.423787-05:00,OSG2,14.0,2019-12-11 07:44:37.530118-05:00,2.0
18,YUS,OSG2,14,South,2,101,2019-12-11 07:44:37.530118-05:00,STP2,13.0,2019-12-11 07:46:37.667922-05:00,2.0
19,YUS,STP2,13,South,2,101,2019-12-11 07:46:37.667922-05:00,QPK2,12.0,2019-12-11 07:48:11.380801880-05:00,1.55
20,YUS,QPK2,12,South,2,101,2019-12-11 07:48:11.380801880-05:00,MUS2,11.0,2019-12-11 07:49:37.846471-05:00,1.4333333333333333
21,YUS,MUS2,11,South,2,101,2019-12-11 07:49:37.846471-05:00,SGU2,10.0,2019-12-11 07:51:37.829879-05:00,1.9833333333333334
22,YUS,SGU2,10,South,2,101,2019-12-11 07:51:37.829879-05:00,SPA2,9.0,2019-12-11 07:53:37.691948-05:00,1.9833333333333334
23,YUS,SPA2,9,South,2,101,2019-12-11 07:53:37.691948-05:00,DUP2,8.0,2019-12-11 07:54:54.129477480-05:00,1.2666666666666666
24,YUS,DUP2,8,South,2,101,2019-12-11 07:54:54.129477480-05:00,SCW2,7.0,2019-12-11 07:57:38.030594-05:00,2.716666666666667
25,YUS,SCW2,7,South,2,101,2019-12-11 07:57:38.030594-05:00,CVL2,6.0,2019-12-11 08:02:37.517440-05:00,4.983333333333333
26,YUS,CVL2,6,South,2,101,2019-12-11 08:02:37.517440-05:00,GCN2,5.0,2019-12-11 08:04:37.820374-05:00,2.0
27,YUS,GCN2,5,South,2,101,2019-12-11 08:04:37.820374-05:00,LWW2,4.0,2019-12-11 08:09:37.506589-05:00,4.983333333333333
28,YUS,LWW2,4,South,2,101,2019-12-11 08:09:37.506589-05:00,YKD2,3.0,2019-12-11 08:12:15.265149440-05:00,2.6166666666666667
29,YUS,YKD2,3,South,2,101,2019-12-11 08:12:15.265149440-05:00,WIL2,2.0,2019-12-11 08:13:37.681154-05:00,1.3666666666666667
30,YUS,WIL2,2,South,2,101,2019-12-11 08:13:37.681154-05:00,SHW2,1.0,2019-12-11 08:16:37.819107-05:00,3.0
31,YUS,SHW2,1,South,2,101,2019-12-11 08:16:37.819107-05:00,DNP2,75.0,2019-12-11 08:19:20.282363560-05:00,2.7
0,YUS,SHW2,1,South,0,124,2019-12-11 06:31:37.604250-05:00,DNP2,75.0,2019-12-11 06:33:37.561431-05:00,1.9833333333333334
0,YUS,SHW2,1,South,0,124,2019-12-11 06:31:37.604250-05:00,DNP2,75.0,2019-12-11 06:33:37.561431-05:00,1.9833333333333334
32,YUS,DNP2,75,South,2,101,2019-12-11 08:19:20.282363560-05:00,FIW2,76.0,2019-12-11 08:22:11.949769840-05:00,2.85
1,YUS,DNP2,75,South,0,124,2019-12-11 06:33:37.561431-05:00,FIW2,76.0,2019-12-11 06:36:37.602315-05:00,3.0
1,YUS,DNP2,75,South,0,124,2019-12-11 06:33:37.561431-05:00,FIW2,76.0,2019-12-11 06:36:37.602315-05:00,3.0
33,YUS,FIW2,76,South,2,101,2019-12-11 08:22:11.949769840-05:00,YUN2,77.0,2019-12-11 08:24:37.686680-05:00,2.4166666666666665
2,YUS,FIW2,76,South,0,124,2019-12-11 06:36:37.602315-05:00,YUN2,77.0,2019-12-11 06:38:37.462443-05:00,1.9833333333333334
