index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,SCW1,7,North,0,146,2019-12-06 11:02:37.521927-05:00,DUP1,8.0,2019-12-06 11:05:38.007266-05:00,3.0
0,YUS,SCW1,7,North,0,146,2019-12-06 11:02:37.521927-05:00,DUP1,8.0,2019-12-06 11:05:38.007266-05:00,3.0
12,YUS,SCW1,7,North,2,146,2019-12-06 13:43:37.734422-05:00,DUP1,8.0,2019-12-06 13:45:37.430357-05:00,1.9833333333333334
1,YUS,DUP1,8,North,0,146,2019-12-06 11:05:38.007266-05:00,SPA1,9.0,2019-12-06 11:06:37.879293-05:00,0.9833333333333333
1,YUS,DUP1,8,North,0,146,2019-12-06 11:05:38.007266-05:00,SPA1,9.0,2019-12-06 11:06:37.879293-05:00,0.9833333333333333
13,YUS,DUP1,8,North,2,146,2019-12-06 13:45:37.430357-05:00,SPA1,9.0,2019-12-06 13:47:37.782560-05:00,2.0
2,YUS,SPA1,9,North,0,146,2019-12-06 11:06:37.879293-05:00,SGU1,10.0,2019-12-06 11:08:37.708350-05:00,1.9833333333333334
2,YUS,SPA1,9,North,0,146,2019-12-06 11:06:37.879293-05:00,SGU1,10.0,2019-12-06 11:08:37.708350-05:00,1.9833333333333334
14,YUS,SPA1,9,North,2,146,2019-12-06 13:47:37.782560-05:00,SGU1,10.0,2019-12-06 13:49:37.505488-05:00,1.9833333333333334
3,YUS,SGU1,10,North,0,146,2019-12-06 11:08:37.708350-05:00,MUS1,11.0,2019-12-06 11:10:37.341310-05:00,1.9833333333333334
3,YUS,SGU1,10,North,0,146,2019-12-06 11:08:37.708350-05:00,MUS1,11.0,2019-12-06 11:10:37.341310-05:00,1.9833333333333334
15,YUS,SGU1,10,North,2,146,2019-12-06 13:49:37.505488-05:00,MUS1,11.0,2019-12-06 13:51:37.805240-05:00,2.0
4,YUS,MUS1,11,North,0,146,2019-12-06 11:10:37.341310-05:00,QPK1,12.0,2019-12-06 11:12:37.726590-05:00,2.0
4,YUS,MUS1,11,North,0,146,2019-12-06 11:10:37.341310-05:00,QPK1,12.0,2019-12-06 11:12:37.726590-05:00,2.0
16,YUS,MUS1,11,North,2,146,2019-12-06 13:51:37.805240-05:00,QPK1,12.0,2019-12-06 13:52:37.619054-05:00,0.9833333333333333
5,YUS,QPK1,12,North,0,146,2019-12-06 11:12:37.726590-05:00,STP1,13.0,2019-12-06 11:13:37.726833-05:00,1.0
5,YUS,QPK1,12,North,0,146,2019-12-06 11:12:37.726590-05:00,STP1,13.0,2019-12-06 11:13:37.726833-05:00,1.0
17,YUS,QPK1,12,North,2,146,2019-12-06 13:52:37.619054-05:00,STP1,13.0,2019-12-06 13:54:37.643329-05:00,2.0
6,YUS,STP1,13,North,0,146,2019-12-06 11:13:37.726833-05:00,OSG1,14.0,2019-12-06 11:15:01.603252380-05:00,1.3833333333333333
6,YUS,STP1,13,North,0,146,2019-12-06 11:13:37.726833-05:00,OSG1,14.0,2019-12-06 11:15:01.603252380-05:00,1.3833333333333333
18,YUS,STP1,13,North,2,146,2019-12-06 13:54:37.643329-05:00,OSG1,14.0,2019-12-06 13:55:24.360923160-05:00,0.7666666666666667
7,YUS,OSG1,14,North,0,146,2019-12-06 11:15:01.603252380-05:00,STA1,15.0,2019-12-06 11:15:53.830537940-05:00,0.8666666666666667
7,YUS,OSG1,14,North,0,146,2019-12-06 11:15:01.603252380-05:00,STA1,15.0,2019-12-06 11:15:53.830537940-05:00,0.8666666666666667
19,YUS,OSG1,14,North,2,146,2019-12-06 13:55:24.360923160-05:00,STA1,15.0,2019-12-06 13:56:37.607407-05:00,1.2166666666666666
8,YUS,STA1,15,North,0,146,2019-12-06 11:15:53.830537940-05:00,UNI1,16.0,2019-12-06 11:17:37.703206-05:00,1.7166666666666666
8,YUS,STA1,15,North,0,146,2019-12-06 11:15:53.830537940-05:00,UNI1,16.0,2019-12-06 11:17:37.703206-05:00,1.7166666666666666
20,YUS,STA1,15,North,2,146,2019-12-06 13:56:37.607407-05:00,UNI1,16.0,2019-12-06 13:58:37.685093-05:00,2.0
9,YUS,UNI1,16,North,0,146,2019-12-06 11:17:37.703206-05:00,KNG1,17.0,2019-12-06 11:19:37.459805-05:00,1.9833333333333334
9,YUS,UNI1,16,North,0,146,2019-12-06 11:17:37.703206-05:00,KNG1,17.0,2019-12-06 11:19:37.459805-05:00,1.9833333333333334
21,YUS,UNI1,16,North,2,146,2019-12-06 13:58:37.685093-05:00,KNG1,17.0,2019-12-06 13:59:37.591599-05:00,0.9833333333333333
10,YUS,KNG1,17,North,0,146,2019-12-06 11:19:37.459805-05:00,QUN1,18.0,2019-12-06 11:20:37.589138-05:00,1.0
10,YUS,KNG1,17,North,0,146,2019-12-06 11:19:37.459805-05:00,QUN1,18.0,2019-12-06 11:20:37.589138-05:00,1.0
22,YUS,KNG1,17,North,2,146,2019-12-06 13:59:37.591599-05:00,QUN1,18.0,2019-12-06 14:01:37.630228-05:00,2.0
11,YUS,QUN1,18,North,0,146,2019-12-06 11:20:37.589138-05:00,DUN1,19.0,2019-12-06 11:21:43.343705120-05:00,1.0833333333333333
11,YUS,QUN1,18,North,0,146,2019-12-06 11:20:37.589138-05:00,DUN1,19.0,2019-12-06 11:21:43.343705120-05:00,1.0833333333333333
23,YUS,QUN1,18,North,2,146,2019-12-06 14:01:37.630228-05:00,DUN1,19.0,2019-12-06 14:03:37.553066-05:00,1.9833333333333334
12,YUS,DUN1,19,North,0,146,2019-12-06 11:21:43.343705120-05:00,COL1,20.0,2019-12-06 11:23:37.542525-05:00,1.9
12,YUS,DUN1,19,North,0,146,2019-12-06 11:21:43.343705120-05:00,COL1,20.0,2019-12-06 11:23:37.542525-05:00,1.9
24,YUS,DUN1,19,North,2,146,2019-12-06 14:03:37.553066-05:00,COL1,20.0,2019-12-06 14:04:37.447803-05:00,0.9833333333333333
13,YUS,COL1,20,North,0,146,2019-12-06 11:23:37.542525-05:00,WEL1,21.0,2019-12-06 11:24:38.431716-05:00,1.0
13,YUS,COL1,20,North,0,146,2019-12-06 11:23:37.542525-05:00,WEL1,21.0,2019-12-06 11:24:38.431716-05:00,1.0
25,YUS,COL1,20,North,2,146,2019-12-06 14:04:37.447803-05:00,WEL1,21.0,2019-12-06 14:05:37.778641-05:00,1.0
14,YUS,WEL1,21,North,0,146,2019-12-06 11:24:38.431716-05:00,BLO1,22.0,2019-12-06 11:25:37.644495-05:00,0.9833333333333333
14,YUS,WEL1,21,North,0,146,2019-12-06 11:24:38.431716-05:00,BLO1,22.0,2019-12-06 11:25:37.644495-05:00,0.9833333333333333
