index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,DUP1,8,North,0,165,2019-12-04 20:00:37.620324-05:00,SPA1,9.0,2019-12-04 20:01:37.406617-05:00,0.9833333333333333
13,YUS,DUP1,8,North,2,165,2019-12-04 22:43:37.464869-05:00,SPA1,9.0,2019-12-04 22:45:38.166097-05:00,2.0
1,YUS,SPA1,9,North,0,165,2019-12-04 20:01:37.406617-05:00,SGU1,10.0,2019-12-04 20:03:37.456004-05:00,2.0
14,YUS,SPA1,9,North,2,165,2019-12-04 22:45:38.166097-05:00,SGU1,48.0,2019-12-04 22:47:45.331715-05:00,2.1166666666666667
2,YUS,SGU1,10,North,0,165,2019-12-04 20:03:37.456004-05:00,MUS1,11.0,2019-12-04 20:05:37.571097-05:00,2.0
15,YUS,SGU1,48,North,2,165,2019-12-04 22:47:45.331715-05:00,MUS1,11.0,2019-12-04 22:49:46.428985020-05:00,2.0166666666666666
3,YUS,MUS1,11,North,0,165,2019-12-04 20:05:37.571097-05:00,QPK1,12.0,2019-12-04 20:07:37.840512-05:00,2.0
16,YUS,MUS1,11,North,2,165,2019-12-04 22:49:46.428985020-05:00,QPK1,12.0,2019-12-04 22:51:37.551671-05:00,1.85
4,YUS,QPK1,12,North,0,165,2019-12-04 20:07:37.840512-05:00,STP1,13.0,2019-12-04 20:09:04.832896160-05:00,1.4333333333333333
17,YUS,QPK1,12,North,2,165,2019-12-04 22:51:37.551671-05:00,STP1,13.0,2019-12-04 22:52:37.522497-05:00,0.9833333333333333
5,YUS,STP1,13,North,0,165,2019-12-04 20:09:04.832896160-05:00,OSG1,14.0,2019-12-04 20:10:09.372814020-05:00,1.0666666666666667
18,YUS,STP1,13,North,2,165,2019-12-04 22:52:37.522497-05:00,OSG1,14.0,2019-12-04 22:53:59.785897340-05:00,1.3666666666666667
6,YUS,OSG1,14,North,0,165,2019-12-04 20:10:09.372814020-05:00,STA1,15.0,2019-12-04 20:11:13.182520-05:00,1.05
19,YUS,OSG1,14,North,2,165,2019-12-04 22:53:59.785897340-05:00,STA1,15.0,2019-12-04 22:54:37.653092-05:00,0.6166666666666667
7,YUS,STA1,15,North,0,165,2019-12-04 20:11:13.182520-05:00,UNI1,16.0,2019-12-04 20:12:37.514968-05:00,1.4
20,YUS,STA1,15,North,2,165,2019-12-04 22:54:37.653092-05:00,UNI1,16.0,2019-12-04 22:56:37.790894-05:00,2.0
8,YUS,UNI1,16,North,0,165,2019-12-04 20:12:37.514968-05:00,KNG1,17.0,2019-12-04 20:14:37.718069-05:00,2.0
21,YUS,UNI1,16,North,2,165,2019-12-04 22:56:37.790894-05:00,KNG1,17.0,2019-12-04 22:57:37.509585-05:00,0.9833333333333333
9,YUS,KNG1,17,North,0,165,2019-12-04 20:14:37.718069-05:00,QUN1,18.0,2019-12-04 20:15:37.697918-05:00,0.9833333333333333
22,YUS,KNG1,17,North,2,165,2019-12-04 22:57:37.509585-05:00,QUN1,18.0,2019-12-04 22:58:37.439999-05:00,0.9833333333333333
10,YUS,QUN1,18,North,0,165,2019-12-04 20:15:37.697918-05:00,DUN1,19.0,2019-12-04 20:17:37.579347-05:00,1.9833333333333334
23,YUS,QUN1,18,North,2,165,2019-12-04 22:58:37.439999-05:00,DUN1,19.0,2019-12-04 23:00:07.565954980-05:00,1.5
11,YUS,DUN1,19,North,0,165,2019-12-04 20:17:37.579347-05:00,COL1,20.0,2019-12-04 20:18:37.435909-05:00,0.9833333333333333
24,YUS,DUN1,19,North,2,165,2019-12-04 23:00:07.565954980-05:00,COL1,20.0,2019-12-04 23:01:37.828197-05:00,1.5
12,YUS,COL1,20,North,0,165,2019-12-04 20:18:37.435909-05:00,WEL1,21.0,2019-12-04 20:19:54.234215420-05:00,1.2666666666666666
25,YUS,COL1,20,North,2,165,2019-12-04 23:01:37.828197-05:00,WEL1,21.0,2019-12-04 23:02:37.713835-05:00,0.9833333333333333
13,YUS,WEL1,21,North,0,165,2019-12-04 20:19:54.234215420-05:00,BLO1,22.0,2019-12-04 20:21:37.469430-05:00,1.7166666666666666
26,YUS,WEL1,21,North,2,165,2019-12-04 23:02:37.713835-05:00,BLO1,22.0,2019-12-04 23:03:37.731678-05:00,1.0
14,YUS,BLO1,22,North,0,165,2019-12-04 20:21:37.469430-05:00,ROS1,23.0,2019-12-04 20:23:37.519990-05:00,2.0
27,YUS,BLO1,22,North,2,165,2019-12-04 23:03:37.731678-05:00,ROS1,23.0,2019-12-04 23:05:37.536802-05:00,1.9833333333333334
15,YUS,ROS1,23,North,0,165,2019-12-04 20:23:37.519990-05:00,SUM1,24.0,2019-12-04 20:24:37.768778-05:00,1.0
28,YUS,ROS1,23,North,2,165,2019-12-04 23:05:37.536802-05:00,SUM1,24.0,2019-12-04 23:06:37.470816-05:00,0.9833333333333333
16,YUS,SUM1,24,North,0,165,2019-12-04 20:24:37.768778-05:00,STC1,25.0,2019-12-04 20:26:37.606410-05:00,1.9833333333333334
29,YUS,SUM1,24,North,2,165,2019-12-04 23:06:37.470816-05:00,STC1,25.0,2019-12-04 23:08:37.654236-05:00,2.0
17,YUS,STC1,25,North,0,165,2019-12-04 20:26:37.606410-05:00,DAV1,26.0,2019-12-04 20:28:44.747724-05:00,2.1166666666666667
30,YUS,STC1,25,North,2,165,2019-12-04 23:08:37.654236-05:00,DAV1,26.0,2019-12-04 23:10:37.816863-05:00,2.0
18,YUS,DAV1,26,North,0,165,2019-12-04 20:28:44.747724-05:00,EGL1,27.0,2019-12-04 20:29:52.748411-05:00,1.1333333333333333
31,YUS,DAV1,26,North,2,165,2019-12-04 23:10:37.816863-05:00,EGL1,27.0,2019-12-04 23:14:10.563843360-05:00,3.533333333333333
19,YUS,EGL1,27,North,0,165,2019-12-04 20:29:52.748411-05:00,LAW1,28.0,2019-12-04 20:33:18.144576-05:00,3.4166666666666665
20,YUS,LAW1,28,North,0,165,2019-12-04 20:33:18.144576-05:00,YKM1,29.0,2019-12-04 20:35:59.082997160-05:00,2.6666666666666665
21,YUS,YKM1,29,North,0,165,2019-12-04 20:35:59.082997160-05:00,SHP1,64.0,2019-12-04 20:39:03.822092840-05:00,3.066666666666667
22,YUS,SHP1,64,North,0,165,2019-12-04 20:39:03.822092840-05:00,NYC1,31.0,2019-12-04 20:42:44.944251-05:00,3.683333333333333
23,YUS,NYC1,31,North,0,165,2019-12-04 20:42:44.944251-05:00,FIN1,32.0,2019-12-04 20:47:52.948004-05:00,5.133333333333334
0,YUS,VMC1,80,North,2,165,2019-12-04 22:05:37.556434-05:00,HWY1,79.0,2019-12-04 22:13:37.571735-05:00,8.0
0,YUS,VMC1,80,North,4,165,2019-12-05 00:19:44.398517-05:00,HWY1,79.0,2019-12-05 00:25:03.518627240-05:00,5.316666666666666
1,YUS,HWY1,79,North,2,165,2019-12-04 22:13:37.571735-05:00,PVL1,78.0,2019-12-04 22:15:45.064135-05:00,2.1166666666666667
2,YUS,PVL1,78,North,2,165,2019-12-04 22:15:45.064135-05:00,YUN1,77.0,2019-12-04 22:17:37.622242-05:00,1.8666666666666667
3,YUS,YUN1,77,North,2,165,2019-12-04 22:17:37.622242-05:00,FIW1,76.0,2019-12-04 22:19:37.491187-05:00,1.9833333333333334
4,YUS,FIW1,76,North,2,165,2019-12-04 22:19:37.491187-05:00,DNP1,75.0,2019-12-04 22:22:37.368838-05:00,2.9833333333333334
5,YUS,DNP1,75,North,2,165,2019-12-04 22:22:37.368838-05:00,SHW1,1.0,2019-12-04 22:24:37.681372-05:00,2.0
6,YUS,SHW1,1,North,2,165,2019-12-04 22:24:37.681372-05:00,WIL1,2.0,2019-12-04 22:27:37.432569-05:00,2.9833333333333334
7,YUS,WIL1,2,North,2,165,2019-12-04 22:27:37.432569-05:00,YKD1,3.0,2019-12-04 22:29:37.538930-05:00,2.0
8,YUS,YKD1,3,North,2,165,2019-12-04 22:29:37.538930-05:00,LWW1,4.0,2019-12-04 22:31:37.770256-05:00,2.0
9,YUS,LWW1,4,North,2,165,2019-12-04 22:31:37.770256-05:00,GCN1,5.0,2019-12-04 22:33:37.457661-05:00,1.9833333333333334
10,YUS,GCN1,5,North,2,165,2019-12-04 22:33:37.457661-05:00,CVL1,6.0,2019-12-04 22:35:37.803841-05:00,2.0
11,YUS,CVL1,6,North,2,165,2019-12-04 22:35:37.803841-05:00,SCW1,7.0,2019-12-04 22:39:37.563851-05:00,3.9833333333333334
12,YUS,SCW1,7,North,2,165,2019-12-04 22:39:37.563851-05:00,DUP1,8.0,2019-12-04 22:43:37.464869-05:00,3.9833333333333334
0,YUS,EGL2,27,South,3,165,2019-12-04 23:20:37.729020-05:00,DAV2,26.0,2019-12-04 23:22:51.992199020-05:00,2.2333333333333334
1,YUS,DAV2,26,South,3,165,2019-12-04 23:22:51.992199020-05:00,STC2,25.0,2019-12-04 23:24:37.544033-05:00,1.75
