index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,SPA2,9,South,0,102,2019-12-16 11:00:37.486506-05:00,DUP2,8.0,2019-12-16 11:01:53.984668160-05:00,1.2666666666666666
0,YUS,SPA2,9,South,0,102,2019-12-16 11:00:37.486506-05:00,DUP2,8.0,2019-12-16 11:01:53.984668160-05:00,1.2666666666666666
24,YUS,SPA2,9,South,2,102,2019-12-16 13:33:37.581727-05:00,DUP2,8.0,2019-12-16 13:34:53.743871160-05:00,1.2666666666666666
1,YUS,DUP2,8,South,0,102,2019-12-16 11:01:53.984668160-05:00,SCW2,7.0,2019-12-16 11:04:37.731618-05:00,2.716666666666667
1,YUS,DUP2,8,South,0,102,2019-12-16 11:01:53.984668160-05:00,SCW2,7.0,2019-12-16 11:04:37.731618-05:00,2.716666666666667
25,YUS,DUP2,8,South,2,102,2019-12-16 13:34:53.743871160-05:00,SCW2,7.0,2019-12-16 13:37:37.596364-05:00,2.716666666666667
2,YUS,SCW2,7,South,0,102,2019-12-16 11:04:37.731618-05:00,CVL2,6.0,2019-12-16 11:09:37.422509-05:00,4.983333333333333
2,YUS,SCW2,7,South,0,102,2019-12-16 11:04:37.731618-05:00,CVL2,6.0,2019-12-16 11:09:37.422509-05:00,4.983333333333333
26,YUS,SCW2,7,South,2,102,2019-12-16 13:37:37.596364-05:00,CVL2,6.0,2019-12-16 13:41:37.757800-05:00,4.0
3,YUS,CVL2,6,South,0,102,2019-12-16 11:09:37.422509-05:00,GCN2,5.0,2019-12-16 11:11:37.557868-05:00,2.0
3,YUS,CVL2,6,South,0,102,2019-12-16 11:09:37.422509-05:00,GCN2,5.0,2019-12-16 11:11:37.557868-05:00,2.0
27,YUS,CVL2,6,South,2,102,2019-12-16 13:41:37.757800-05:00,GCN2,5.0,2019-12-16 13:43:37.733389-05:00,1.9833333333333334
4,YUS,GCN2,5,South,0,102,2019-12-16 11:11:37.557868-05:00,LWW2,4.0,2019-12-16 11:12:37.317565-05:00,0.9833333333333333
4,YUS,GCN2,5,South,0,102,2019-12-16 11:11:37.557868-05:00,LWW2,4.0,2019-12-16 11:12:37.317565-05:00,0.9833333333333333
28,YUS,GCN2,5,South,2,102,2019-12-16 13:43:37.733389-05:00,LWW2,4.0,2019-12-16 13:45:37.669227-05:00,1.9833333333333334
5,YUS,LWW2,4,South,0,102,2019-12-16 11:12:37.317565-05:00,YKD2,3.0,2019-12-16 11:14:37.387567-05:00,2.0
5,YUS,LWW2,4,South,0,102,2019-12-16 11:12:37.317565-05:00,YKD2,3.0,2019-12-16 11:14:37.387567-05:00,2.0
29,YUS,LWW2,4,South,2,102,2019-12-16 13:45:37.669227-05:00,YKD2,3.0,2019-12-16 13:47:37.676740-05:00,2.0
6,YUS,YKD2,3,South,0,102,2019-12-16 11:14:37.387567-05:00,WIL2,2.0,2019-12-16 11:16:37.667035-05:00,2.0
6,YUS,YKD2,3,South,0,102,2019-12-16 11:14:37.387567-05:00,WIL2,2.0,2019-12-16 11:16:37.667035-05:00,2.0
30,YUS,YKD2,3,South,2,102,2019-12-16 13:47:37.676740-05:00,WIL2,2.0,2019-12-16 13:49:37.524346-05:00,1.9833333333333334
7,YUS,WIL2,2,South,0,102,2019-12-16 11:16:37.667035-05:00,SHW2,1.0,2019-12-16 11:19:37.582407-05:00,2.9833333333333334
7,YUS,WIL2,2,South,0,102,2019-12-16 11:16:37.667035-05:00,SHW2,1.0,2019-12-16 11:19:37.582407-05:00,2.9833333333333334
31,YUS,WIL2,2,South,2,102,2019-12-16 13:49:37.524346-05:00,SHW2,1.0,2019-12-16 13:52:37.730905-05:00,3.0
8,YUS,SHW2,1,South,0,102,2019-12-16 11:19:37.582407-05:00,DNP2,75.0,2019-12-16 11:22:20.467380840-05:00,2.7
8,YUS,SHW2,1,South,0,102,2019-12-16 11:19:37.582407-05:00,DNP2,75.0,2019-12-16 11:22:20.467380840-05:00,2.7
32,YUS,SHW2,1,South,2,102,2019-12-16 13:52:37.730905-05:00,DNP2,75.0,2019-12-16 13:54:37.799843-05:00,2.0
9,YUS,DNP2,75,South,0,102,2019-12-16 11:22:20.467380840-05:00,FIW2,76.0,2019-12-16 11:24:37.674960-05:00,2.283333333333333
9,YUS,DNP2,75,South,0,102,2019-12-16 11:22:20.467380840-05:00,FIW2,76.0,2019-12-16 11:24:37.674960-05:00,2.283333333333333
33,YUS,DNP2,75,South,2,102,2019-12-16 13:54:37.799843-05:00,FIW2,76.0,2019-12-16 13:57:37.274824-05:00,2.9833333333333334
10,YUS,FIW2,76,South,0,102,2019-12-16 11:24:37.674960-05:00,YUN2,77.0,2019-12-16 11:27:16.263854740-05:00,2.6333333333333333
10,YUS,FIW2,76,South,0,102,2019-12-16 11:24:37.674960-05:00,YUN2,77.0,2019-12-16 11:27:16.263854740-05:00,2.6333333333333333
34,YUS,FIW2,76,South,2,102,2019-12-16 13:57:37.274824-05:00,YUN2,77.0,2019-12-16 13:59:37.787924-05:00,2.0
11,YUS,YUN2,77,South,0,102,2019-12-16 11:27:16.263854740-05:00,PVL2,78.0,2019-12-16 11:28:44.875950-05:00,1.4666666666666666
11,YUS,YUN2,77,South,0,102,2019-12-16 11:27:16.263854740-05:00,PVL2,78.0,2019-12-16 11:28:44.875950-05:00,1.4666666666666666
35,YUS,YUN2,77,South,2,102,2019-12-16 13:59:37.787924-05:00,PVL2,78.0,2019-12-16 14:01:37.755763-05:00,1.9833333333333334
12,YUS,PVL2,78,South,0,102,2019-12-16 11:28:44.875950-05:00,HWY2,79.0,2019-12-16 11:30:37.596067-05:00,1.8666666666666667
12,YUS,PVL2,78,South,0,102,2019-12-16 11:28:44.875950-05:00,HWY2,79.0,2019-12-16 11:30:37.596067-05:00,1.8666666666666667
36,YUS,PVL2,78,South,2,102,2019-12-16 14:01:37.755763-05:00,HWY2,79.0,2019-12-16 14:03:18.855280840-05:00,1.6833333333333333
13,YUS,HWY2,79,South,0,102,2019-12-16 11:30:37.596067-05:00,VMC2,80.0,2019-12-16 11:35:37.562027-05:00,4.983333333333333
13,YUS,HWY2,79,South,0,102,2019-12-16 11:30:37.596067-05:00,VMC2,80.0,2019-12-16 11:35:37.562027-05:00,4.983333333333333
38,YUS,VMC1,80,South,2,102,2019-12-16 14:05:35.407092120-05:00,VMC2,80.0,2019-12-16 14:05:35.407092120-05:00,0.0
37,YUS,HWY2,79,South,2,102,2019-12-16 14:03:18.855280840-05:00,VMC1,80.0,2019-12-16 14:05:35.407092120-05:00,2.2666666666666666
0,YUS,FIN1,32,South,2,102,2019-12-16 12:53:58.763544640-05:00,FIN2,32.0,2019-12-16 12:54:37.780483-05:00,0.65
