date,period,type,ttt,ge_raw,ttt_base,ge_base,rel_ge,additional_tt,group
2019-12-11,MD,c0_md,1389697.8333333333,0.02601012373379111,1242509.6666666667,0.027967757483051744,93.00039071617758,147188.1666666665,c0
2019-12-12,MD,c0_md,1388664.1666666667,0.025907731163694516,1242509.6666666667,0.027967757483051744,92.63428138417751,146154.5,c0
2019-12-13,MD,c0_md,1402622.8333333333,0.0257776901536155,1242509.6666666667,0.027967757483051744,92.16931378655079,160113.1666666665,c0
2019-12-17,MD,c0_md,1682552.3333333333,0.023590044304329778,1242509.6666666667,0.027967757483051744,84.3472856864737,440042.6666666665,c0
2019-12-18,MD,c0_md,1380987.6666666667,0.026086295132704898,1242509.6666666667,0.027967757483051744,93.27274504762494,138478.0,c0
2019-12-19,MD,c0_md,1449923.0,0.025213767341572168,1242509.6666666667,0.027967757483051744,90.15298190014529,207413.33333333326,c0
2019-12-20,MD,c0_md,1413532.6666666667,0.0256182531400474,1242509.6666666667,0.027967757483051744,91.59923942980367,171023.0,c0
2019-12-23,MD,c0_md,1392168.8333333333,0.02594163767197117,1242509.6666666667,0.027967757483051744,92.75551566010114,149659.1666666665,c0
2019-12-27,MD,c0_md,1355834.1666666667,0.026467622371946303,1242509.6666666667,0.027967757483051744,94.63619808626233,113324.5,c0
2019-12-30,MD,c0_md,1351101.6666666667,0.026632529681763596,1242509.6666666667,0.027967757483051744,95.22583173821752,108592.0,c0
2020-01-02,MD,c0_md,1354933.6666666667,0.026528752048052957,1242509.6666666667,0.027967757483051744,94.85477004772079,112424.0,c0
2020-01-03,MD,c0_md,1370061.1666666667,0.026371226661818806,1242509.6666666667,0.027967757483051744,94.29153080220884,127551.5,c0
2019-11-14,MD,imm_md,198977.460236682,0.02576179056271155,198977.460236682,0.02576179056271155,100.0,0.0,imm
2019-11-28,MD,imm_md,223119.66087599605,0.023863127508894504,198977.460236682,0.02576179056271155,92.62992590054967,24142.200639314047,imm
2019-11-29,MD,imm_md,225541.21873690622,0.023607048440641522,198977.460236682,0.02576179056271155,91.63589923291717,26563.758500224212,imm
2019-12-02,MD,imm_md,219161.4895227795,0.024115575008548624,198977.460236682,0.02576179056271155,93.60985584384918,20184.029286097502,imm
2019-12-03,MD,imm_md,223521.52181092993,0.023759247731987915,198977.460236682,0.02576179056271155,92.22669392545183,24544.061574247928,imm
2019-12-04,MD,imm_md,224814.66967857623,0.023740092460427426,198977.460236682,0.02576179056271155,92.15233856760564,25837.20944189423,imm
2019-12-05,MD,imm_md,226909.94455532642,0.023642054837089664,198977.460236682,0.02576179056271155,91.77178418378239,27932.48431864442,imm
2019-12-06,MD,imm_md,224932.90980629783,0.023772617847221386,198977.460236682,0.02576179056271155,92.27859293922933,25955.449569615826,imm
2019-12-09,MD,imm_md,221108.48790472912,0.024077450175547518,198977.460236682,0.02576179056271155,93.46186600242764,22131.027668047114,imm
2019-12-10,MD,imm_md,225990.17115677922,0.023681761495145143,198977.460236682,0.02576179056271155,91.92591422361338,27012.71092009722,imm
2019-12-11,MD,imm_md,226090.79401395633,0.02375123583376161,198977.460236682,0.02576179056271155,92.19559399780199,27113.333777274325,imm
2019-12-12,MD,imm_md,222567.92696008206,0.023839265505298104,198977.460236682,0.02576179056271155,92.5373003373602,23590.46672340005,imm
2019-12-13,MD,imm_md,226974.08278638465,0.023558872571670192,198977.460236682,0.02576179056271155,91.44889410664672,27996.622549702646,imm
2019-12-17,MD,imm_md,276170.1013526356,0.02123844249080768,198977.460236682,0.02576179056271155,82.44163944702233,77192.6411159536,imm
2019-12-18,MD,imm_md,223751.43663494498,0.023820433364501598,198977.460236682,0.02576179056271155,92.46419928193991,24773.97639826298,imm
2019-12-19,MD,imm_md,234194.727591905,0.02303640438618271,198977.460236682,0.02576179056271155,89.42082007112637,35217.26735522298,imm
2019-12-20,MD,imm_md,228458.60863811683,0.023436723035269287,198977.460236682,0.02576179056271155,90.97474408161814,29481.148401434824,imm
2019-12-23,MD,imm_md,225503.68172559896,0.023709625087557015,198977.460236682,0.02576179056271155,92.03407282518279,26526.221488916955,imm
2019-12-27,MD,imm_md,218752.56986341393,0.024247611870400462,198977.460236682,0.02576179056271155,94.12238567569617,19775.109626731923,imm
2019-12-30,MD,imm_md,220251.02595306715,0.02429512790551505,198977.460236682,0.02576179056271155,94.30682951316514,21273.565716385143,imm
2020-01-02,MD,imm_md,220130.52957484405,0.024212776474846112,198977.460236682,0.02576179056271155,93.98716450203763,21153.06933816205,imm
2020-01-03,MD,imm_md,222904.3093191566,0.024051533305418392,198977.460236682,0.02576179056271155,93.36126402732022,23926.849082474597,imm
2019-11-14,MD,lep_md,132125.73634745262,0.024826286175103615,132125.73634745262,0.024826286175103615,100.0,0.0,lep
2019-11-28,MD,lep_md,144957.7090165882,0.02330377250610241,132125.73634745262,0.024826286175103615,93.86733215647848,12831.972669135575,lep
2019-11-29,MD,lep_md,146525.36216907372,0.023056594598703437,132125.73634745262,0.024826286175103615,92.87170234034092,14399.625821621099,lep
2019-12-02,MD,lep_md,142881.59690926978,0.023562991357691788,132125.73634745262,0.024826286175103615,94.91146275966685,10755.860561817157,lep
2019-12-03,MD,lep_md,144884.7846008053,0.02328974179490508,132125.73634745262,0.024826286175103615,93.81081661042231,12759.048253352667,lep
2019-12-04,MD,lep_md,145370.1403391362,0.023297533842649095,132125.73634745262,0.024826286175103615,93.84220289062974,13244.40399168359,lep
2019-12-05,MD,lep_md,146244.0922562111,0.023210112567766977,132125.73634745262,0.024826286175103615,93.49007098388572,14118.355908758473,lep
