INT_ID,int_lon,int_lat,stop_id,stop_lon,stop_lat,dist
13466754,-79.443023733,43.650686873,4902.0,-79.442631,43.650652,43.67575624508726
13466754,-79.443023733,43.650686873,7506.0,-79.443156,43.650634,14.746830853426944
13466778,-79.455027676,43.65069698,2958.0,-79.455097,43.650568,8.143075527115357
13466778,-79.455027676,43.65069698,8457.0,-79.454868,43.650767,17.81226847805549
13466798,-79.417070233,43.650068729,6394.0,-79.416957,43.650139,12.672471332480727
13466801,-79.366113435,43.649329416,1210.0,-79.366367,43.649202,28.316134425887697
13466801,-79.366113435,43.649329416,729.0,-79.365939,43.649392,19.438778413806137
13466801,-79.366113435,43.649329416,722.0,-79.366179,43.649346,7.298442676091015
13466802,-79.392155985,43.64968115,7060.0,-79.393773,43.649235,180.03585171330468
13466802,-79.392155985,43.64968115,6851.0,-79.39098,43.649962,130.89006920125527
13466802,-79.392155985,43.64968115,6319.0,-79.39117,43.64984,109.68489208673338
13466802,-79.392155985,43.64968115,704.0,-79.393279,43.649548,124.90347997261753
13466818,-79.526398228,43.651361511,5262.0,-79.526154,43.651251,27.248669610398853
13466818,-79.526398228,43.651361511,4676.0,-79.526548,43.651412,16.68514943093136
13466818,-79.526398228,43.651361511,13360.0,-79.526384,43.651356,1.5860004799491958
13466818,-79.526398228,43.651361511,3136.0,-79.526028,43.651496,41.25719375141275
13466818,-79.526398228,43.651361511,1215.0,-79.526042,43.651835,40.75068761771994
13466826,-79.439731227,43.650168414,13156.0,-79.439717,43.650161,1.589170910299489
13466826,-79.439731227,43.650168414,2986.0,-79.439489,43.650208,26.946529117858617
13466826,-79.439731227,43.650168414,1606.0,-79.440072,43.65013,37.90036627440867
13466826,-79.439731227,43.650168414,3310.0,-79.439846,43.650359,13.340091078511817
13466826,-79.439731227,43.650168414,6574.0,-79.439617,43.650042,12.96010158218394
13466833,-79.418288394,43.649825342,6324.0,-79.418485,43.649724,21.959339936900395
13466841,-79.57750616,43.651864569,4301.0,-79.577381,43.651955,14.035559178695923
13466841,-79.57750616,43.651864569,5731.0,-79.577631,43.651766,14.022484239684808
13466844,-79.367301409,43.649046619,7109.0,-79.367425,43.649147,13.896172590138491
13466844,-79.367301409,43.649046619,9228.0,-79.367679,43.648898,42.09683386058487
