station2,station1,direction,station1_end_time,platform1_start_time,platform1_end_time,station2_start_time,platform2_start_time,platform2_end_time,year,month,day,hour,date,dow
victoria_park,27777,27777,27777,27777,27777,27777,13336,13336,27777,27777,27777,27777,27777,27777
warden,6983,6983,6983,6983,6983,6983,0,0,6983,6983,6983,6983,6983,6983
wellesley,289087,289087,289087,289087,289087,289087,284007,284007,289087,289087,289087,289087,289087,289087
wilson,58752,58752,58752,58752,58752,58752,56852,56852,58752,58752,58752,58752,58752,58752
woodbine,191784,191784,191784,191784,191784,191784,175587,175587,191784,191784,191784,191784,191784,191784
yonge_sheppard-four,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957
yonge_sheppard-one,348251,348251,348251,348251,348251,348251,291499,291499,348251,348251,348251,348251,348251,348251
york_mills,211684,211684,211684,211684,211684,211684,198497,198497,211684,211684,211684,211684,211684,211684
york_univeristy,45299,45299,45299,45299,45299,45299,35891,35891,45299,45299,45299,45299,45299,45299
yorkdale,23368,23368,23368,23368,23368,23368,0,0,23368,23368,23368,23368,23368,23368
