0:44:42.616463,0,0,23185988
0:59:07.486836,10,10,23184400
1:14:28.558481,20,20,23182773
1:29:57.728534,30,30,23181213
1:45:23.340969,40,40,23179627
2:02:10.599598,50,50,23178083
2:20:57.985114,60,100,23170272
2:36:18.819717,70,150,23164426
2:52:14.537886,80,200,23159665
3:07:54.920888,90,250,23154694
3:23:56.485574,100,300,23150263
3:41:02.422451,110,550,23128961
3:57:04.057148,120,800,23108706
4:13:45.141705,130,1050,23088362
4:31:08.088539,140,1300,23069800
4:48:43.856103,150,1550,23050954
5:06:32.517909,160,2050,23015784
5:23:52.448220,170,2550,22986319
5:42:33.027052,180,3050,22955474
6:00:40.075555,190,3550,22927685
6:18:19.059678,200,4050,22901045
6:36:37.283624,210,5050,22851455
6:50:17.740776,220,6050,22811474
6:57:37.944312,230,7050,22773925
7:02:22.967368,240,8050,22739041
0:02:14.209954,0,0,23185988
0:14:14.734061,10,10,23184400
0:26:35.830594,20,20,23182773
0:39:08.040914,30,30,23181213
0:51:49.847481,40,40,23179628
1:04:35.721761,50,50,23178096
1:17:26.769316,60,100,23170251
1:30:18.903401,70,150,23163988
1:43:44.758013,80,200,23159856
1:57:12.945170,90,250,23155267
2:10:28.406037,100,300,23150965
2:24:12.652539,110,550,23129832
2:38:12.349572,120,800,23111184
2:52:14.500878,130,1050,23091663
3:05:53.986175,140,1300,23073170
3:20:01.620946,150,1550,23055104
3:34:12.896002,160,2050,23018281
3:48:42.668716,170,2550,22987031
4:03:09.382265,180,3050,22958584
4:17:49.932997,190,3550,22929163
4:33:02.238846,200,4050,22901953
4:49:03.873921,210,5050,22853371
5:00:54.598724,220,6050,22812057
5:08:19.577215,230,7050,22774186
5:13:35.405196,240,8050,22740141
