ward,total
1,27405.4923458203
2,14931.319961395937
3,16809.416101012055
4,16691.0
5,30442.32647057847
6,21975.67652173766
7,26667.0
8,16711.00672986365
9,19294.78498012127
10,10639.809766268514
11,13826.18710835092
12,14356.226364129378
13,20068.475030949026
14,17096.25560348143
15,11683.968490634865
16,17051.44616450385
17,20799.0
18,19190.323478262337
19,18208.75256978993
20,24420.00802364157
21,26792.526572171693
22,23297.0
23,19928.06234213723
24,23777.19535072712
25,18319.442661504825
