ward,total
1,11084.470206222795
2,7223.13051191893
3,16895.732591653847
4,35954.0
5,27631.829281533224
6,16097.738496298673
7,16907.0
8,21917.657565490063
9,33801.13752815464
10,32108.24673675384
11,25962.59189611591
12,43259.32304356796
13,44786.27842217353
14,30274.23190169525
15,13183.084006888086
16,16984.854221273563
17,15694.0
18,19040.981661936283
19,28495.598027959095
20,19356.79850635791
21,21993.233109088575
22,8798.0
23,4143.2329605632
24,15924.081032958182
25,3671.6615048801004
