ward_o,ward_d,type,total
1,1,ab_am,0.5527040729155245
1,1,ab_ev,0.11836307932415567
1,1,ab_md,0.8111488183019083
1,1,ab_pm,0.9737735487304001
1,1,bl_am,168.51344216182505
1,1,bl_ev,17.112117547396934
1,1,bl_md,100.31674234882577
1,1,bl_pm,138.65391569190345
1,1,c0_am,134.8990595244167
1,1,c0_ev,40.0
1,1,c0_md,163.78993626764873
1,1,c0_pm,147.0
1,1,imm_am,66.95636079860223
1,1,imm_ev,6.665425459775251
1,1,imm_md,46.57032600191838
1,1,imm_pm,59.14937322377726
1,1,lep_am,40.2740477361292
1,1,lep_ev,4.254760395821334
1,1,lep_md,25.265658842548206
1,1,lep_pm,35.88116444468227
1,1,lico_am,298.0213209478867
1,1,lico_ev,70.0
1,1,lico_md,301.0
1,1,lico_pm,238.0
1,1,rac_am,581.0242887328108
1,1,rac_ev,59.56038871373319
1,1,rac_md,318.2873407157049
1,1,rac_pm,445.3055281743
1,1,raw_am,762.9658146743838
1,1,raw_ev,83.0
1,1,raw_md,439.7899362676487
1,1,raw_pm,591.0330837428068
1,2,ab_am,0.8174180333393517
1,2,ab_ev,4.481566280488874e-09
1,2,ab_md,0.028904437271648292
1,2,ab_pm,0.5211619618138896
1,2,bl_am,187.10548729219283
1,2,bl_ev,2.895060507664495
1,2,bl_md,14.47375048739207
1,2,bl_pm,18.050661707091084
1,2,c0_am,235.5868067877654
1,2,c0_ev,5.851590510200202
1,2,c0_md,38.553401980956934
1,2,c0_pm,92.0
1,2,imm_am,55.00913938021122
1,2,imm_ev,2.2084412866945806
1,2,imm_md,7.416205425806165
1,2,imm_pm,8.886659313823747
1,2,lep_am,29.679668211053993
1,2,lep_ev,1.3295789969325704
1,2,lep_md,4.4040576782768275
1,2,lep_pm,6.237476874350595
1,2,lico_am,342.1768602365066
1,2,lico_ev,24.851590510200204
1,2,lico_md,22.0
1,2,lico_pm,77.09485925782622
1,2,rac_am,481.28673138930424
1,2,rac_ev,13.522814440682172
1,2,rac_md,55.989407745002644
1,2,rac_pm,60.04542649292696
1,2,raw_am,660.7977727395725
1,2,raw_ev,42.851590510200204
1,2,raw_md,122.55340198095693
1,2,raw_pm,184.61424189836202
1,3,ab_am,0.5299729758367934
1,3,ab_em,0.0
1,3,ab_ev,0.0411690156483573
1,3,ab_md,0.0414569689113598
1,3,ab_pm,0.10618806269327727
1,3,bl_am,173.98072803596548
1,3,bl_em,7.445035088109696
1,3,bl_ev,8.903620673260567
1,3,bl_md,6.347110091974077
1,3,bl_pm,5.2825671089146455
1,3,c0_am,218.0
1,3,c0_em,23.0
1,3,c0_ev,34.0
1,3,c0_md,12.0
1,3,c0_pm,22.0
1,3,imm_am,72.22514904991408
1,3,imm_em,2.2383594250461267
1,3,imm_ev,5.193352139137392
1,3,imm_md,3.672904413300658
1,3,imm_pm,5.679656854918618
1,3,lep_am,36.295930409722274
1,3,lep_em,1.424237647447831
1,3,lep_ev,2.4750101935434903
1,3,lep_md,1.2616483448415008
1,3,lep_pm,2.678735776000343
1,3,lico_am,329.20396669300914
1,3,lico_em,23.0
1,3,lico_md,10.0
1,3,lico_pm,28.905140742173714
1,3,rac_am,506.5226757568244
1,3,rac_em,16.794425106209257
1,3,rac_ev,27.10549657968898
1,3,rac_md,20.78459850690456
1,3,rac_pm,22.806405242214797
1,3,raw_am,753.8911722314255
1,3,raw_em,23.0
1,3,raw_ev,34.0
1,3,raw_md,38.79752990814527
1,3,raw_pm,58.905140742173714
1,4,ab_am,0.0001299275393
1,4,ab_md,3.653701679775472e-06
1,4,ab_pm,0.3585411742912969
1,4,bl_am,19.862797108420867
1,4,bl_md,14.38273197425562
1,4,bl_pm,10.091426245773544
1,4,c0_am,69.0
1,4,c0_md,34.0
1,4,c0_pm,99.59505981629054
1,4,imm_am,7.157116694071328
1,4,imm_md,3.686447270820396
1,4,imm_pm,6.637804791278848
1,4,lep_am,3.682459795696907
1,4,lep_md,2.1978474655309874
1,4,lep_pm,3.517447060449669
1,4,lico_am,46.0
1,4,lico_md,11.0
1,4,lico_pm,67.0
1,4,rac_am,52.80364924629996
1,4,rac_md,32.577582968525974
1,4,rac_pm,40.51775653128406
1,4,raw_am,69.0
1,4,raw_md,45.0
1,4,raw_pm,113.59505981629054
1,5,ab_am,0.6246544578199416
1,5,ab_em,0.03688082963014486
1,5,ab_ev,7.191269964701071e-06
1,5,ab_md,4.816779256590252e-06
1,5,ab_pm,0.3447625183194789
1,5,bl_am,73.0117394050309
1,5,bl_em,1.8240976755200797
1,5,bl_ev,5.807606993422324
1,5,bl_md,2.776772322151916
1,5,bl_pm,96.03766228503243
1,5,c0_am,48.755477153060056
1,5,c0_ev,15.0
1,5,c0_md,22.0
1,5,c0_pm,99.0
1,5,imm_am,36.340140236444775
1,5,imm_em,1.1886565424258817
1,5,imm_ev,0.8733896602959746
