Tue Jun 22 2021 22:37:48 GMT-0400 (EDT) - Run Time: 1213ms

Cross Tabulation Query Form - Transit - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Start time of trip - start_time

RowG:
ColG:
TblG:(1)(400-500)(2)(700-800)(3)(1100-1200)(4)(1700-1800)(5)(2000-2100)

Filters:
Regional municipality of household - region_hhld In 1
and
Regional municipality of origin - region_orig In 1
and
Regional municipality of destination - region_dest In 1
and
No. of vehicles in household - n_vehicle In 0

Tran 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : start_time (2)

  gta06_orig  gta06_dest      total
          22          97         28
          22         189          6
          22         202         16
          22         252         16
          22         299         28
          22         307         16
          22         420         17
          22         545         19
          23          63         47
          23          98         42
          23         310         23
          23         542          5
          24          34         34
          24          39         55
          24          49         13
          24          68         46
          24         442         43
          25          57          9
          25          63         42
          25          70         11
          25          71          9
          25          90          9
          25         173         22
          25         231         48
          25         313         21
          25         348         12
          26          40         17
          26          48         16
          26          55         13
          26          57         14
          26          62         20
          26          72         14
          26          76         12
          26          77         18
          26          89         12
          26         157         16
          26         203         47
          26         204         14
          26         210         14
          26         442         16
          26         452         16
          26         557         12
          26         589         10
          29         540         18
          34          45         33
          34          46         20
          34         272         17
          34         275         10
          34         391         10
          36          58         13
          36         195         12
          37          67         27
          37          71         15
          37         179         10
          37         218         26
          37         253         45
          37         264         12
          37         465         73
          38          51         72
          38          60         13
          38          97         15
          38         117         15
          38         179         14
          38         195         16
          38         197         14
          38         262         30
          38         391         21
          38         454         16
          38         473         38
          39          56         19
          39         243         13
          39         371         13
          39         389         13
          39         451         14
          40          37         11
          40          52         25
          40          70         20
          40         204         34
          40         218         14
          40         259         34
          40         313         19
          40         383         32
          40         415         13
          40         465         11
          41          14         15
          41          29         47
          41          38         47
          41          52         24
          41          54         41
          41          59         20
          41          65         24
          41          77         30
          41         122         24
          41         180         18
          41         210         37
          41         243         23
          41         260         19
          41         291         19
          41         301         20
          41         473         32
          41         486         37
          41         493         24
          41         566         18
          42          25         24
          42          54         20
          42          57         23
          42          68         15
          42         166         18
          42         195         23
          42         196         18
          42         218         61
          42         221         30
          42         264         18
          43          51         13
          43          71         24
          43          89         32
          44          37         15
          45          37         21
          45          57         29
          45         116        101
          45         427         32
          46          34         28
          46          35         20
          46          38         28
          46          45         43
          46          52         29
          46          54         28
          46          90         14
          46         107         58
          46         173         18
          46         260         18
          46         277         37
          46         391         18
          46         484         20
          46         578         15
          47          54         19
          47          57         15
          47          89         29
          47         525         29
          48          56         28
          48          79         18
          48         177         18
          48         566         22
          48         585         15
          50         218         19
          50         242         19
          50         312         19
          51          55         11
          51          61         11
          51         484         25
          53          75         21
          53         231         20
          53         259         24
          53         452         24
          55          55         43
          56         115         51
          58         271         30
          59          43         33
          60          43         17
          60          51         22
          60         105         21
          60         195         21
          60         585         22
          61          47         21
          61         203         17
          61         270         10
          62          40         18
          62          43         16
          62          51         20
          62          55         15
          62          57         30
          62          95         17
          62         210         18
          62         388         18
          63          11         70
          63         320         15
          63         442         21
          64          21         13
          64          43         15
          64          46         18
          64          52         15
          64          93         37
          64         176         15
          64         231         17
          64         415         12
          65          21         27
          65          52         48
          65          65         27
          65         195         26
          65         441         16
          66          43         44
          66          56         18
          66          59         18
          66          69         80
          66         105         17
          66         179         27
          66         204         18
          66         210         17
          66         218         26
          66         423         18
          66         473         17
          67          36         10
          67          54         38
          67          55         28
          67         188         13
          67         219          6
          67         308         55
          67         313         43
          67         391         13
          67         408         19
          67         470         13
          67         486         11
          68          89          4
          68          90         10
          68         157         17
          71          36         30
          71          43         24
          71          55         10
          71          56         31
          71          77         47
          71         195         31
          71         243         18
          71         301         10
          71         566         20
          72          43         83
          72          56         31
          72         173         31
          72         452         31
          72         493         33
          73          57         23
          73         205         38
          73         443         38
          73         493         28
          74          77        163
          74         371         24
          75          69          6
          75         476          6
          76          52         40
          76          60          6
          76          63         13
          76          68          7
          76          95         88
          76         359         62
          76         391        146
          77          21         18
          77          49         29
          77         216         18
          77         443         18
          78          45          6
          78          47         29
          78         211         26
          79          26        163
          79          47         18
          79          49         56
          79          52         25
          79          67         18
          79          69         34
          79          70         61
          79          90          4
          79         187         18
          79         195         18
          79         203         25
          79         313         25
          79         392         11
          79         415         93
          79         441         39
          79         442         26
          79         473         18
          79         484         15
          79         530         18
          80          75         21
          80         110          8
          80         157         93
          82          89         19
          82         391         18
          84          25         34
          84          43         17
          84          53         23
          84          54         23
          84          57         22
          84          59         19
          84          62          7
          84          89         17
          84         210         19
          84         224         19
          84         251          9
          84         268         19
          84         306         17
          84         313         69
          84         442         69
          84         446          4
          89          36         37
          89          46         37
          89          51          4
          89          52         20
          89          55         36
          89          56         12
          89          57        114
          89          59         17
          89          60         48
          89          68         38
          89          72         20
          89         125         23
          89         204         94
          89         268          4
          89         278         20
          89         415         27
