origin,destination,total,type
36,195,12,raw_am
36,251,15,raw_am
36,267,12,raw_am
36,270,15,raw_am
36,445,15,raw_am
37,67,27,raw_am
37,71,15,raw_am
37,179,10,raw_am
37,187,10,raw_am
37,203,9,raw_am
37,218,26,raw_am
37,253,45,raw_am
37,264,12,raw_am
37,465,73,raw_am
37,523,86,raw_am
38,51,72,raw_am
38,55,10,raw_am
38,60,13,raw_am
38,74,19,raw_am
38,97,15,raw_am
38,117,15,raw_am
38,179,14,raw_am
38,195,16,raw_am
38,197,14,raw_am
38,262,30,raw_am
38,292,10,raw_am
38,313,9,raw_am
38,391,21,raw_am
38,443,9,raw_am
38,454,16,raw_am
38,473,38,raw_am
38,513,13,raw_am
38,559,21,raw_am
39,55,11,raw_am
39,56,19,raw_am
39,157,16,raw_am
39,243,13,raw_am
39,371,13,raw_am
39,389,13,raw_am
39,451,14,raw_am
40,36,11,raw_am
40,37,11,raw_am
40,52,25,raw_am
40,54,19,raw_am
40,70,20,raw_am
40,203,19,raw_am
40,204,34,raw_am
40,218,14,raw_am
40,259,34,raw_am
40,313,19,raw_am
40,383,32,raw_am
40,415,13,raw_am
40,465,11,raw_am
40,578,27,raw_am
41,14,15,raw_am
41,29,47,raw_am
41,38,47,raw_am
41,52,24,raw_am
41,54,41,raw_am
41,59,20,raw_am
41,65,24,raw_am
41,77,47,raw_am
41,122,24,raw_am
41,180,18,raw_am
41,210,37,raw_am
41,218,31,raw_am
41,243,37,raw_am
41,260,19,raw_am
41,291,19,raw_am
41,301,20,raw_am
41,444,18,raw_am
41,473,32,raw_am
41,486,37,raw_am
41,493,24,raw_am
41,566,18,raw_am
42,25,24,raw_am
42,54,20,raw_am
42,55,22,raw_am
42,57,61,raw_am
42,68,15,raw_am
42,166,18,raw_am
42,195,23,raw_am
42,196,18,raw_am
42,218,61,raw_am
42,221,30,raw_am
42,264,18,raw_am
42,358,76,raw_am
42,415,23,raw_am
42,444,24,raw_am
42,448,20,raw_am
43,25,19,raw_am
43,49,24,raw_am
43,51,13,raw_am
43,52,32,raw_am
43,57,12,raw_am
43,71,24,raw_am
43,89,32,raw_am
43,528,42,raw_am
44,37,15,raw_am
44,54,5,raw_am
44,57,30,raw_am
44,65,35,raw_am
44,195,31,raw_am
44,204,41,raw_am
45,37,21,raw_am
45,51,53,raw_am
45,53,31,raw_am
45,57,29,raw_am
45,116,101,raw_am
45,427,32,raw_am
45,454,30,raw_am
46,34,28,raw_am
46,35,20,raw_am
46,37,6,raw_am
46,38,28,raw_am
46,45,43,raw_am
46,51,6,raw_am
46,52,29,raw_am
46,54,28,raw_am
46,55,22,raw_am
46,57,15,raw_am
46,90,14,raw_am
46,107,58,raw_am
46,173,18,raw_am
46,260,18,raw_am
46,277,37,raw_am
46,391,18,raw_am
46,484,20,raw_am
46,578,15,raw_am
47,54,19,raw_am
47,56,10,raw_am
47,57,15,raw_am
47,75,5,raw_am
47,89,29,raw_am
47,391,24,raw_am
47,525,29,raw_am
48,54,15,raw_am
48,55,15,raw_am
48,56,28,raw_am
48,66,15,raw_am
48,79,18,raw_am
48,177,18,raw_am
48,195,14,raw_am
48,228,22,raw_am
48,391,18,raw_am
48,452,13,raw_am
48,566,22,raw_am
48,585,15,raw_am
49,51,15,raw_am
50,21,19,raw_am
50,59,19,raw_am
50,209,49,raw_am
50,218,34,raw_am
50,242,19,raw_am
50,289,14,raw_am
50,312,19,raw_am
51,55,11,raw_am
51,56,13,raw_am
51,61,11,raw_am
51,65,15,raw_am
51,80,9,raw_am
51,129,30,raw_am
51,209,22,raw_am
51,257,12,raw_am
51,280,10,raw_am
51,452,19,raw_am
51,457,10,raw_am
51,484,25,raw_am
52,68,30,raw_am
52,548,22,raw_am
52,559,29,raw_am
53,43,6,raw_am
53,75,21,raw_am
53,179,18,raw_am
53,202,15,raw_am
53,218,19,raw_am
53,231,20,raw_am
53,259,24,raw_am
53,452,24,raw_am
54,36,15,raw_am
54,593,29,raw_am
55,55,43,raw_am
55,191,15,raw_am
55,250,34,raw_am
55,532,40,raw_am
55,594,29,raw_am
56,115,51,raw_am
57,68,19,raw_am
57,173,20,raw_am
57,231,21,raw_am
57,600,7,raw_am
58,54,12,raw_am
58,68,12,raw_am
58,271,30,raw_am
59,43,51,raw_am
59,50,28,raw_am
59,69,18,raw_am
59,106,16,raw_am
59,110,30,raw_am
59,126,13,raw_am
59,134,8,raw_am
59,371,17,raw_am
59,443,18,raw_am
59,571,8,raw_am
60,29,16,raw_am
60,37,25,raw_am
60,43,17,raw_am
60,47,23,raw_am
60,49,23,raw_am
60,51,22,raw_am
60,101,16,raw_am
60,105,21,raw_am
60,168,23,raw_am
60,195,21,raw_am
60,442,27,raw_am
60,452,81,raw_am
60,585,22,raw_am
61,45,4,raw_am
61,47,21,raw_am
61,69,29,raw_am
61,70,16,raw_am
61,74,49,raw_am
61,202,14,raw_am
61,203,17,raw_am
61,211,22,raw_am
61,270,10,raw_am
61,371,21,raw_am
62,38,20,raw_am
62,40,18,raw_am
62,43,16,raw_am
62,51,20,raw_am
62,55,15,raw_am
62,56,41,raw_am
62,57,30,raw_am
62,93,34,raw_am
62,95,17,raw_am
62,201,10,raw_am
62,210,18,raw_am
62,388,18,raw_am
62,450,9,raw_am
63,11,70,raw_am
63,320,15,raw_am
63,442,21,raw_am
64,20,12,raw_am
64,21,13,raw_am
64,41,18,raw_am
64,43,27,raw_am
64,45,12,raw_am
64,46,18,raw_am
64,51,27,raw_am
64,52,39,raw_am
64,93,37,raw_am
64,176,15,raw_am
64,195,11,raw_am
64,204,15,raw_am
64,211,9,raw_am
64,231,17,raw_am
64,392,15,raw_am
64,415,12,raw_am
64,443,74,raw_am
64,448,26,raw_am
65,21,27,raw_am
65,25,22,raw_am
65,52,48,raw_am
65,65,27,raw_am
65,69,15,raw_am
65,160,35,raw_am
65,195,26,raw_am
65,310,15,raw_am
65,441,16,raw_am
65,442,18,raw_am
66,43,44,raw_am
66,45,32,raw_am
66,47,12,raw_am
66,56,18,raw_am
66,59,18,raw_am
66,69,80,raw_am
66,89,29,raw_am
66,105,17,raw_am
66,179,27,raw_am
66,203,18,raw_am
66,204,18,raw_am
66,210,35,raw_am
66,218,45,raw_am
66,261,18,raw_am
66,271,38,raw_am
66,423,18,raw_am
66,473,17,raw_am
67,36,10,raw_am
67,54,38,raw_am
67,55,28,raw_am
67,58,10,raw_am
67,90,19,raw_am
67,188,13,raw_am
67,219,6,raw_am
67,308,55,raw_am
67,313,43,raw_am
67,391,22,raw_am
67,408,19,raw_am
67,470,13,raw_am
67,486,11,raw_am
68,89,4,raw_am
68,90,10,raw_am
68,157,17,raw_am
68,223,38,raw_am
68,337,23,raw_am
68,453,14,raw_am
69,212,12,raw_am
70,101,40,raw_am
71,15,5,raw_am
71,16,5,raw_am
71,36,37,raw_am
71,43,24,raw_am
71,51,30,raw_am
71,54,27,raw_am
71,55,44,raw_am
71,56,36,raw_am
71,57,79,raw_am
71,63,5,raw_am
71,66,27,raw_am
71,77,47,raw_am
71,189,10,raw_am
71,195,31,raw_am
71,216,5,raw_am
71,243,18,raw_am
71,271,27,raw_am
71,301,15,raw_am
71,566,20,raw_am
72,43,83,raw_am
72,50,30,raw_am
72,56,36,raw_am
72,68,5,raw_am
72,114,31,raw_am
72,170,26,raw_am
72,173,31,raw_am
72,212,5,raw_am
72,301,11,raw_am
72,452,31,raw_am
72,493,33,raw_am
73,36,24,raw_am
73,52,7,raw_am
73,57,23,raw_am
73,65,40,raw_am
73,205,38,raw_am
73,279,6,raw_am
73,306,7,raw_am
73,443,38,raw_am
73,493,28,raw_am
74,57,49,raw_am
74,77,163,raw_am
74,371,24,raw_am
75,45,103,raw_am
75,69,6,raw_am
75,452,11,raw_am
75,476,6,raw_am
76,52,40,raw_am
76,60,6,raw_am
76,63,13,raw_am
76,67,7,raw_am
76,68,7,raw_am
76,95,88,raw_am
76,122,28,raw_am
76,359,62,raw_am
76,391,146,raw_am
77,21,18,raw_am
77,45,18,raw_am
77,49,29,raw_am
77,56,18,raw_am
77,216,18,raw_am
77,443,18,raw_am
78,21,18,raw_am
78,35,18,raw_am
78,45,6,raw_am
78,47,29,raw_am
78,49,11,raw_am
78,55,18,raw_am
78,56,16,raw_am
78,67,9,raw_am
78,122,18,raw_am
78,211,26,raw_am
79,22,72,raw_am
79,25,14,raw_am
79,26,163,raw_am
79,36,42,raw_am
79,37,11,raw_am
79,43,18,raw_am
79,44,17,raw_am
79,47,18,raw_am
79,49,92,raw_am
79,51,21,raw_am
79,52,42,raw_am
79,54,26,raw_am
79,55,18,raw_am
79,56,19,raw_am
79,57,29,raw_am
79,59,15,raw_am
79,67,18,raw_am
79,68,42,raw_am
79,69,49,raw_am
79,70,61,raw_am
79,90,4,raw_am
79,125,17,raw_am
79,187,18,raw_am
79,195,53,raw_am
79,203,25,raw_am
79,307,55,raw_am
79,313,25,raw_am
79,392,11,raw_am
79,415,101,raw_am
79,441,39,raw_am
79,442,26,raw_am
79,473,18,raw_am
79,484,15,raw_am
79,530,18,raw_am
80,37,19,raw_am
80,45,4,raw_am
80,55,10,raw_am
80,75,21,raw_am
80,90,21,raw_am
80,110,8,raw_am
80,157,93,raw_am
81,49,7,raw_am
81,68,15,raw_am
81,301,35,raw_am
82,52,4,raw_am
82,53,7,raw_am
82,55,17,raw_am
82,57,18,raw_am
82,68,4,raw_am
82,89,19,raw_am
82,101,4,raw_am
82,391,18,raw_am
84,21,22,raw_am
84,25,82,raw_am
84,26,19,raw_am
84,33,15,raw_am
84,34,19,raw_am
84,36,16,raw_am
84,43,17,raw_am
84,50,19,raw_am
84,51,19,raw_am
84,52,98,raw_am
84,53,23,raw_am
84,54,23,raw_am
84,55,4,raw_am
84,57,41,raw_am
84,59,19,raw_am
84,62,7,raw_am
84,68,6,raw_am
84,74,27,raw_am
84,89,39,raw_am
84,125,10,raw_am
84,168,19,raw_am
84,201,23,raw_am
84,210,19,raw_am
84,224,19,raw_am
84,251,9,raw_am
84,268,19,raw_am
84,306,17,raw_am
84,313,69,raw_am
84,442,69,raw_am
84,443,17,raw_am
84,446,4,raw_am
84,452,19,raw_am
89,15,14,raw_am
89,21,20,raw_am
89,25,20,raw_am
89,35,20,raw_am
89,36,37,raw_am
89,38,33,raw_am
89,43,20,raw_am
89,45,23,raw_am
89,46,37,raw_am
89,49,20,raw_am
89,50,27,raw_am
89,51,48,raw_am
89,52,62,raw_am
89,55,77,raw_am
89,56,12,raw_am
89,57,141,raw_am
89,59,17,raw_am
89,60,61,raw_am
89,63,27,raw_am
89,65,20,raw_am
89,66,65,raw_am
89,67,52,raw_am
89,68,38,raw_am
89,72,20,raw_am
89,73,27,raw_am
89,75,20,raw_am
89,125,23,raw_am
89,195,23,raw_am
89,202,18,raw_am
89,204,94,raw_am
89,211,59,raw_am
89,268,4,raw_am
89,278,20,raw_am
89,366,7,raw_am
89,415,27,raw_am
89,442,20,raw_am
90,21,23,raw_am
90,25,19,raw_am
90,36,55,raw_am
90,41,20,raw_am
90,47,4,raw_am
90,49,20,raw_am
90,50,4,raw_am
90,51,22,raw_am
90,53,27,raw_am
90,54,35,raw_am
90,55,73,raw_am
90,56,27,raw_am
90,57,79,raw_am
90,63,21,raw_am
90,65,23,raw_am
90,67,18,raw_am
90,71,4,raw_am
90,74,41,raw_am
90,92,19,raw_am
90,93,10,raw_am
90,101,25,raw_am
90,105,4,raw_am
90,170,9,raw_am
90,180,20,raw_am
90,189,17,raw_am
90,195,11,raw_am
90,204,15,raw_am
90,211,50,raw_am
90,216,17,raw_am
90,223,18,raw_am
90,228,4,raw_am
90,270,29,raw_am
90,279,16,raw_am
90,301,18,raw_am
90,313,10,raw_am
90,415,27,raw_am
90,420,4,raw_am
90,443,4,raw_am
91,67,5,raw_am
91,69,5,raw_am
91,157,5,raw_am
91,484,9,raw_am
92,35,10,raw_am
92,47,5,raw_am
92,54,5,raw_am
92,56,5,raw_am
92,107,11,raw_am
92,159,5,raw_am
92,195,48,raw_am
92,212,5,raw_am
92,392,119,raw_am
92,441,5,raw_am
93,37,6,raw_am
93,52,65,raw_am
93,57,21,raw_am
93,65,6,raw_am
93,77,30,raw_am
93,125,49,raw_am
93,156,23,raw_am
93,179,74,raw_am
93,240,6,raw_am
93,392,6,raw_am
93,419,10,raw_am
93,493,15,raw_am
94,20,153,raw_am
94,21,23,raw_am
94,36,6,raw_am
94,43,6,raw_am
94,54,8,raw_am
94,55,53,raw_am
94,180,6,raw_am
94,213,15,raw_am
94,231,91,raw_am
94,282,45,raw_am
94,313,86,raw_am
94,391,6,raw_am
94,442,13,raw_am
94,443,53,raw_am
95,19,26,raw_am
95,25,10,raw_am
95,54,24,raw_am
95,56,15,raw_am
95,60,6,raw_am
95,125,27,raw_am
95,212,27,raw_am
95,236,16,raw_am
95,301,26,raw_am
95,440,24,raw_am
96,21,6,raw_am
96,24,13,raw_am
96,42,6,raw_am
96,44,55,raw_am
96,46,15,raw_am
96,49,6,raw_am
96,52,144,raw_am
96,55,15,raw_am
96,56,11,raw_am
96,57,15,raw_am
96,58,11,raw_am
96,113,11,raw_am
96,125,66,raw_am
96,218,144,raw_am
96,290,55,raw_am
96,371,55,raw_am
96,415,14,raw_am
96,578,13,raw_am
97,39,35,raw_am
97,49,8,raw_am
97,55,5,raw_am
97,125,10,raw_am
97,204,132,raw_am
97,212,43,raw_am
97,308,7,raw_am
97,443,5,raw_am
97,444,5,raw_am
97,454,15,raw_am
98,16,119,raw_am
98,36,5,raw_am
98,47,5,raw_am
98,50,5,raw_am
98,56,20,raw_am
98,66,7,raw_am
98,157,7,raw_am
99,21,5,raw_am
99,36,31,raw_am
99,42,26,raw_am
99,43,14,raw_am
99,45,22,raw_am
99,50,26,raw_am
99,51,66,raw_am
99,52,30,raw_am
99,53,42,raw_am
99,54,22,raw_am
99,55,38,raw_am
99,56,24,raw_am
99,57,87,raw_am
99,66,25,raw_am
99,67,31,raw_am
99,68,48,raw_am
99,74,81,raw_am
99,75,24,raw_am
99,102,5,raw_am
99,113,5,raw_am
99,160,90,raw_am
99,170,129,raw_am
99,205,39,raw_am
99,211,5,raw_am
99,212,28,raw_am
99,227,51,raw_am
99,228,31,raw_am
99,279,8,raw_am
99,301,11,raw_am
99,306,39,raw_am
99,313,32,raw_am
99,391,38,raw_am
99,394,51,raw_am
99,443,26,raw_am
99,490,21,raw_am
100,6,36,raw_am
100,55,5,raw_am
100,57,7,raw_am
100,65,39,raw_am
100,68,31,raw_am
100,71,10,raw_am
100,77,31,raw_am
100,81,35,raw_am
100,110,43,raw_am
100,218,7,raw_am
100,221,39,raw_am
100,442,30,raw_am
100,486,38,raw_am
101,35,53,raw_am
101,37,39,raw_am
101,46,5,raw_am
101,49,39,raw_am
101,50,68,raw_am
101,55,5,raw_am
101,65,35,raw_am
101,72,34,raw_am
101,99,32,raw_am
101,210,22,raw_am
101,251,39,raw_am
101,252,27,raw_am
101,301,5,raw_am
101,357,48,raw_am
101,371,32,raw_am
101,589,33,raw_am
102,25,152,raw_am
102,45,34,raw_am
102,55,113,raw_am
102,60,109,raw_am
102,66,18,raw_am
102,72,6,raw_am
102,74,20,raw_am
102,93,147,raw_am
102,170,55,raw_am
103,25,6,raw_am
103,38,6,raw_am
103,49,12,raw_am
103,125,23,raw_am
103,187,7,raw_am
104,29,10,raw_am
104,36,5,raw_am
104,55,5,raw_am
104,66,5,raw_am
104,231,11,raw_am
104,292,7,raw_am
104,454,5,raw_am
105,4,63,raw_am
105,21,5,raw_am
105,25,57,raw_am
105,29,10,raw_am
105,38,27,raw_am
105,43,87,raw_am
105,49,88,raw_am
105,50,27,raw_am
105,51,6,raw_am
105,52,83,raw_am
105,54,20,raw_am
105,55,9,raw_am
105,56,24,raw_am
105,57,169,raw_am
105,66,5,raw_am
105,67,5,raw_am
105,99,12,raw_am
105,105,51,raw_am
105,110,83,raw_am
105,120,8,raw_am
105,125,17,raw_am
105,156,10,raw_am
105,179,5,raw_am
105,187,5,raw_am
105,188,5,raw_am
105,207,5,raw_am
105,210,5,raw_am
105,309,11,raw_am
105,323,13,raw_am
105,348,10,raw_am
105,357,129,raw_am
105,371,74,raw_am
105,443,9,raw_am
105,444,122,raw_am
105,484,5,raw_am
106,36,10,raw_am
106,47,10,raw_am
106,51,5,raw_am
106,54,8,raw_am
106,55,12,raw_am
106,57,5,raw_am
106,60,5,raw_am
106,65,5,raw_am
106,66,10,raw_am
106,67,41,raw_am
106,68,13,raw_am
106,69,7,raw_am
106,70,5,raw_am
106,71,24,raw_am
106,77,39,raw_am
106,105,22,raw_am
106,144,8,raw_am
106,170,71,raw_am
106,179,7,raw_am
106,187,34,raw_am
106,195,5,raw_am
106,202,10,raw_am
106,204,12,raw_am
106,223,5,raw_am
106,248,8,raw_am
106,272,8,raw_am
106,290,9,raw_am
106,371,7,raw_am
106,529,5,raw_am
107,36,15,raw_am
107,37,44,raw_am
107,49,26,raw_am
107,50,20,raw_am
107,52,12,raw_am
107,54,26,raw_am
107,62,38,raw_am
107,72,62,raw_am
107,78,11,raw_am
107,110,15,raw_am
107,122,97,raw_am
107,236,46,raw_am
107,266,33,raw_am
107,290,123,raw_am
108,35,30,raw_am
108,36,16,raw_am
108,45,17,raw_am
108,53,16,raw_am
108,55,16,raw_am
108,70,8,raw_am
108,71,5,raw_am
108,211,7,raw_am
108,258,5,raw_am
108,307,9,raw_am
108,309,28,raw_am
108,391,60,raw_am
108,452,8,raw_am
109,22,8,raw_am
109,29,40,raw_am
109,36,68,raw_am
109,50,32,raw_am
109,52,8,raw_am
109,58,8,raw_am
109,60,4,raw_am
109,63,40,raw_am
109,65,22,raw_am
109,69,80,raw_am
109,71,6,raw_am
109,101,48,raw_am
109,108,6,raw_am
109,179,11,raw_am
109,204,7,raw_am
109,355,14,raw_am
109,389,25,raw_am
109,391,7,raw_am
110,25,44,raw_am
110,26,49,raw_am
110,36,102,raw_am
110,37,37,raw_am
110,45,37,raw_am
110,51,16,raw_am
110,52,49,raw_am
110,55,55,raw_am
110,57,71,raw_am
110,60,95,raw_am
110,65,28,raw_am
110,66,24,raw_am
110,67,32,raw_am
110,68,27,raw_am
110,69,227,raw_am
110,76,25,raw_am
110,77,6,raw_am
110,89,23,raw_am
110,93,66,raw_am
110,96,84,raw_am
110,113,73,raw_am
110,114,21,raw_am
110,120,14,raw_am
110,125,38,raw_am
