origin,destination,type,total
25,74,raw_md,22
25,78,raw_pm,18
25,84,raw_pm,48
25,90,raw_am,9
25,90,raw_pm,52
25,91,raw_md,13
25,91,raw_pm,5
25,92,raw_ev,96
25,95,raw_am,11
25,97,lico_md,58
25,97,raw_md,58
25,98,raw_pm,12
25,100,raw_pm,124
25,102,raw_md,6
25,102,raw_pm,147
25,103,raw_pm,57
25,105,raw_pm,50
25,106,raw_ev,5
25,109,raw_ev,45
25,113,raw_ev,42
25,117,raw_pm,38
25,147,lico_pm,92
25,147,raw_pm,92
25,148,raw_pm,7
25,153,lico_pm,30
25,153,raw_pm,30
25,154,lico_ev,57
25,154,raw_ev,57
25,154,raw_md,32
25,158,lico_pm,29
25,158,raw_pm,53
25,161,lico_ev,24
25,161,lico_md,38
25,161,raw_ev,24
25,161,raw_md,38
25,162,raw_ev,12
25,166,lico_pm,47
25,166,raw_pm,47
25,170,raw_am,7
25,170,raw_pm,9
25,171,raw_pm,23
25,172,raw_ev,22
25,173,lico_am,22
25,173,raw_am,22
25,175,lico_md,34
25,175,raw_md,34
25,177,raw_md,16
25,179,raw_pm,70
25,184,raw_ev,9
25,185,raw_ev,14
25,187,lico_md,11
25,187,raw_md,11
25,188,raw_pm,41
25,191,raw_pm,22
25,197,raw_pm,55
25,201,raw_ev,34
25,201,raw_pm,39
25,202,raw_ev,29
25,207,lico_md,21
25,207,raw_md,21
25,209,raw_md,30
25,211,raw_am,23
25,211,raw_pm,42
25,212,lico_am,13
25,212,lico_ev,16
25,212,raw_am,13
25,212,raw_ev,16
25,212,raw_md,27
25,214,raw_pm,88
25,222,raw_pm,33
25,223,lico_ev,27
25,223,lico_pm,55
25,223,raw_ev,27
25,223,raw_pm,55
25,228,raw_am,12
25,228,raw_md,18
25,229,raw_pm,17
25,231,raw_am,48
25,241,raw_md,30
25,242,raw_pm,36
25,247,lico_pm,18
25,247,raw_pm,59
25,250,raw_pm,7
25,258,raw_pm,10
25,259,raw_md,8
25,259,raw_pm,29
25,263,lico_pm,64
25,263,raw_ev,31
25,263,raw_pm,64
25,264,raw_pm,12
25,266,raw_pm,21
25,271,raw_pm,8
25,272,raw_pm,49
25,273,lico_pm,13
25,273,raw_pm,13
25,278,raw_ev,17
25,278,raw_pm,6
25,280,raw_pm,18
25,282,raw_ev,33
25,287,raw_pm,7
25,301,raw_pm,23
25,313,raw_am,21
25,313,raw_pm,18
25,315,raw_pm,14
25,320,raw_pm,31
25,321,raw_pm,23
25,348,raw_am,12
25,351,raw_pm,22
25,364,raw_md,36
25,366,raw_pm,31
25,370,lico_pm,57
25,370,raw_pm,57
25,396,raw_pm,7
25,400,lico_md,22
25,400,raw_md,22
25,400,raw_pm,15
25,404,raw_md,8
25,407,raw_ev,5
25,431,lico_md,27
25,431,raw_md,27
25,431,raw_pm,84
25,432,raw_pm,45
25,437,raw_md,10
25,439,raw_ev,6
25,443,lico_pm,115
25,443,raw_pm,132
25,448,lico_pm,18
25,448,raw_pm,18
25,452,raw_am,9
25,452,raw_pm,16
25,454,lico_ev,25
25,454,raw_ev,49
25,454,raw_pm,11
25,456,raw_pm,23
25,459,lico_pm,20
25,459,raw_pm,20
25,461,raw_ev,7
25,464,lico_pm,20
25,464,raw_pm,142
25,478,raw_pm,35
25,486,raw_pm,7
25,487,lico_pm,25
25,487,raw_ev,38
25,487,raw_pm,25
25,490,raw_pm,82
25,491,raw_ev,18
25,495,lico_pm,8
25,495,raw_pm,8
25,496,lico_ev,7
25,496,raw_ev,7
25,498,raw_ev,11
25,499,lico_md,42
25,499,raw_md,42
25,503,raw_pm,49
25,506,lico_md,33
25,506,raw_md,33
25,514,lico_pm,16
25,514,raw_pm,16
25,517,raw_pm,31
25,518,lico_pm,23
25,518,raw_pm,23
25,523,lico_ev,29
25,523,raw_ev,29
25,528,raw_pm,17
25,532,lico_pm,16
25,532,raw_pm,16
25,533,lico_ev,11
25,533,raw_ev,11
25,537,raw_pm,8
25,538,lico_pm,95
25,538,raw_pm,102
25,545,lico_pm,19
25,545,raw_pm,19
25,552,lico_md,14
25,552,raw_md,14
25,569,raw_pm,21
25,571,raw_pm,25
25,583,lico_pm,10
25,583,raw_pm,10
25,585,lico_pm,22
25,585,raw_pm,34
25,586,raw_pm,29
25,590,raw_ev,34
25,591,raw_pm,4
25,595,raw_pm,7
25,606,raw_pm,23
25,617,raw_pm,29
25,621,lico_ev,17
25,621,raw_ev,17
25,624,raw_pm,47
26,25,lico_md,12
26,25,raw_md,12
26,36,raw_md,19
26,37,raw_md,15
26,38,lico_md,16
26,38,raw_md,16
26,38,raw_pm,8
26,40,raw_am,17
26,45,raw_am,47
26,46,lico_md,27
26,46,raw_md,27
26,48,lico_am,16
26,48,raw_am,16
26,50,lico_am,12
26,50,raw_am,12
26,54,raw_pm,22
26,55,raw_am,13
26,56,raw_md,10
26,57,raw_am,14
26,57,raw_md,14
26,62,raw_am,20
26,66,raw_am,12
26,67,lico_md,12
26,67,raw_md,12
26,68,raw_am,29
26,72,raw_am,14
26,76,lico_am,12
26,76,raw_am,12
26,77,raw_am,18
26,78,raw_pm,41
26,79,raw_pm,163
26,81,raw_md,7
26,89,raw_am,12
26,92,raw_md,132
26,119,lico_md,16
26,119,raw_md,16
26,157,raw_am,16
26,171,raw_ev,22
26,203,raw_am,47
26,204,raw_am,14
26,205,raw_pm,19
26,210,raw_am,14
26,211,raw_pm,30
26,212,raw_am,33
26,227,raw_pm,14
26,230,lico_pm,20
26,230,raw_pm,20
26,240,raw_am,17
26,250,raw_md,12
26,266,raw_pm,9
26,277,raw_pm,83
26,313,raw_md,52
26,440,raw_pm,17
26,441,raw_pm,5
26,442,raw_am,16
26,442,raw_pm,25
26,446,raw_pm,43
26,452,raw_am,16
26,545,raw_pm,15
26,557,raw_am,12
26,570,lico_pm,21
26,570,raw_pm,21
26,589,raw_am,10
27,184,raw_pm,28
29,21,lico_md,39
29,21,raw_md,39
29,41,raw_pm,24
29,60,raw_pm,16
29,66,raw_pm,37
29,68,raw_ev,18
29,77,raw_pm,12
29,92,raw_ev,5
29,133,raw_pm,24
29,145,lico_pm,30
29,145,raw_pm,30
29,188,raw_pm,23
29,202,raw_pm,25
29,209,raw_pm,35
29,211,raw_pm,34
29,250,raw_pm,9
29,251,raw_ev,16
29,251,raw_pm,53
29,287,raw_pm,8
29,335,lico_ev,39
29,335,raw_ev,39
29,336,raw_ev,25
29,342,lico_pm,36
29,342,raw_pm,36
29,368,raw_ev,13
29,371,raw_pm,13
29,385,raw_pm,11
29,443,lico_pm,22
29,443,raw_pm,22
29,503,raw_pm,30
29,540,lico_am,18
29,540,raw_am,18
29,552,raw_ev,40
29,592,raw_pm,42
30,43,raw_am,22
30,51,raw_am,18
30,55,raw_pm,4
30,68,raw_am,22
30,448,raw_pm,9
31,61,raw_md,17
31,545,raw_pm,7
32,66,raw_pm,38
32,89,raw_pm,20
32,170,raw_pm,9
32,273,raw_pm,7
32,291,raw_pm,5
32,438,raw_pm,13
33,69,raw_md,6
33,99,raw_pm,5
33,110,raw_ev,21
33,166,raw_pm,10
33,180,raw_pm,22
33,202,raw_pm,49
33,204,raw_pm,23
33,211,raw_ev,15
33,249,raw_pm,11
33,252,lico_pm,9
33,252,raw_pm,9
33,268,lico_ev,5
33,268,raw_ev,5
33,321,raw_pm,18
33,333,raw_pm,25
33,343,raw_pm,16
33,349,raw_pm,25
33,370,raw_pm,32
33,412,raw_pm,12
33,454,raw_pm,24
33,490,raw_pm,32
33,545,raw_pm,6
33,572,raw_pm,51
34,24,raw_pm,34
34,37,raw_pm,12
34,42,raw_pm,28
34,43,lico_md,7
34,43,raw_md,7
34,45,lico_pm,18
34,45,raw_am,33
34,45,raw_ev,15
34,45,raw_pm,18
34,46,raw_am,20
34,50,raw_pm,30
34,51,raw_md,14
34,67,raw_am,18
34,70,raw_md,10
34,77,raw_pm,18
34,92,raw_pm,5
34,93,raw_pm,12
34,95,raw_pm,7
34,101,raw_pm,38
34,110,lico_pm,97
34,110,raw_pm,97
34,123,raw_ev,22
34,173,lico_pm,24
34,173,raw_pm,24
34,211,raw_ev,38
34,211,raw_pm,19
34,215,raw_am,11
34,216,raw_pm,8
34,234,raw_am,12
34,239,raw_ev,52
34,272,raw_am,17
34,275,raw_am,10
34,294,raw_pm,8
34,306,lico_md,38
34,306,raw_md,38
34,318,raw_ev,17
34,391,raw_am,10
34,441,raw_am,21
34,441,raw_ev,9
34,473,raw_am,13
34,515,lico_pm,14
34,515,raw_pm,14
34,582,raw_am,13
34,590,lico_ev,25
34,590,raw_ev,25
34,593,raw_pm,15
35,21,raw_pm,36
35,22,raw_pm,53
35,38,raw_md,13
35,38,raw_pm,16
35,46,raw_pm,17
35,50,raw_md,9
35,50,raw_pm,18
35,51,raw_md,10
35,68,raw_pm,18
35,69,lico_pm,24
35,69,raw_pm,24
35,77,raw_am,15
35,78,raw_md,12
35,78,raw_pm,18
35,79,raw_pm,35
35,92,lico_pm,5
35,92,raw_pm,5
35,94,raw_ev,12
35,96,raw_pm,17
35,107,raw_pm,17
35,114,raw_pm,37
35,119,lico_pm,24
35,119,raw_pm,24
35,120,raw_ev,16
35,124,raw_pm,12
35,125,lico_pm,47
35,125,raw_md,10
35,125,raw_pm,66
35,134,raw_ev,4
35,142,lico_pm,29
35,142,raw_pm,29
35,143,raw_pm,37
35,154,raw_pm,29
35,157,raw_am,13
35,167,raw_pm,7
35,173,raw_pm,15
35,177,raw_pm,28
35,184,raw_pm,18
35,188,raw_pm,33
35,195,raw_md,28
35,195,raw_pm,14
35,200,raw_pm,5
35,201,raw_pm,33
35,204,raw_ev,21
35,204,raw_pm,29
35,210,raw_am,15
35,210,raw_pm,14
35,214,raw_pm,24
35,215,raw_pm,13
35,232,raw_pm,20
35,251,raw_pm,21
35,258,raw_pm,13
35,267,raw_pm,10
35,270,raw_pm,49
35,280,raw_pm,21
35,287,raw_pm,16
35,290,raw_pm,7
35,312,raw_pm,7
35,316,raw_md,13
35,329,raw_pm,11
35,333,raw_ev,13
35,340,raw_pm,24
35,375,raw_pm,22
35,391,raw_pm,9
35,420,raw_pm,20
35,424,raw_ev,29
35,429,lico_ev,10
35,429,raw_ev,10
35,433,raw_pm,13
35,447,raw_pm,13
35,452,raw_pm,33
35,455,raw_pm,46
35,460,lico_pm,13
35,460,raw_pm,13
35,462,raw_pm,9
35,463,raw_pm,24
35,464,raw_pm,23
35,465,raw_pm,24
35,466,raw_pm,29
35,476,raw_pm,61
35,485,lico_ev,18
35,485,raw_ev,18
35,487,raw_pm,24
35,490,raw_md,28
35,502,lico_pm,35
35,502,raw_pm,35
35,518,lico_pm,80
35,518,raw_pm,80
35,519,raw_pm,74
35,537,raw_pm,17
35,538,raw_pm,84
35,539,raw_pm,8
35,544,raw_pm,16
35,568,raw_pm,16
35,587,raw_pm,10
35,595,raw_pm,21
36,14,raw_md,24
36,15,raw_ev,30
36,15,raw_pm,14
36,16,raw_am,14
36,19,raw_ev,5
36,20,raw_pm,4
36,21,raw_ev,31
36,21,raw_md,31
36,21,raw_pm,38
36,22,raw_pm,17
36,39,raw_pm,23
36,41,raw_pm,57
36,43,raw_md,5
36,44,raw_pm,15
36,45,raw_pm,38
36,46,raw_md,14
36,46,raw_pm,66
36,51,raw_md,13
36,53,raw_pm,19
36,58,raw_am,13
36,61,raw_md,18
36,61,raw_pm,12
36,64,raw_pm,18
36,67,lico_md,21
36,67,raw_md,21
36,67,raw_pm,6
36,71,raw_ev,40
36,71,raw_pm,55
36,72,raw_md,25
36,73,raw_md,13
36,75,lico_pm,78
36,75,raw_pm,78
36,78,raw_md,12
36,82,raw_pm,4
36,84,lico_pm,69
36,84,raw_pm,69
36,89,raw_pm,41
36,90,lico_pm,20
36,90,raw_pm,39
36,94,raw_pm,75
36,99,raw_pm,31
36,105,raw_pm,11
36,106,raw_pm,12
36,110,lico_pm,49
