route_id,service_id,trip_id,trip_headsign,direction_id
1,1,32830373,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830372,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830371,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830370,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830369,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830368,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830367,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830366,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830365,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830364,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830363,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830362,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830361,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830360,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830359,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830358,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830357,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830356,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830355,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830354,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830353,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830352,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830351,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830350,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830349,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830348,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830347,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830346,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830345,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830344,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830343,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830342,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830341,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830340,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830339,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830338,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830337,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830336,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830335,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830334,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830333,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830332,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830331,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830330,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830329,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830328,LINE 1 (YONGE-UNIVERSITY),0
