route_id,agency_id,route_short_name,route_long_name,route_type
81,1,81,THORNCLIFFE PARK,3
82,1,82,ROSEDALE,3
83,1,83,JONES,3
84,1,84,SHEPPARD WEST,3
85,1,85,SHEPPARD EAST,3
86,1,86,SCARBOROUGH,3
9086,1,9086,SCARBOROUGH ROCKET,3
87,1,87,COSBURN,3
88,1,88,SOUTH LEASIDE,3
89,1,89,WESTON,3
9,1,9,BELLAMY,3
90,1,90,VAUGHAN,3
91,1,91,WOODBINE,3
92,1,92,WOODBINE SOUTH,3
94,1,94,WELLESLEY,3
95,1,95,YORK MILLS,3
9095,1,9095,YORK MILLS ROCKET,3
96,1,96,WILSON,3
97,1,97,YONGE,3
98,1,98,WILLOWDALE - SENLAC,3
99,1,99,ARROW ROAD,3
93,1,93,PARKVIEW HILLS,0
