INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13464855,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464709,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464374,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464948,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464614,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464286,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464067,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464498,1.0,1001-0-20-11,1272-0-99-99,1001,1272
1001,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464771,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13463787,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13463942,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464179,1.0,1001-0-20-11,1272-0-99-99,1001,1272
1272,1.0,1001-0-20-11,1272-0-99-99,1001,1272
1003,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464709,1.0,1003-0-20-11,1270-0-99-99,1003,1270
1270,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464614,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464498,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464771,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464374,0.6666666666666666,1003-0-20-11,1270-0-99-99,1003,1270
13464286,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13444054,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13462283,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13449625,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13452308,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13450532,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446120,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13451125,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446227,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13451762,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13445220,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13443118,1.0,1003-0-20-11,1572-0-99-99,1003,1572
224,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13445621,1.0,1003-0-20-11,1572-0-99-99,1003,1572
20105765,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13447596,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446990,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13450880,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13451957,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13461975,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13452476,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13447093,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13448608,1.0,1003-0-20-11,1572-0-99-99,1003,1572
