node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13462844-20-48,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463317-20-44,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13462953-20-51,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463183-20-53,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463082-20-52,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463279-20-53,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463942-20-42,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463537-20-43,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463796-20-57,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463892-21-0,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463892-20-58,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463573-20-55,1.0,1001-0-20-32,1272-0-99-99,1001,1272
1001-20-32,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463787-20-41,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13462844-20-45,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463705-20-56,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13462844-20-50,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463478-20-55,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463787-20-39,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13462844-20-47,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13463372-20-54,1.0,1001-0-20-32,1272-0-99-99,1001,1272
1272-99-99,1.0,1001-0-20-32,1272-0-99-99,1001,1272
13464286-20-41,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464771-20-50,0.4444444444444444,1003-0-20-32,1270-0-99-99,1003,1270
13464286-20-39,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464374-20-44,0.2222222222222222,1003-0-20-32,1270-0-99-99,1003,1270
1003-20-32,1.0,1003-0-20-32,1270-0-99-99,1003,1270
13464286-20-38,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464614-20-46,0.3333333333333333,1003-0-20-32,1270-0-99-99,1003,1270
1270-99-99,1.0,1003-0-20-32,1270-0-99-99,1003,1270
13464709-20-47,0.3333333333333333,1003-0-20-32,1270-0-99-99,1003,1270
13464771-20-48,0.3333333333333333,1003-0-20-32,1270-0-99-99,1003,1270
13464286-20-43,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464498-20-45,0.3333333333333333,1003-0-20-32,1270-0-99-99,1003,1270
13464286-20-40,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464374-20-38,0.2222222222222222,1003-0-20-32,1270-0-99-99,1003,1270
13464758-20-39,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464614-20-45,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464709-20-48,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464498-20-43,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464498-20-42,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464374-20-40,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464374-20-42,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464374-20-41,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464374-20-39,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13464606-20-34,0.1111111111111111,1003-0-20-32,1270-0-99-99,1003,1270
13446227-21-55,1.0,1003-0-20-32,1572-0-99-99,1003,1572
13451513-21-28,0.8,1003-0-20-32,1572-0-99-99,1003,1572
13443640-22-13,1.0,1003-0-20-32,1572-0-99-99,1003,1572
13447347-21-46,0.6,1003-0-20-32,1572-0-99-99,1003,1572
13445495-22-5,1.0,1003-0-20-32,1572-0-99-99,1003,1572
13448888-21-33,0.6,1003-0-20-32,1572-0-99-99,1003,1572
13463183-20-47,1.0,1003-0-20-32,1572-0-99-99,1003,1572
224-21-2,1.0,1003-0-20-32,1572-0-99-99,1003,1572
13446727-21-53,1.0,1003-0-20-32,1572-0-99-99,1003,1572
