INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
1272,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463279,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463478,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463796,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13462953,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463787,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463183,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463372,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463573,1.0,1001-0-20-1,1272-0-99-99,1001,1272
1001,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463892,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463705,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463537,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13462844,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463317,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463942,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463082,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463293,0.5,1001-0-20-1,1272-0-99-99,1001,1272
1270,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464614,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464498,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464709,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464374,1.0,1003-0-20-1,1270-0-99-99,1003,1270
1003,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464771,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464286,0.5,1003-0-20-1,1270-0-99-99,1003,1270
13462283,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450532,0.4166666666666667,1003-0-20-1,1572-0-99-99,1003,1572
13447495,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13462774,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13451513,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13442935,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13448171,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13450997,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450255,0.4166666666666667,1003-0-20-1,1572-0-99-99,1003,1572
13449817,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13451957,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13464286,0.5,1003-0-20-1,1572-0-99-99,1003,1572
13446727,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447752,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13451254,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13446990,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13452308,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13446406,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446675,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443640,1.0,1003-0-20-1,1572-0-99-99,1003,1572
228,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13461975,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13461356,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446120,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450294,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13449983,0.4166666666666667,1003-0-20-1,1572-0-99-99,1003,1572
222,1.0,1003-0-20-1,1572-0-99-99,1003,1572
1572,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13449936,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13451873,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
1003,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13451762,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463183,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13451634,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13443728,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463771,0.8333333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13450880,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450859,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13446227,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443303,1.0,1003-0-20-1,1572-0-99-99,1003,1572
226,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446621,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13499223,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445220,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447211,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13444651,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445621,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13449684,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13449162,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13445495,1.0,1003-0-20-1,1572-0-99-99,1003,1572
223,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13449375,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13452476,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463995,0.6666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13445741,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443453,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443118,1.0,1003-0-20-1,1572-0-99-99,1003,1572
227,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450374,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13452053,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13461716,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13451125,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13444364,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447093,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446875,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446543,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463420,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445921,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13444943,1.0,1003-0-20-1,1572-0-99-99,1003,1572
225,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13448428,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13452383,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13446051,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443365,1.0,1003-0-20-1,1572-0-99-99,1003,1572
224,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13452119,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13444054,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450507,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13448187,0.8333333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13448888,0.8333333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13447347,0.8333333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13447596,0.5,1003-0-20-1,1572-0-99-99,1003,1572
20105765,0.5,1003-0-20-1,1572-0-99-99,1003,1572
13448608,0.4166666666666667,1003-0-20-1,1572-0-99-99,1003,1572
13449625,0.2916666666666667,1003-0-20-1,1572-0-99-99,1003,1572
13446901,0.08333333333333333,1003-0-20-1,1572-0-99-99,1003,1572
13445039,0.041666666666666664,1003-0-20-1,1572-0-99-99,1003,1572
13463796,0.9152542372881356,1004-0-20-1,1166-0-99-99,1004,1166
