node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13447093-21-25,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446990-21-26,1.0,1003-0-20-11,1572-0-99-99,1003,1572
222-20-33,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13451957-21-2,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13448608-21-15,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13447347-21-20,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13463420-20-24,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13451125-21-7,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13442935-21-45,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13447347-21-23,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13462283-20-29,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446875-21-26,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13447347-21-18,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13499223-21-31,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446120-21-29,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13445495-21-34,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13445621-21-31,1.0,1003-0-20-11,1572-0-99-99,1003,1572
1003-20-11,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13450997-21-8,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13452308-21-0,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13449983-21-12,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446621-21-27,1.0,1003-0-20-11,1572-0-99-99,1003,1572
226-20-43,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13447347-21-21,1.0,1003-0-20-11,1572-0-99-99,1003,1572
228-20-53,1.0,1003-0-20-11,1572-0-99-99,1003,1572
223-20-38,1.0,1003-0-20-11,1572-0-99-99,1003,1572
20105765-21-17,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13445495-21-36,1.0,1003-0-20-11,1572-0-99-99,1003,1572
228-20-55,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13450859-21-9,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13452383-20-59,1.0,1003-0-20-11,1572-0-99-99,1003,1572
222-20-37,1.0,1003-0-20-11,1572-0-99-99,1003,1572
227-20-47,1.0,1003-0-20-11,1572-0-99-99,1003,1572
