node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13463787-20-9,0.5,1001-0-20-1,1272-0-99-99,1001,1272
1272-99-99,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463478-20-25,1.0,1001-0-20-1,1272-0-99-99,1001,1272
1001-20-1,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13462844-20-17,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13462844-20-18,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463573-20-25,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463372-20-24,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463892-20-28,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463787-20-11,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463705-20-26,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463082-20-22,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13462844-20-15,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13462844-20-20,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463892-20-30,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463537-20-13,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463279-20-23,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463317-20-14,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463787-20-8,0.5,1001-0-20-1,1272-0-99-99,1001,1272
13463796-20-27,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463183-20-23,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13462953-20-21,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463942-20-12,1.0,1001-0-20-1,1272-0-99-99,1001,1272
13463293-20-10,0.5,1001-0-20-1,1272-0-99-99,1001,1272
13463293-20-8,0.5,1001-0-20-1,1272-0-99-99,1001,1272
13464709-20-14,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464374-20-7,0.5,1003-0-20-1,1270-0-99-99,1003,1270
13464374-20-11,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464498-20-12,1.0,1003-0-20-1,1270-0-99-99,1003,1270
1270-99-99,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464771-20-17,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464614-20-13,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464771-20-15,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464374-20-8,0.5,1003-0-20-1,1270-0-99-99,1003,1270
13464374-20-9,0.5,1003-0-20-1,1270-0-99-99,1003,1270
1003-20-1,1.0,1003-0-20-1,1270-0-99-99,1003,1270
13464286-20-8,0.5,1003-0-20-1,1270-0-99-99,1003,1270
13464286-20-7,0.5,1003-0-20-1,1270-0-99-99,1003,1270
13464286-20-10,0.5,1003-0-20-1,1270-0-99-99,1003,1270
13444943-21-37,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463771-20-15,0.8333333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13446120-21-29,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13449817-21-11,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13443303-21-42,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463420-20-16,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13444364-21-38,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13442935-21-45,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447211-21-23,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13461356-20-22,1.0,1003-0-20-1,1572-0-99-99,1003,1572
228-20-47,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13452476-20-53,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443365-21-40,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447211-21-25,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13452308-20-55,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13463995-20-14,0.6666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13444054-21-39,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445621-21-31,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13451873-20-58,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
228-20-44,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13449983-21-7,0.25,1003-0-20-1,1572-0-99-99,1003,1572
228-20-48,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446621-21-27,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13452119-20-56,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13445495-21-34,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446990-21-26,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450532-21-5,0.4166666666666667,1003-0-20-1,1572-0-99-99,1003,1572
13452383-20-54,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13442935-21-43,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447211-21-19,0.08333333333333333,1003-0-20-1,1572-0-99-99,1003,1572
13447211-21-21,0.08333333333333333,1003-0-20-1,1572-0-99-99,1003,1572
13451254-21-1,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
223-20-30,1.0,1003-0-20-1,1572-0-99-99,1003,1572
224-20-33,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445741-21-31,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450294-21-9,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13450255-21-6,0.3333333333333333,1003-0-20-1,1572-0-99-99,1003,1572
13451125-21-2,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13449162-21-13,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13446875-21-26,1.0,1003-0-20-1,1572-0-99-99,1003,1572
226-20-36,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13448171-21-14,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13461716-20-21,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447211-21-18,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13447495-21-15,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13448428-21-14,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13462774-20-18,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443728-21-39,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13451957-20-57,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13450507-21-8,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13449375-21-12,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13499223-21-31,1.0,1003-0-20-1,1572-0-99-99,1003,1572
222-20-23,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445220-21-37,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13451513-21-0,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
222-20-26,1.0,1003-0-20-1,1572-0-99-99,1003,1572
222-20-25,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446406-21-28,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443453-21-40,1.0,1003-0-20-1,1572-0-99-99,1003,1572
222-20-29,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445921-21-30,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13445495-21-32,1.0,1003-0-20-1,1572-0-99-99,1003,1572
228-20-50,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13449684-21-11,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13446727-21-27,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450880-21-5,0.4166666666666667,1003-0-20-1,1572-0-99-99,1003,1572
13447211-21-22,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13444651-21-38,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447752-21-15,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13446227-21-29,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446675-21-27,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13461975-20-20,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13450374-21-8,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13451634-20-59,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13463995-20-9,0.3333333333333333,1003-0-20-1,1572-0-99-99,1003,1572
222-20-27,1.0,1003-0-20-1,1572-0-99-99,1003,1572
227-20-40,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13443640-21-41,1.0,1003-0-20-1,1572-0-99-99,1003,1572
225-20-34,1.0,1003-0-20-1,1572-0-99-99,1003,1572
228-20-46,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13446051-21-29,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463995-20-12,0.3333333333333333,1003-0-20-1,1572-0-99-99,1003,1572
13450859-21-4,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13451762-20-58,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13462283-20-19,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13452053-20-56,0.20833333333333334,1003-0-20-1,1572-0-99-99,1003,1572
13445495-21-36,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13464286-20-13,0.5,1003-0-20-1,1572-0-99-99,1003,1572
13447093-21-25,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13447211-21-16,0.16666666666666666,1003-0-20-1,1572-0-99-99,1003,1572
13446543-21-27,1.0,1003-0-20-1,1572-0-99-99,1003,1572
13463183-20-17,1.0,1003-0-20-1,1572-0-99-99,1003,1572
