node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13464948-21-7,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464374-21-0,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464498-21-1,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463942-20-56,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463652-20-48,0.5,1001-0-20-45,1272-0-99-99,1001,1272
13464948-21-5,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464286-20-59,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464179-20-58,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463652-20-49,0.5,1001-0-20-45,1272-0-99-99,1001,1272
13464067-20-57,1.0,1001-0-20-45,1272-0-99-99,1001,1272
1001-20-45,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464709-21-3,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464771-21-4,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464855-21-4,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464614-21-2,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463652-20-51,0.5,1001-0-20-45,1272-0-99-99,1001,1272
1272-99-99,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463787-20-54,0.5,1001-0-20-45,1272-0-99-99,1001,1272
13463787-20-52,0.5,1001-0-20-45,1272-0-99-99,1001,1272
13464374-20-52,0.5,1003-0-20-45,1270-0-99-99,1003,1270
13464498-20-56,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464771-20-59,1.0,1003-0-20-45,1270-0-99-99,1003,1270
1003-20-45,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464614-20-57,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464374-20-51,0.5,1003-0-20-45,1270-0-99-99,1003,1270
13464374-20-53,0.5,1003-0-20-45,1270-0-99-99,1003,1270
13464374-20-55,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464771-21-1,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464709-20-58,1.0,1003-0-20-45,1270-0-99-99,1003,1270
1270-99-99,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464286-20-54,0.5,1003-0-20-45,1270-0-99-99,1003,1270
13464286-20-52,0.5,1003-0-20-45,1270-0-99-99,1003,1270
13464286-20-51,0.5,1003-0-20-45,1270-0-99-99,1003,1270
13463995-20-54,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13444084-22-7,1.0,1003-0-20-45,1572-0-99-99,1003,1572
228-21-28,0.8554216867469879,1003-0-20-45,1572-0-99-99,1003,1572
226-21-17,0.6626506024096386,1003-0-20-45,1572-0-99-99,1003,1572
13462774-20-58,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
222-21-6,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13446432-22-0,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13451254-21-41,0.03614457831325301,1003-0-20-45,1572-0-99-99,1003,1572
13443668-22-7,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13443929-22-7,1.0,1003-0-20-45,1572-0-99-99,1003,1572
225-21-15,0.7108433734939759,1003-0-20-45,1572-0-99-99,1003,1572
222-21-5,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13445458-22-3,1.0,1003-0-20-45,1572-0-99-99,1003,1572
20105765-21-57,0.5180722891566265,1003-0-20-45,1572-0-99-99,1003,1572
13444537-22-6,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13461716-21-1,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13452053-21-36,0.08433734939759036,1003-0-20-45,1572-0-99-99,1003,1572
228-21-26,0.6144578313253012,1003-0-20-45,1572-0-99-99,1003,1572
13445095-22-4,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13461356-21-2,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
1572-99-99,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13444737-22-5,1.0,1003-0-20-45,1572-0-99-99,1003,1572
223-21-11,0.8072289156626506,1003-0-20-45,1572-0-99-99,1003,1572
13461975-21-0,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13449625-21-53,0.03614457831325301,1003-0-20-45,1572-0-99-99,1003,1572
228-21-24,0.6144578313253012,1003-0-20-45,1572-0-99-99,1003,1572
13451873-21-38,0.08433734939759036,1003-0-20-45,1572-0-99-99,1003,1572
228-21-27,0.5662650602409639,1003-0-20-45,1572-0-99-99,1003,1572
