node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13463279-21-23,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463372-21-24,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463705-21-26,1.0,1001-0-20-57,1272-0-99-99,1001,1272
1272-99-99,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463478-21-25,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463058-21-7,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463537-21-13,0.7777777777777778,1001-0-20-57,1272-0-99-99,1001,1272
13463892-21-28,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13462844-21-15,0.7777777777777778,1001-0-20-57,1272-0-99-99,1001,1272
13463058-21-9,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13462953-21-21,1.0,1001-0-20-57,1272-0-99-99,1001,1272
1001-20-57,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463317-21-14,0.7777777777777778,1001-0-20-57,1272-0-99-99,1001,1272
13463796-21-27,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13462844-21-20,0.8888888888888888,1001-0-20-57,1272-0-99-99,1001,1272
13463058-21-6,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463787-21-11,0.5555555555555556,1001-0-20-57,1272-0-99-99,1001,1272
13462844-21-18,0.8888888888888888,1001-0-20-57,1272-0-99-99,1001,1272
13463183-21-23,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463942-21-12,0.6666666666666666,1001-0-20-57,1272-0-99-99,1001,1272
13463293-21-10,0.3333333333333333,1001-0-20-57,1272-0-99-99,1001,1272
13462844-21-17,0.8888888888888888,1001-0-20-57,1272-0-99-99,1001,1272
13463892-21-30,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463573-21-25,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463082-21-22,1.0,1001-0-20-57,1272-0-99-99,1001,1272
13463537-21-11,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463942-21-9,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463942-21-8,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463942-21-10,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463787-21-9,0.3333333333333333,1001-0-20-57,1272-0-99-99,1001,1272
13463787-21-8,0.2222222222222222,1001-0-20-57,1272-0-99-99,1001,1272
13463787-21-4,0.3333333333333333,1001-0-20-57,1272-0-99-99,1001,1272
13463787-21-6,0.3333333333333333,1001-0-20-57,1272-0-99-99,1001,1272
13463787-21-7,0.2222222222222222,1001-0-20-57,1272-0-99-99,1001,1272
13463787-21-5,0.2222222222222222,1001-0-20-57,1272-0-99-99,1001,1272
13463293-21-8,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463293-21-6,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463293-21-5,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463293-21-4,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13463293-21-7,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
13462953-21-19,0.1111111111111111,1001-0-20-57,1272-0-99-99,1001,1272
1270-99-99,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464374-21-4,0.5,1003-0-20-57,1270-0-99-99,1003,1270
13464374-21-3,0.5,1003-0-20-57,1270-0-99-99,1003,1270
13464614-21-8,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464498-21-7,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464709-21-9,1.0,1003-0-20-57,1270-0-99-99,1003,1270
13464771-21-12,1.0,1003-0-20-57,1270-0-99-99,1003,1270
1003-20-57,1.0,1003-0-20-57,1270-0-99-99,1003,1270
