o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1015-0-11-29,1049-0-99-99,13466729,101,504.0,1.0
1015-0-11-29,1049-0-99-99,13466960,151,504.0,0.5
1015-0-11-29,1049-0-99-99,14243510,13466241,504.0,0.5
1015-0-11-29,1049-0-99-99,151,152,1.0,1.0
1015-0-11-29,1049-0-99-99,152,153,1.0,1.0
1015-0-11-29,1049-0-99-99,153,154,1.0,1.0
1015-0-11-29,1052-0-99-99,101,102,1.0,0.5
1015-0-11-29,1052-0-99-99,13466241,13466404,504.0,1.0
1015-0-11-29,1052-0-99-99,13466404,13466482,504.0,1.0
1015-0-11-29,1052-0-99-99,13466482,13466630,504.0,1.0
1015-0-11-29,1052-0-99-99,13466630,13466729,504.0,1.0
1015-0-11-29,1052-0-99-99,13466729,101,504.0,1.0
1015-0-11-29,1052-0-99-99,14243510,13466241,504.0,0.5
1016-0-11-29,1025-0-99-99,13465975,14243510,514.0,0.5
1016-0-11-29,1025-0-99-99,13466241,13466404,514.0,1.0
1016-0-11-29,1025-0-99-99,13466404,13466482,514.0,1.0
1016-0-11-29,1025-0-99-99,14243510,13466241,514.0,1.0
1016-0-11-29,1036-0-99-99,13465975,14243510,514.0,0.5
1016-0-11-29,1036-0-99-99,13466241,13466404,514.0,1.0
1016-0-11-29,1036-0-99-99,13466404,13466482,514.0,1.0
1016-0-11-29,1036-0-99-99,13466482,13466630,514.0,1.0
1016-0-11-29,1036-0-99-99,13466630,13466729,514.0,1.0
1016-0-11-29,1036-0-99-99,14243510,13466241,514.0,1.0
1016-0-11-29,1052-0-99-99,13465478,13465571,501.0,0.3333333333333333
1016-0-11-29,1052-0-99-99,13465571,13465673,501.0,0.6666666666666666
1016-0-11-29,1052-0-99-99,13465673,13465795,501.0,1.0
1016-0-11-29,1052-0-99-99,13465795,13465894,501.0,1.0
1016-0-11-29,1052-0-99-99,13465894,13465979,501.0,1.0
1016-0-11-29,1052-0-99-99,13465979,13466110,501.0,1.0
1016-0-11-29,1052-0-99-99,13466110,13466199,501.0,1.0
1016-0-11-29,1052-0-99-99,13466199,102,501.0,1.0
1016-0-11-29,1056-0-99-99,13465975,14243510,514.0,0.5
1016-0-11-29,1056-0-99-99,13466241,13466404,514.0,1.0
1016-0-11-29,1056-0-99-99,13466404,13466482,514.0,1.0
1016-0-11-29,1056-0-99-99,13466482,13466630,514.0,1.0
1016-0-11-29,1056-0-99-99,13466630,13466729,514.0,1.0
1016-0-11-29,1056-0-99-99,13466729,101,514.0,1.0
1016-0-11-29,1056-0-99-99,14243510,13466241,514.0,1.0
1016-0-11-29,1067-0-99-99,101,13466960,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,102,13466418,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13465478,13465571,501.0,0.14285714285714285
1016-0-11-29,1067-0-99-99,13465571,13465673,501.0,0.2857142857142857
1016-0-11-29,1067-0-99-99,13465673,13465795,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13465795,13465894,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13465894,13465979,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13465975,14243510,514.0,0.2857142857142857
1016-0-11-29,1067-0-99-99,13465979,13466110,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13466110,13466199,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13466199,102,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13466241,13466404,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,13466404,13466482,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,13466418,152,501.0,0.42857142857142855
1016-0-11-29,1067-0-99-99,13466482,13466630,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,13466630,13466729,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,13466729,101,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,13466960,151,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,14243510,13466241,514.0,0.5714285714285714
1016-0-11-29,1067-0-99-99,151,13467321,514.0,0.2857142857142857
1016-0-11-29,1067-0-99-99,152,13466708,501.0,0.42857142857142855
1016-0-11-29,1068-0-99-99,100,151,1.0,0.5
1016-0-11-29,1068-0-99-99,101,100,1.0,0.5
1016-0-11-29,1068-0-99-99,101,13466960,504.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,101,13466960,514.0,0.16666666666666666
1016-0-11-29,1068-0-99-99,13465784,13465975,504.0,0.16666666666666666
1016-0-11-29,1068-0-99-99,13465975,14243510,504.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,13465975,14243510,514.0,0.16666666666666666
1016-0-11-29,1068-0-99-99,13466241,13466404,504.0,0.6666666666666666
1016-0-11-29,1068-0-99-99,13466241,13466404,514.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,13466404,13466482,504.0,0.6666666666666666
1016-0-11-29,1068-0-99-99,13466404,13466482,514.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,13466482,13466630,504.0,0.6666666666666666
1016-0-11-29,1068-0-99-99,13466482,13466630,514.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,13466630,13466729,504.0,0.6666666666666666
1016-0-11-29,1068-0-99-99,13466630,13466729,514.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,13466729,101,504.0,0.6666666666666666
1016-0-11-29,1068-0-99-99,13466729,101,514.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,13466960,151,504.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,13466960,151,514.0,0.16666666666666666
1016-0-11-29,1068-0-99-99,14243510,13466241,504.0,0.5
1016-0-11-29,1068-0-99-99,14243510,13466241,514.0,0.3333333333333333
1016-0-11-29,1068-0-99-99,151,152,1.0,1.0
1016-0-11-29,1068-0-99-99,152,153,1.0,1.0
1016-0-11-29,1078-0-99-99,101,13466960,514.0,1.0
1016-0-11-29,1078-0-99-99,13465975,14243510,514.0,0.5
1016-0-11-29,1078-0-99-99,13466241,13466404,514.0,1.0
1016-0-11-29,1078-0-99-99,13466404,13466482,514.0,1.0
1016-0-11-29,1078-0-99-99,13466482,13466630,514.0,1.0
1016-0-11-29,1078-0-99-99,13466630,13466729,514.0,1.0
1016-0-11-29,1078-0-99-99,13466729,101,514.0,1.0
1016-0-11-29,1078-0-99-99,13466960,151,514.0,1.0
1016-0-11-29,1078-0-99-99,13467321,13467412,514.0,1.0
1016-0-11-29,1078-0-99-99,13467412,13467505,514.0,1.0
1016-0-11-29,1078-0-99-99,13467505,13467654,514.0,1.0
1016-0-11-29,1078-0-99-99,14243510,13466241,514.0,1.0
1016-0-11-29,1078-0-99-99,151,13467321,514.0,1.0
1016-0-11-29,1093-0-99-99,101,13466960,514.0,1.0
1016-0-11-29,1093-0-99-99,13465757,13465217,511.0,1.0
1016-0-11-29,1093-0-99-99,13465975,14243510,514.0,0.5
1016-0-11-29,1093-0-99-99,13466105,13465757,511.0,1.0
1016-0-11-29,1093-0-99-99,13466241,13466404,514.0,1.0
1016-0-11-29,1093-0-99-99,13466404,13466482,514.0,1.0
1016-0-11-29,1093-0-99-99,13466407,13466105,511.0,1.0
1016-0-11-29,1093-0-99-99,13466482,13466630,514.0,1.0
1016-0-11-29,1093-0-99-99,13466630,13466729,514.0,1.0
1016-0-11-29,1093-0-99-99,13466729,101,514.0,1.0
