INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
1025,1.0,1014-0-11-36,1025-0-99-99,1014,1025
13466241,0.2727272727272727,1014-0-11-36,1025-0-99-99,1014,1025
13466240,0.09090909090909091,1014-0-11-36,1025-0-99-99,1014,1025
30029405,0.09090909090909091,1014-0-11-36,1025-0-99-99,1014,1025
13466427,0.09090909090909091,1014-0-11-36,1025-0-99-99,1014,1025
13466475,0.09090909090909091,1014-0-11-36,1025-0-99-99,1014,1025
13466633,0.09090909090909091,1014-0-11-36,1025-0-99-99,1014,1025
13466454,0.09090909090909091,1014-0-11-36,1025-0-99-99,1014,1025
13466110,1.0,1014-0-11-36,1038-0-99-99,1014,1038
13465795,1.0,1014-0-11-36,1038-0-99-99,1014,1038
13465979,1.0,1014-0-11-36,1038-0-99-99,1014,1038
1038,1.0,1014-0-11-36,1038-0-99-99,1014,1038
13465894,1.0,1014-0-11-36,1038-0-99-99,1014,1038
1014,1.0,1014-0-11-36,1038-0-99-99,1014,1038
13466199,1.0,1014-0-11-36,1038-0-99-99,1014,1038
13465673,1.0,1014-0-11-36,1038-0-99-99,1014,1038
13465571,1.0,1014-0-11-36,1038-0-99-99,1014,1038
13466729,1.0,1015-0-11-36,1049-0-99-99,1015,1049
153,1.0,1015-0-11-36,1049-0-99-99,1015,1049
101,1.0,1015-0-11-36,1049-0-99-99,1015,1049
13466404,1.0,1015-0-11-36,1049-0-99-99,1015,1049
13466482,1.0,1015-0-11-36,1049-0-99-99,1015,1049
151,1.0,1015-0-11-36,1049-0-99-99,1015,1049
152,1.0,1015-0-11-36,1049-0-99-99,1015,1049
1049,1.0,1015-0-11-36,1049-0-99-99,1015,1049
154,1.0,1015-0-11-36,1049-0-99-99,1015,1049
13466630,1.0,1015-0-11-36,1049-0-99-99,1015,1049
13466960,0.5,1015-0-11-36,1049-0-99-99,1015,1049
13466241,1.0,1015-0-11-36,1049-0-99-99,1015,1049
1015,1.0,1015-0-11-36,1049-0-99-99,1015,1049
100,0.5,1015-0-11-36,1049-0-99-99,1015,1049
13466729,0.4,1015-0-11-36,1052-0-99-99,1015,1052
1052,1.0,1015-0-11-36,1052-0-99-99,1015,1052
101,0.4,1015-0-11-36,1052-0-99-99,1015,1052
13466404,0.4,1015-0-11-36,1052-0-99-99,1015,1052
13466482,0.4,1015-0-11-36,1052-0-99-99,1015,1052
13466630,0.4,1015-0-11-36,1052-0-99-99,1015,1052
13466241,0.4,1015-0-11-36,1052-0-99-99,1015,1052
1015,1.0,1015-0-11-36,1052-0-99-99,1015,1052
102,0.8,1015-0-11-36,1052-0-99-99,1015,1052
13466110,0.6,1015-0-11-36,1052-0-99-99,1015,1052
13465979,0.6,1015-0-11-36,1052-0-99-99,1015,1052
13465894,0.6,1015-0-11-36,1052-0-99-99,1015,1052
13466199,0.6,1015-0-11-36,1052-0-99-99,1015,1052
13465795,0.4,1015-0-11-36,1052-0-99-99,1015,1052
13465673,0.2,1015-0-11-36,1052-0-99-99,1015,1052
13465571,0.2,1015-0-11-36,1052-0-99-99,1015,1052
1016,1.0,1016-0-11-36,1016-0-99-99,1016,1016
13465784,1.0,1016-0-11-36,1016-0-99-99,1016,1016
13465975,1.0,1016-0-11-36,1025-0-99-99,1016,1025
13466404,1.0,1016-0-11-36,1025-0-99-99,1016,1025
13466482,1.0,1016-0-11-36,1025-0-99-99,1016,1025
14243510,1.0,1016-0-11-36,1025-0-99-99,1016,1025
1025,1.0,1016-0-11-36,1025-0-99-99,1016,1025
13466241,1.0,1016-0-11-36,1025-0-99-99,1016,1025
1016,1.0,1016-0-11-36,1025-0-99-99,1016,1025
13465784,0.5,1016-0-11-36,1025-0-99-99,1016,1025
13466729,1.0,1016-0-11-36,1036-0-99-99,1016,1036
13465975,1.0,1016-0-11-36,1036-0-99-99,1016,1036
13466404,1.0,1016-0-11-36,1036-0-99-99,1016,1036
13466482,1.0,1016-0-11-36,1036-0-99-99,1016,1036
14243510,1.0,1016-0-11-36,1036-0-99-99,1016,1036
13466630,1.0,1016-0-11-36,1036-0-99-99,1016,1036
1036,1.0,1016-0-11-36,1036-0-99-99,1016,1036
13466241,1.0,1016-0-11-36,1036-0-99-99,1016,1036
1016,1.0,1016-0-11-36,1036-0-99-99,1016,1036
13465784,0.5,1016-0-11-36,1036-0-99-99,1016,1036
1016,1.0,1016-0-11-36,1052-0-99-99,1016,1052
13466110,1.0,1016-0-11-36,1052-0-99-99,1016,1052
13465795,1.0,1016-0-11-36,1052-0-99-99,1016,1052
102,1.0,1016-0-11-36,1052-0-99-99,1016,1052
13465979,1.0,1016-0-11-36,1052-0-99-99,1016,1052
13465894,1.0,1016-0-11-36,1052-0-99-99,1016,1052
13466199,1.0,1016-0-11-36,1052-0-99-99,1016,1052
1052,1.0,1016-0-11-36,1052-0-99-99,1016,1052
13465673,1.0,1016-0-11-36,1052-0-99-99,1016,1052
13465571,0.5,1016-0-11-36,1052-0-99-99,1016,1052
13466729,1.0,1016-0-11-36,1056-0-99-99,1016,1056
101,1.0,1016-0-11-36,1056-0-99-99,1016,1056
13465975,1.0,1016-0-11-36,1056-0-99-99,1016,1056
13466404,1.0,1016-0-11-36,1056-0-99-99,1016,1056
13466482,1.0,1016-0-11-36,1056-0-99-99,1016,1056
1056,1.0,1016-0-11-36,1056-0-99-99,1016,1056
14243510,1.0,1016-0-11-36,1056-0-99-99,1016,1056
13466630,1.0,1016-0-11-36,1056-0-99-99,1016,1056
13466241,1.0,1016-0-11-36,1056-0-99-99,1016,1056
1016,1.0,1016-0-11-36,1056-0-99-99,1016,1056
13465784,0.5,1016-0-11-36,1056-0-99-99,1016,1056
1016,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13466110,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13466418,1.0,1016-0-11-36,1067-0-99-99,1016,1067
1067,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13465795,1.0,1016-0-11-36,1067-0-99-99,1016,1067
102,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13465979,1.0,1016-0-11-36,1067-0-99-99,1016,1067
152,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13465894,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13466708,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13466199,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13465673,1.0,1016-0-11-36,1067-0-99-99,1016,1067
13465571,0.5,1016-0-11-36,1067-0-99-99,1016,1067
13466729,1.0,1016-0-11-36,1068-0-99-99,1016,1068
153,1.0,1016-0-11-36,1068-0-99-99,1016,1068
1068,1.0,1016-0-11-36,1068-0-99-99,1016,1068
101,1.0,1016-0-11-36,1068-0-99-99,1016,1068
13465975,1.0,1016-0-11-36,1068-0-99-99,1016,1068
