o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1001-0-11-48,1253-0-99-99,13463032,13462856,501.0,1.0
1001-0-11-48,1253-0-99-99,13463118,13463032,501.0,1.0
1001-0-11-48,1253-0-99-99,13463187,13463118,501.0,1.0
1001-0-11-48,1253-0-99-99,13463288,13463187,501.0,1.0
1001-0-11-48,1253-0-99-99,13463408,13463288,501.0,1.0
1001-0-11-48,1253-0-99-99,13463494,13463408,501.0,0.6666666666666666
1001-0-11-48,1253-0-99-99,13463652,13463494,501.0,0.3333333333333333
1002-0-11-48,1072-0-99-99,106,215,2.0,1.0
1002-0-11-48,1072-0-99-99,13460937,224,92.0,0.5
1002-0-11-48,1072-0-99-99,13461380,223,22.0,0.5
1002-0-11-48,1072-0-99-99,13461421,13460937,92.0,0.5
1002-0-11-48,1072-0-99-99,13461623,13461380,22.0,0.5
1002-0-11-48,1072-0-99-99,13461733,13461421,92.0,0.5
1002-0-11-48,1072-0-99-99,13462196,13461733,92.0,0.5
1002-0-11-48,1072-0-99-99,13462225,13461623,22.0,0.5
1002-0-11-48,1072-0-99-99,13462427,13462225,22.0,0.5
1002-0-11-48,1072-0-99-99,13462643,13462196,92.0,0.5
1002-0-11-48,1072-0-99-99,13462844,13462427,22.0,0.5
1002-0-11-48,1072-0-99-99,13462931,13462643,92.0,0.5
1002-0-11-48,1072-0-99-99,13463317,13462844,22.0,0.5
1002-0-11-48,1072-0-99-99,13463494,13462931,92.0,0.5
1002-0-11-48,1072-0-99-99,13463537,13463317,22.0,0.5
1002-0-11-48,1072-0-99-99,13463933,13463494,92.0,0.5
1002-0-11-48,1072-0-99-99,13463942,13463537,22.0,0.5
1002-0-11-48,1072-0-99-99,156,214,2.0,1.0
1002-0-11-48,1072-0-99-99,20235330,13463933,92.0,0.5
1002-0-11-48,1072-0-99-99,215,156,2.0,1.0
1002-0-11-48,1072-0-99-99,216,106,2.0,1.0
1002-0-11-48,1072-0-99-99,217,216,2.0,1.0
1002-0-11-48,1072-0-99-99,218,217,2.0,1.0
1002-0-11-48,1072-0-99-99,219,218,2.0,1.0
1002-0-11-48,1072-0-99-99,220,219,2.0,1.0
1002-0-11-48,1072-0-99-99,221,220,2.0,1.0
1002-0-11-48,1072-0-99-99,222,221,2.0,1.0
1002-0-11-48,1072-0-99-99,223,222,2.0,1.0
1002-0-11-48,1072-0-99-99,224,223,2.0,0.5
1011-0-11-48,1107-0-99-99,100,151,1.0,0.25
1011-0-11-48,1107-0-99-99,101,100,1.0,0.25
1011-0-11-48,1107-0-99-99,101,102,1.0,0.25
1011-0-11-48,1107-0-99-99,101,13466960,514.0,0.25
1011-0-11-48,1107-0-99-99,102,103,1.0,0.25
1011-0-11-48,1107-0-99-99,103,104,1.0,0.25
1011-0-11-48,1107-0-99-99,104,105,1.0,0.25
1011-0-11-48,1107-0-99-99,105,106,1.0,0.25
1011-0-11-48,1107-0-99-99,106,215,2.0,0.5
1011-0-11-48,1107-0-99-99,13462117,220,72.0,0.25
1011-0-11-48,1107-0-99-99,13462518,13462117,72.0,0.25
1011-0-11-48,1107-0-99-99,13462891,13462518,72.0,0.25
1011-0-11-48,1107-0-99-99,13463166,13462891,72.0,0.25
1011-0-11-48,1107-0-99-99,13463245,13463166,72.0,0.25
1011-0-11-48,1107-0-99-99,13463522,13463245,72.0,0.25
1011-0-11-48,1107-0-99-99,13463796,13463522,72.0,0.25
1011-0-11-48,1107-0-99-99,13464254,13463796,72.0,0.25
1011-0-11-48,1107-0-99-99,13464662,13464254,72.0,0.25
1011-0-11-48,1107-0-99-99,13464855,13464662,72.0,0.25
1011-0-11-48,1107-0-99-99,13465276,13464855,72.0,0.25
1011-0-11-48,1107-0-99-99,13465837,13465276,72.0,0.25
1011-0-11-48,1107-0-99-99,13465975,14243510,514.0,0.375
1011-0-11-48,1107-0-99-99,13466194,13465837,72.0,0.25
1011-0-11-48,1107-0-99-99,13466241,13466404,514.0,0.75
1011-0-11-48,1107-0-99-99,13466351,13466194,72.0,0.25
1011-0-11-48,1107-0-99-99,13466404,13466482,514.0,0.75
1011-0-11-48,1107-0-99-99,13466482,13466630,514.0,0.75
1011-0-11-48,1107-0-99-99,13466520,13466351,72.0,0.25
1011-0-11-48,1107-0-99-99,13466630,13466729,514.0,0.75
1011-0-11-48,1107-0-99-99,13466690,13466520,72.0,0.25
1011-0-11-48,1107-0-99-99,13466729,101,514.0,0.75
1011-0-11-48,1107-0-99-99,13466878,13466690,72.0,0.25
1011-0-11-48,1107-0-99-99,13466960,151,514.0,0.25
1011-0-11-48,1107-0-99-99,13467444,13466878,72.0,0.125
1011-0-11-48,1107-0-99-99,14243510,13466241,514.0,0.75
1011-0-11-48,1107-0-99-99,151,152,1.0,0.5
1011-0-11-48,1107-0-99-99,152,153,1.0,0.5
