trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260536,14544,4,302,17,34,58
39260536,14545,5,301,17,37,21
39260536,14546,6,228,17,41,43
39260537,14541,1,305,17,25,0
39260537,14542,2,304,17,26,41
39260537,14543,3,303,17,28,28
39260537,14544,4,302,17,29,58
39260537,14545,5,301,17,32,21
39260537,14546,6,228,17,36,43
39260538,14541,1,305,17,20,0
39260538,14542,2,304,17,21,41
39260538,14543,3,303,17,23,28
39260538,14544,4,302,17,24,58
39260538,14545,5,301,17,27,21
39260538,14546,6,228,17,31,43
39260539,14541,1,305,17,15,0
39260539,14542,2,304,17,16,41
39260539,14543,3,303,17,18,28
39260539,14544,4,302,17,19,58
39260539,14545,5,301,17,22,21
39260539,14546,6,228,17,26,43
39260540,14541,1,305,17,10,0
39260540,14542,2,304,17,11,41
39260540,14543,3,303,17,13,28
39260540,14544,4,302,17,14,58
39260540,14545,5,301,17,17,21
39260540,14546,6,228,17,21,43
39260541,14541,1,305,17,5,0
39260541,14542,2,304,17,6,41
39260541,14543,3,303,17,8,28
39260541,14544,4,302,17,9,58
39260541,14545,5,301,17,12,21
39260541,14546,6,228,17,16,43
39260542,14541,1,305,17,0,0
39260542,14542,2,304,17,1,41
39260542,14543,3,303,17,3,28
39260542,14544,4,302,17,4,58
39260542,14545,5,301,17,7,21
39260542,14546,6,228,17,11,43
39260543,14545,5,301,17,2,21
39260543,14546,6,228,17,6,43
39260544,14546,6,228,17,1,43
39260652,14541,1,305,18,50,0
39260652,14542,2,304,18,51,41
39260652,14543,3,303,18,53,28
39260652,14544,4,302,18,54,58
39260652,14545,5,301,18,57,21
39260652,14546,6,228,19,1,43
39260653,14541,1,305,18,55,0
39260653,14542,2,304,18,56,41
39260653,14543,3,303,18,58,28
39260653,14544,4,302,18,59,58
39260653,14545,5,301,19,2,21
39260653,14546,6,228,19,6,43
39260654,14541,1,305,19,0,0
39260654,14542,2,304,19,1,41
39260654,14543,3,303,19,3,28
39260654,14544,4,302,19,4,58
39260654,14545,5,301,19,7,21
39260654,14546,6,228,19,11,43
39260655,14541,1,305,19,5,0
39260655,14542,2,304,19,6,41
39260655,14543,3,303,19,8,28
39260655,14544,4,302,19,9,58
39260655,14545,5,301,19,12,21
39260655,14546,6,228,19,16,43
39260656,14541,1,305,19,10,0
39260656,14542,2,304,19,11,41
39260656,14543,3,303,19,13,28
39260656,14544,4,302,19,14,58
39260656,14545,5,301,19,17,21
39260656,14546,6,228,19,21,43
39260657,14541,1,305,19,15,0
39260657,14542,2,304,19,16,41
39260657,14543,3,303,19,18,28
39260657,14544,4,302,19,19,58
39260657,14545,5,301,19,22,21
39260657,14546,6,228,19,26,43
39260658,14541,1,305,19,20,0
39260658,14542,2,304,19,21,41
39260658,14543,3,303,19,23,28
39260658,14544,4,302,19,24,58
39260658,14545,5,301,19,27,21
39260658,14546,6,228,19,31,43
39260659,14541,1,305,19,25,0
39260659,14542,2,304,19,26,41
39260659,14543,3,303,19,28,28
39260659,14544,4,302,19,29,58
39260659,14545,5,301,19,32,21
39260659,14546,6,228,19,36,43
39260660,14541,1,305,19,30,0
39260660,14542,2,304,19,31,41
39260660,14543,3,303,19,33,28
39260660,14544,4,302,19,34,58
39260660,14545,5,301,19,37,21
39260660,14546,6,228,19,41,43
39260661,14541,1,305,19,35,0
39260661,14542,2,304,19,36,41
39260661,14543,3,303,19,38,28
39260661,14544,4,302,19,39,58
39260661,14545,5,301,19,42,21
39260661,14546,6,228,19,46,43
39260662,14541,1,305,19,40,0
39260662,14542,2,304,19,41,41
39260662,14543,3,303,19,43,28
39260662,14544,4,302,19,44,58
39260662,14545,5,301,19,47,21
39260662,14546,6,228,19,51,43
39260675,14541,1,305,19,45,0
39260675,14542,2,304,19,46,41
39260675,14543,3,303,19,48,28
39260675,14544,4,302,19,49,58
39260675,14545,5,301,19,52,21
39260675,14546,6,228,19,56,43
39260676,14541,1,305,19,50,0
39260676,14542,2,304,19,51,41
39260676,14543,3,303,19,53,28
39260676,14544,4,302,19,54,58
39260676,14545,5,301,19,57,21
39260676,14546,6,228,20,1,43
39260677,14541,1,305,19,55,0
39260677,14542,2,304,19,56,41
39260677,14543,3,303,19,58,28
39260677,14544,4,302,19,59,58
39260677,14545,5,301,20,2,21
39260677,14546,6,228,20,6,43
39260678,14541,1,305,20,0,0
