trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260620,14546,6,228,7,38,58
39260621,14541,1,305,7,22,15
39260621,14542,2,304,7,23,56
39260621,14543,3,303,7,25,43
39260621,14544,4,302,7,27,13
39260621,14545,5,301,7,29,36
39260621,14546,6,228,7,33,58
39260622,14541,1,305,7,17,15
39260622,14542,2,304,7,18,56
39260622,14543,3,303,7,20,43
39260622,14544,4,302,7,22,13
39260622,14545,5,301,7,24,36
39260622,14546,6,228,7,28,58
39260623,14541,1,305,7,12,15
39260623,14542,2,304,7,13,56
39260623,14543,3,303,7,15,43
39260623,14544,4,302,7,17,13
39260623,14545,5,301,7,19,36
39260623,14546,6,228,7,23,58
39260624,14541,1,305,7,7,15
39260624,14542,2,304,7,8,56
39260624,14543,3,303,7,10,43
39260624,14544,4,302,7,12,13
39260624,14545,5,301,7,14,36
39260624,14546,6,228,7,18,58
39260625,14541,1,305,7,2,15
39260625,14542,2,304,7,3,56
39260625,14543,3,303,7,5,43
39260625,14544,4,302,7,7,13
39260625,14545,5,301,7,9,36
39260625,14546,6,228,7,13,58
39260626,14543,3,303,7,0,43
39260626,14544,4,302,7,2,13
39260626,14545,5,301,7,4,36
39260626,14546,6,228,7,8,58
39260627,14546,6,228,7,3,58
39260640,14541,1,305,9,2,15
39260640,14542,2,304,9,3,56
39260640,14543,3,303,9,5,43
39260640,14544,4,302,9,7,13
39260640,14545,5,301,9,9,36
39260640,14546,6,228,9,13,58
39260641,14541,1,305,9,7,15
39260641,14542,2,304,9,8,56
39260641,14543,3,303,9,10,43
39260641,14544,4,302,9,12,13
39260641,14545,5,301,9,14,36
39260641,14546,6,228,9,18,58
39260642,14541,1,305,9,12,15
39260642,14542,2,304,9,13,56
39260642,14543,3,303,9,15,43
39260642,14544,4,302,9,17,13
39260642,14545,5,301,9,19,36
39260642,14546,6,228,9,23,58
39260643,14541,1,305,9,17,15
39260643,14542,2,304,9,18,56
39260643,14543,3,303,9,20,43
39260643,14544,4,302,9,22,13
39260643,14545,5,301,9,24,36
39260643,14546,6,228,9,28,58
39260644,14541,1,305,9,22,15
39260644,14542,2,304,9,23,56
39260644,14543,3,303,9,25,43
39260644,14544,4,302,9,27,13
39260644,14545,5,301,9,29,36
39260644,14546,6,228,9,33,58
39260645,14541,1,305,9,27,15
39260645,14542,2,304,9,28,56
39260645,14543,3,303,9,30,43
39260645,14544,4,302,9,32,13
39260645,14545,5,301,9,34,36
39260645,14546,6,228,9,38,58
39260646,14541,1,305,9,32,15
39260646,14542,2,304,9,33,56
39260646,14543,3,303,9,35,43
39260646,14544,4,302,9,37,13
39260646,14545,5,301,9,39,36
39260646,14546,6,228,9,43,58
39260647,14541,1,305,9,37,15
39260647,14542,2,304,9,38,56
39260647,14543,3,303,9,40,43
39260647,14544,4,302,9,42,13
39260647,14545,5,301,9,44,36
39260647,14546,6,228,9,48,58
39260648,14541,1,305,9,42,15
39260648,14542,2,304,9,43,56
39260648,14543,3,303,9,45,43
39260648,14544,4,302,9,47,13
39260648,14545,5,301,9,49,36
39260648,14546,6,228,9,53,58
39260649,14541,1,305,9,47,15
39260649,14542,2,304,9,48,56
39260649,14543,3,303,9,50,43
39260649,14544,4,302,9,52,13
39260649,14545,5,301,9,54,36
39260649,14546,6,228,9,58,58
39260650,14541,1,305,9,52,15
39260650,14542,2,304,9,53,56
39260650,14543,3,303,9,55,43
39260650,14544,4,302,9,57,13
39260650,14545,5,301,9,59,36
39260650,14546,6,228,10,3,58
39260651,14541,1,305,9,57,15
39260651,14542,2,304,9,58,56
39260651,14543,3,303,10,0,43
39260651,14544,4,302,10,2,13
39260651,14545,5,301,10,4,36
39260651,14546,6,228,10,8,58
39260663,14541,1,305,10,2,15
39260663,14542,2,304,10,3,56
39260663,14543,3,303,10,5,43
39260663,14544,4,302,10,7,13
39260663,14545,5,301,10,9,36
39260663,14546,6,228,10,13,58
39260664,14541,1,305,10,7,15
39260664,14542,2,304,10,8,56
39260664,14543,3,303,10,10,43
39260664,14544,4,302,10,12,13
39260664,14545,5,301,10,14,36
39260664,14546,6,228,10,18,58
39260665,14541,1,305,10,12,15
39260665,14542,2,304,10,13,56
39260665,14543,3,303,10,15,43
39260665,14544,4,302,10,17,13
39260665,14545,5,301,10,19,36
39260665,14546,6,228,10,23,58
39260666,14541,1,305,10,17,15
39260666,14542,2,304,10,18,56
39260666,14543,3,303,10,20,43
39260666,14544,4,302,10,22,13
39260666,14545,5,301,10,24,36
39260666,14546,6,228,10,28,58
39260667,14541,1,305,10,22,15
39260667,14542,2,304,10,23,56
39260667,14543,3,303,10,25,43
39260667,14544,4,302,10,27,13
39260667,14545,5,301,10,29,36
39260667,14546,6,228,10,33,58
39260668,14541,1,305,10,27,15
39260668,14542,2,304,10,28,56
39260668,14543,3,303,10,30,43
39260668,14544,4,302,10,32,13
39260668,14545,5,301,10,34,36
39260668,14546,6,228,10,38,58
39260669,14541,1,305,10,32,15
39260669,14542,2,304,10,33,56
39260669,14543,3,303,10,35,43
39260669,14544,4,302,10,37,13
39260669,14545,5,301,10,39,36
39260669,14546,6,228,10,43,58
39260670,14541,1,305,10,37,15
39260670,14542,2,304,10,38,56
39260670,14543,3,303,10,40,43
39260670,14544,4,302,10,42,13
39260670,14545,5,301,10,44,36
39260670,14546,6,228,10,48,58
39260671,14541,1,305,10,42,15
39260671,14542,2,304,10,43,56
39260671,14543,3,303,10,45,43
39260671,14544,4,302,10,47,13
39260671,14545,5,301,10,49,36
39260671,14546,6,228,10,53,58
39260672,14541,1,305,10,47,15
39260672,14542,2,304,10,48,56
39260672,14543,3,303,10,50,43
39260672,14544,4,302,10,52,13
39260672,14545,5,301,10,54,36
39260672,14546,6,228,10,58,58
39260673,14541,1,305,10,52,15
39260673,14542,2,304,10,53,56
39260673,14543,3,303,10,55,43
39260673,14544,4,302,10,57,13
39260673,14545,5,301,10,59,36
39260673,14546,6,228,11,3,58
39260674,14541,1,305,10,57,15
39260674,14542,2,304,10,58,56
39260674,14543,3,303,11,0,43
39260674,14544,4,302,11,2,13
39260674,14545,5,301,11,4,36
39260674,14546,6,228,11,8,58
39260696,14552,6,305,7,2,15
39260697,14550,4,303,7,0,58
39260697,14551,5,304,7,2,46
39260697,14552,6,305,7,7,15
39260698,14548,2,301,7,1,58
39260698,14549,3,302,7,4,33
39260698,14550,4,303,7,5,58
39260698,14551,5,304,7,7,46
