trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260506,14541,1,305,23,42,0
39260506,14542,2,304,23,43,46
39260506,14543,3,303,23,45,38
39260506,14544,4,302,23,47,13
39260506,14545,5,301,23,49,41
39260506,14546,6,228,23,55,30
39260507,14541,1,305,23,48,45
39260507,14542,2,304,23,50,31
39260507,14543,3,303,23,52,23
39260507,14544,4,302,23,53,58
39260507,14545,5,301,23,56,26
39260507,14546,6,228,0,2,15
39260508,14541,1,305,23,55,30
39260508,14542,2,304,23,57,16
39260508,14543,3,303,23,59,8
39260508,14544,4,302,0,0,43
39260508,14545,5,301,0,3,11
39260508,14546,6,228,0,9,0
39260509,14541,1,305,0,2,15
39260509,14542,2,304,0,4,1
39260509,14543,3,303,0,5,53
39260509,14544,4,302,0,7,28
39260509,14545,5,301,0,9,56
39260509,14546,6,228,0,15,45
39260510,14541,1,305,0,9,0
39260510,14542,2,304,0,10,46
39260510,14543,3,303,0,12,38
39260510,14544,4,302,0,14,13
39260510,14545,5,301,0,16,41
39260510,14546,6,228,0,22,30
39260511,14541,1,305,0,15,45
39260511,14542,2,304,0,17,31
39260511,14543,3,303,0,19,23
39260511,14544,4,302,0,20,58
39260511,14545,5,301,0,23,26
39260511,14546,6,228,0,29,15
39260512,14541,1,305,0,22,30
39260512,14542,2,304,0,24,16
39260512,14543,3,303,0,26,8
39260512,14544,4,302,0,27,43
39260512,14545,5,301,0,30,11
39260512,14546,6,228,0,36,0
39260513,14541,1,305,0,29,15
39260513,14542,2,304,0,31,1
39260513,14543,3,303,0,32,53
39260513,14544,4,302,0,34,28
39260513,14545,5,301,0,36,56
39260513,14546,6,228,0,42,45
39260514,14541,1,305,0,36,0
39260514,14542,2,304,0,37,46
39260514,14543,3,303,0,39,38
39260514,14544,4,302,0,41,13
39260514,14545,5,301,0,43,41
39260514,14546,6,228,0,49,30
39260515,14541,1,305,0,42,45
39260515,14542,2,304,0,44,31
39260515,14543,3,303,0,46,23
39260515,14544,4,302,0,47,58
