ward,cycles,scaled_cycles,removed_cycles,N,cycle_availability,area,ward_name,cycle_density,period
9,12,0.8066037735849054,0,101,0.003896636587366693,12.092764199593494,Davenport,0.06670135630462552,MD
10,7,0.8443396226415092,4,70,0.00582303188028627,9.301089014978645,Spadina-Fort York,0.09077857671093881,MD
11,16,0.7594339622641499,4,105,0.003532250987275116,13.594704244601502,University-Rosedale,0.05586248502358729,MD
12,4,0.15094339622641478,10,91,0.0008071839370396512,13.119079184300707,Toronto-St. Paul's,0.011505639542678055,MD
13,7,0.5188679245283014,3,67,0.003732862766390658,5.861978760182593,Toronto Centre,0.08851412564861279,MD
14,17,1.1886792452830182,9,152,0.0038468583989741687,21.79805561500022,Toronto-Danforth,0.054531434650760074,MD
15,5,0.1603773584905658,14,153,0.0005156828247285074,30.291446962976995,Don Valley West,0.005294476645060345,MD
16,13,0.7688679245283008,7,120,0.0031382364266461255,22.961197918076145,Don Valley East,0.03348553186430275,MD
17,13,0.9528301886792447,5,114,0.004089399951413068,24.416753467597097,Don Valley North,0.03902362326521924,MD
18,11,0.3018867924528293,5,124,0.0011932284286673095,19.75882362536991,Willowdale,0.015278581264585664,MD
19,8,0.4575471698113203,6,139,0.001616774451630107,16.80175712271847,Beaches-East York,0.027232102361047023,MD
20,14,0.4339622641509424,16,195,0.0010986386434201074,28.187889894594186,Scarborough Southwest,0.015395344091867153,MD
21,11,0.7594339622641505,12,157,0.002380670728100785,28.20183652636778,Scarborough Centre,0.026928528628059556,MD
22,19,1.254716981132074,5,122,0.005039024020610739,21.395977487483425,Scarborough-Agincourt,0.05864265756804424,MD
23,19,0.6792452830188669,9,158,0.0021160289190618907,30.433948652080108,Scarborough North,0.022318670862725584,MD
24,4,0.391509433962264,5,86,0.0022119177060014915,26.11473129470679,Scarborough-Guildwood,0.014991899765080842,MD
25,10,0.3207547169811315,12,171,0.0009243651786199755,54.085105633097456,Scarborough-Rouge Park,0.005930555431601953,MD
1,24,1.0934256055363314,5,214,0.002525232345349495,48.35226406897412,Etobicoke North,0.022613741602183685,PM
2,9,0.5916955017301033,5,174,0.0016761912230314543,37.33975371399385,Etobicoke Centre,0.015846261500872007,PM
3,27,0.9238754325259497,20,255,0.0017939328786911646,40.01243087294999,Etobicoke-Lakeshore,0.023089710181805688,PM
4,15,0.6297577854671271,7,126,0.0024504193987047746,15.324932601367276,Parkdale-High Park,0.041093674070118956,PM
5,29,1.1903114186851194,8,207,0.002840838708079044,24.973566676277184,York South-Weston,0.04766285225152947,PM
6,19,0.9134948096885803,12,187,0.002410276542713932,35.35267319595879,York Centre,0.025839483329170226,PM
7,17,0.6920415224913482,12,179,0.0019064504751827775,30.694206585929987,Humber River-Black Creek,0.022546323865839078,PM
8,10,0.24221453287197167,10,154,0.0007738483478337753,22.657719856949853,Eglinton-Lawrence,0.010690154808215472,PM
9,12,0.7439446366782003,0,101,0.0035939354428898567,12.092764199593494,Davenport,0.06151981667708434,PM
10,14,0.4429065743944628,4,82,0.002620748960913981,9.301089014978645,Spadina-Fort York,0.0476187867550991,PM
11,20,0.7439446366781991,4,112,0.00324866653571266,13.594704244601502,University-Rosedale,0.05472312036310917,PM
12,9,0.24567474048442847,11,102,0.0011754772271982223,13.119079184300707,Toronto-St. Paul's,0.01872652318300065,PM
13,18,0.2802768166089949,4,91,0.0014988065059304539,5.861978760182593,Toronto Centre,0.04781266327895474,PM
14,19,1.141868512110726,9,156,0.0036021088710117537,21.79805561500022,Toronto-Danforth,0.05238396177523994,PM
15,7,0.23183391003460163,14,156,0.0007313372556296582,30.291446962976995,Don Valley West,0.007653444562022909,PM
16,17,0.6574394463667811,4,123,0.002619280662815861,22.961197918076145,Don Valley East,0.028632628345980744,PM
17,13,1.048442906574394,6,117,0.004386790404076963,24.416753467597097,Don Valley North,0.04293948857556997,PM
18,12,0.4290657439446358,5,125,0.0016826107605671992,19.75882362536991,Willowdale,0.021715146209095388,PM
19,8,0.4394463667820066,6,139,0.0015528140168975498,16.80175712271847,Beaches-East York,0.026154786286477733,PM
20,14,0.45328719723183314,16,195,0.0011475625246375523,28.187889894594186,Scarborough Southwest,0.016080919817937973,PM
21,17,1.0103806228373695,12,163,0.0030525094345539862,28.20183652636778,Scarborough Centre,0.03582676688068513,PM
22,22,1.401384083044982,6,127,0.005410749355386031,21.395977487483425,Scarborough-Agincourt,0.06549754896053649,PM
23,22,0.7923875432525942,7,159,0.002453212208212366,30.433948652080108,Scarborough North,0.026036304138879324,PM
24,5,0.37370242214532856,5,87,0.002087723028744852,26.11473129470679,Scarborough-Guildwood,0.014310023638691412,PM
25,10,0.3114186851211068,10,168,0.000913251276014976,54.085105633097456,Scarborough-Rouge Park,0.005757938003000474,PM
1,15,0.8793969849246226,3,191,0.0022723436302961825,48.35226406897412,Etobicoke North,0.018187296952013866,EV
2,9,0.21105527638190938,5,173,0.0006012970837091436,37.33975371399385,Etobicoke Centre,0.005652294281277276,EV
3,23,0.8391959798994973,22,250,0.001661774217622767,40.01243087294999,Etobicoke-Lakeshore,0.020973381561449383,EV
4,14,0.6281407035175876,6,122,0.002522653427781476,15.324932601367276,Parkdale-High Park,0.0409881543923753,EV
5,23,1.1005025125628134,8,201,0.00270393737730421,24.973566676277184,York South-Weston,0.04406669366967913,EV
6,10,0.47738693467336646,13,166,0.0014165784411672596,35.35267319595879,York Centre,0.013503559745743276,EV
7,8,0.5778894472361804,7,134,0.002116811162037291,30.694206585929987,Humber River-Black Creek,0.018827313409074432,EV
8,8,0.251256281407035,8,148,0.0008347384764353322,22.657719856949853,Eglinton-Lawrence,0.011089212992011047,EV
9,12,0.7989949748743713,0,101,0.0038598791056732914,12.092764199593494,Davenport,0.0660721537017343,EV
10,7,0.909547738693467,4,69,0.006360473697157112,9.301089014978645,Spadina-Fort York,0.09778938113899507,EV
11,16,0.8090452261306529,4,103,0.003834337564600251,13.594704244601502,University-Rosedale,0.05951179309045485,EV
12,4,0.1457286432160803,10,91,0.0007792975573052423,13.119079184300707,Toronto-St. Paul's,0.011108145714256404,EV
13,7,0.3115577889447234,3,67,0.0022414229420483697,5.861978760182593,Toronto Centre,0.053148911262008526,EV
14,18,1.0804020100502505,9,155,0.003429847650953176,21.79805561500022,Toronto-Danforth,0.04956414595560429,EV
15,5,0.14070351758793959,14,153,0.000452422886134854,30.291446962976995,Don Valley West,0.0046449916294824456,EV
16,13,0.708542713567839,4,117,0.0029646138643005817,22.961197918076145,Don Valley East,0.03085826428115236,EV
17,13,0.9899497487437181,5,114,0.00424871136799879,24.416753467597097,Don Valley North,0.04054387288045715,EV
18,11,0.32160804020100475,5,124,0.0012711780245099002,19.75882362536991,Willowdale,0.016276679538151595,EV
19,8,0.39698492462311524,6,139,0.0014027735852406898,16.80175712271847,Beaches-East York,0.02362758381302469,EV
20,14,0.43718592964824093,16,195,0.0011067998218942808,28.187889894594186,Scarborough Southwest,0.015509707583045566,EV
21,11,0.8241206030150747,13,158,0.002567353903473753,28.20183652636778,Scarborough Centre,0.0292222317594299,EV
22,19,1.326633165829146,5,122,0.005327844039474482,21.395977487483425,Scarborough-Agincourt,0.0620038587442533,EV
23,19,0.7386934673366832,7,154,0.0023600430266347704,30.433948652080108,Scarborough North,0.024272021872068013,EV
24,5,0.402010050251256,5,87,0.0022458662025209835,26.11473129470679,Scarborough-Guildwood,0.015393995278547618,EV
25,9,0.3065326633165827,10,158,0.000954930415316457,54.085105633097456,Scarborough-Rouge Park,0.005667598495527382,EV
