o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1018-0-4-54,1034-0-99-99,13465571,13465673,301.0,0.5
1018-0-4-54,1034-0-99-99,13465673,13465795,301.0,1.0
1018-0-4-54,1034-0-99-99,13465795,13465894,301.0,1.0
1018-0-4-54,1034-0-99-99,13465894,13465979,301.0,1.0
1018-0-4-54,1034-0-99-99,13465979,13466110,301.0,1.0
1018-0-4-54,1034-0-99-99,13466110,13466199,301.0,1.0
1021-0-4-54,1361-0-99-99,106,215,300.0,1.0
1021-0-4-54,1361-0-99-99,13463747,156,300.0,1.0
1021-0-4-54,1361-0-99-99,13465043,210,300.0,1.0
1021-0-4-54,1361-0-99-99,13465705,208,300.0,1.0
1021-0-4-54,1361-0-99-99,13466999,13467131,300.0,1.0
1021-0-4-54,1361-0-99-99,13467131,13467231,300.0,1.0
1021-0-4-54,1361-0-99-99,13467231,202,300.0,1.0
1021-0-4-54,1361-0-99-99,13468356,13468457,49.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,13468356,13468572,49.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13468457,13468356,49.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,13468457,13468541,49.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,13468541,13468457,49.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,13468541,13468614,49.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,13468572,13468356,49.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13468572,200,49.0,0.2922077922077922
1021-0-4-54,1361-0-99-99,13468572,200,111.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,13468614,13468541,49.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,13468683,13468572,111.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13468683,13468811,111.0,0.2922077922077922
1021-0-4-54,1361-0-99-99,13468683,13468811,112.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13468811,13468683,111.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13468811,13468974,111.0,0.17532467532467533
1021-0-4-54,1361-0-99-99,13468811,13468974,112.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13468974,13469211,111.0,0.17532467532467533
1021-0-4-54,1361-0-99-99,13468974,13469211,112.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13469211,13469285,111.0,0.17532467532467533
1021-0-4-54,1361-0-99-99,13469211,13469285,112.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13469285,13469317,111.0,0.17532467532467533
1021-0-4-54,1361-0-99-99,13469285,13469317,112.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,13469317,13454935,191.0,1.0
1021-0-4-54,1361-0-99-99,13469317,200,191.0,0.17532467532467533
1021-0-4-54,1361-0-99-99,156,214,300.0,1.0
1021-0-4-54,1361-0-99-99,200,13468572,45.0,0.05844155844155844
1021-0-4-54,1361-0-99-99,200,13468572,49.0,0.17532467532467533
1021-0-4-54,1361-0-99-99,200,13468683,111.0,0.2922077922077922
1021-0-4-54,1361-0-99-99,200,13468683,112.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,200,13469317,191.0,0.7662337662337663
1021-0-4-54,1361-0-99-99,200,13469317,192.0,0.11688311688311688
1021-0-4-54,1361-0-99-99,201,200,2.0,0.12337662337662338
1021-0-4-54,1361-0-99-99,201,200,300.0,0.8766233766233766
1021-0-4-54,1361-0-99-99,201,202,300.0,0.11688311688311688
