INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13453668,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13455212,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13457785,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13445306,1.0,1021-0-4-39,1386-0-99-99,1021,1386
1386,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13448917,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13444464,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13445250,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13455032,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13447518,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13446504,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13456266,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13459944,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13452847,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13451896,1.0,1021-0-4-39,1386-0-99-99,1021,1386
106,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13448285,1.0,1021-0-4-39,1386-0-99-99,1021,1386
114,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13455968,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13446751,1.0,1021-0-4-39,1386-0-99-99,1021,1386
115,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13447223,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13444609,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13454680,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13447821,1.0,1021-0-4-39,1386-0-99-99,1021,1386
108,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13444337,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13445620,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13444838,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13444656,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13447608,1.0,1021-0-4-39,1386-0-99-99,1021,1386
