o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1021-0-4-39,1386-0-99-99,13443870,13444138,353.0,1.0
1021-0-4-39,1386-0-99-99,13444082,13443870,320.0,1.0
1021-0-4-39,1386-0-99-99,13444138,13444337,353.0,1.0
1021-0-4-39,1386-0-99-99,13444337,13444464,353.0,1.0
1021-0-4-39,1386-0-99-99,13444464,13444609,353.0,1.0
1021-0-4-39,1386-0-99-99,13444488,13444082,320.0,1.0
1021-0-4-39,1386-0-99-99,13444609,13444656,353.0,1.0
1021-0-4-39,1386-0-99-99,13444653,13444488,320.0,1.0
1021-0-4-39,1386-0-99-99,13444656,13444817,353.0,1.0
1021-0-4-39,1386-0-99-99,13444817,13444956,353.0,1.0
1021-0-4-39,1386-0-99-99,13444838,13444653,320.0,1.0
1021-0-4-39,1386-0-99-99,13444956,13445128,353.0,1.0
1021-0-4-39,1386-0-99-99,13445128,13445306,353.0,1.0
1021-0-4-39,1386-0-99-99,13445250,13444838,320.0,1.0
1021-0-4-39,1386-0-99-99,13445306,14673438,353.0,1.0
1021-0-4-39,1386-0-99-99,13445620,13445817,353.0,1.0
1021-0-4-39,1386-0-99-99,13445817,13445906,353.0,1.0
1021-0-4-39,1386-0-99-99,13445906,13446042,353.0,1.0
1021-0-4-39,1386-0-99-99,13446042,13446357,60.0,1.0
1021-0-4-39,1386-0-99-99,13446357,13446566,60.0,1.0
1021-0-4-39,1386-0-99-99,13446504,116,320.0,1.0
1021-0-4-39,1386-0-99-99,13446566,13446751,60.0,1.0
1021-0-4-39,1386-0-99-99,13446725,13446504,320.0,1.0
1021-0-4-39,1386-0-99-99,13446751,13446896,60.0,1.0
1021-0-4-39,1386-0-99-99,13446896,13447070,60.0,1.0
1021-0-4-39,1386-0-99-99,13446936,13446725,320.0,1.0
1021-0-4-39,1386-0-99-99,13447070,13447223,60.0,1.0
1021-0-4-39,1386-0-99-99,13447144,13446936,320.0,1.0
1021-0-4-39,1386-0-99-99,13447223,13447518,60.0,1.0
1021-0-4-39,1386-0-99-99,13447518,13447608,60.0,1.0
1021-0-4-39,1386-0-99-99,13447608,13447719,60.0,1.0
1021-0-4-39,1386-0-99-99,13447719,13447821,60.0,1.0
1021-0-4-39,1386-0-99-99,13447821,13447902,60.0,1.0
1021-0-4-39,1386-0-99-99,13447902,13448007,60.0,1.0
1021-0-4-39,1386-0-99-99,13448007,13448082,60.0,1.0
