station1,station2,depart_time,arrival_time
lawrence_east,kennedy,2019-12-13 07:05:00.289999872-05:00,2019-12-13 07:09:59.864999936-05:00
lawrence_east,kennedy,2019-12-13 07:10:05.120000-05:00,2019-12-13 07:14:34.550000128-05:00
lawrence_east,kennedy,2019-12-13 07:15:19.318499840-05:00,2019-12-13 07:20:23.289999872-05:00
lawrence_east,kennedy,2019-12-13 07:18:25.321999872-05:00,2019-12-13 07:25:04.980999936-05:00
lawrence_east,kennedy,2019-12-13 07:21:39.696999936-05:00,2019-12-13 07:29:05.772999936-05:00
lawrence_east,kennedy,2019-12-13 07:22:02.408000-05:00,2019-12-13 07:30:08.880000-05:00
lawrence_east,kennedy,2019-12-13 07:30:31.676999936-05:00,2019-12-13 07:36:51.401500160-05:00
lawrence_east,kennedy,2019-12-13 07:37:31.570500096-05:00,2019-12-13 07:43:54.522500096-05:00
lawrence_east,kennedy,2019-12-13 07:44:37.577999872-05:00,2019-12-13 07:49:03.516000-05:00
lawrence_east,kennedy,2019-12-13 07:44:37.079000064-05:00,2019-12-13 07:49:50.328999936-05:00
lawrence_east,kennedy,2019-12-13 07:49:36.804999936-05:00,2019-12-13 07:53:46.300000-05:00
lawrence_east,kennedy,2019-12-13 07:56:19.967500032-05:00,2019-12-13 08:02:36.230499840-05:00
lawrence_east,kennedy,2019-12-13 07:59:59.288000-05:00,2019-12-13 08:05:17.340000-05:00
lawrence_east,kennedy,2019-12-13 08:02:56.948999936-05:00,2019-12-13 08:10:16.441999872-05:00
lawrence_east,kennedy,2019-12-13 08:09:35.976999936-05:00,2019-12-13 08:14:12.068999936-05:00
lawrence_east,kennedy,2019-12-13 08:14:36.551500032-05:00,2019-12-13 08:19:53.312999936-05:00
lawrence_east,kennedy,2019-12-13 08:19:58.755500032-05:00,2019-12-13 08:24:57.736000-05:00
lawrence_east,kennedy,2019-12-13 08:24:43.831000064-05:00,2019-12-13 08:29:32.021000192-05:00
lawrence_east,kennedy,2019-12-13 08:27:44.582000128-05:00,2019-12-13 08:34:45.565499904-05:00
lawrence_east,kennedy,2019-12-13 08:34:55.696999936-05:00,2019-12-13 08:39:38.531000064-05:00
lawrence_east,kennedy,2019-12-13 08:39:28.299000064-05:00,2019-12-13 08:44:13.036000-05:00
lawrence_east,kennedy,2019-12-13 08:42:50.751000064-05:00,2019-12-13 08:49:11.294000128-05:00
lawrence_east,kennedy,2019-12-13 08:49:34.160999936-05:00,2019-12-13 08:53:59.116000-05:00
lawrence_east,kennedy,2019-12-13 08:55:06.550000128-05:00,2019-12-13 09:00:04.860999936-05:00
lawrence_east,kennedy,2019-12-13 08:59:54.716999936-05:00,2019-12-13 09:04:32.073999872-05:00
lawrence_east,kennedy,2019-12-13 08:59:40.591000064-05:00,2019-12-13 09:05:28.508999936-05:00
lawrence_east,kennedy,2019-12-13 09:04:47.211000064-05:00,2019-12-13 09:09:08.838000128-05:00
lawrence_east,kennedy,2019-12-13 09:09:44.681999872-05:00,2019-12-13 09:14:32.035000064-05:00
lawrence_east,kennedy,2019-12-13 09:13:57.390499840-05:00,2019-12-13 09:18:59.804000-05:00
lawrence_east,kennedy,2019-12-13 09:10:26.519000064-05:00,2019-12-13 09:19:52.024999936-05:00
lawrence_east,kennedy,2019-12-13 09:16:32.239499776-05:00,2019-12-13 09:24:44.594500096-05:00
lawrence_east,kennedy,2019-12-13 09:24:22.964000-05:00,2019-12-13 09:29:45.968500224-05:00
lawrence_east,kennedy,2019-12-13 09:29:19.623000064-05:00,2019-12-13 09:33:55.011000064-05:00
lawrence_east,kennedy,2019-12-13 09:34:58.402500096-05:00,2019-12-13 09:39:46.012499968-05:00
lawrence_east,kennedy,2019-12-13 09:37:47.172999936-05:00,2019-12-13 09:43:35.203000064-05:00
lawrence_east,kennedy,2019-12-13 09:41:18.956000-05:00,2019-12-13 09:49:14.488999936-05:00
lawrence_east,kennedy,2019-12-13 09:46:15.620000-05:00,2019-12-13 09:52:03.192999936-05:00
lawrence_east,kennedy,2019-12-13 09:49:33.985999872-05:00,2019-12-13 09:53:46.720000-05:00
lawrence_east,kennedy,2019-12-13 09:57:19.761499904-05:00,2019-12-13 10:02:41.868000-05:00
lawrence_east,kennedy,2019-12-13 10:00:30.548499968-05:00,2019-12-13 10:09:52.481500160-05:00
lawrence_east,kennedy,2019-12-13 10:04:13.512000-05:00,2019-12-13 10:11:03.006000128-05:00
lawrence_east,kennedy,2019-12-13 10:14:31.499500032-05:00,2019-12-13 10:19:20.005499904-05:00
lawrence_east,kennedy,2019-12-13 10:14:43.328000-05:00,2019-12-13 10:20:11.864000-05:00
lawrence_east,kennedy,2019-12-13 10:20:04.980999936-05:00,2019-12-13 10:25:16.264000-05:00
lawrence_east,kennedy,2019-12-13 10:25:24.697999872-05:00,2019-12-13 10:30:18.907000064-05:00
lawrence_east,kennedy,2019-12-13 10:30:00.084999936-05:00,2019-12-13 10:35:42.220999936-05:00
