ward,cc,neighbor_avg,transfer_avg,mean_random,cc_normalized,ward_name,period
1,6.185034373729825e-05,0.08022119341563784,0.018077601410934743,0.026995884773662552,0.0022911026719761394,Etobicoke North,EM
2,0.001553494469896317,0.0736431778098444,0.012987012987012988,0.033465972859912256,0.04642011981540793,Etobicoke Centre,EM
3,0.0007816019632320388,0.12306096681096669,0.01682900432900433,0.03190082644628099,0.024500994184216758,Etobicoke-Lakeshore,EM
4,0.0019055664862288706,0.15652744148506853,0.04479418886198547,0.06837115771330078,0.027870911506565958,Parkdale-High Park,EM
5,0.0009137189338615091,0.09982993197278907,0.021598639455782314,0.035918367346938776,0.02543876577228065,York South-Weston,EM
6,0.0019158004174906732,0.09960317460317458,0.025931677018633546,0.03190926275992439,0.06003900597467808,York Centre,EM
7,0.0007835819607946475,0.10126798115079366,0.023809523809523808,0.035590277777777776,0.022016741922815462,Humber River-Black Creek,EM
8,0.0069382940420091785,0.20465873015873015,0.0331547619047619,0.0352,0.19711062619344255,Eglinton-Lawrence,EM
9,0.0012205766146578749,0.12314779635258355,0.03343465045592706,0.0377999094612947,0.03229046397340414,Davenport,EM
10,0.0026310796142112,0.18141041877744,0.0486322188449848,0.07876867360796741,0.03340261418271575,Spadina-Fort York,EM
11,0.0065668428071997765,0.2787093495934958,0.06750871080139374,0.09399167162403331,0.06986621999305585,University-Rosedale,EM
12,0.00560766536214695,0.20901875901875897,0.04448051948051948,0.06611570247933884,0.08481593860247262,Toronto-St. Paul's,EM
13,0.00908082733229575,0.2494665318957771,0.067722371967655,0.07262370950516198,0.12503943125695471,Toronto Centre,EM
14,0.0004972289021448026,0.1482735814632366,0.031130268199233712,0.04492006870128154,0.011069192824511798,Toronto-Danforth,EM
15,0.01211021989706309,0.28309960990045724,0.028450363196125913,0.061476587187589776,0.19698913767138607,Don Valley West,EM
16,0.00047619047619047624,0.1218088624338624,0.02093253968253968,0.06722222222222222,0.007083825265643448,Don Valley East,EM
17,0.0015401589079472168,0.10930588082227423,0.012295081967213115,0.060736361193227624,0.025358103081732718,Don Valley North,EM
18,0.004694533723877075,0.22552416488983648,0.03562544420753376,0.0507908220093562,0.09242878020387803,Willowdale,EM
19,0.0015485267640021937,0.1566385582010582,0.03442460317460318,0.06222222222222222,0.024887037278606684,Beaches-East York,EM
20,0.002829195733487011,0.11940541243819926,0.027029664324746294,0.02862133834990594,0.09884917675403913,Scarborough Southwest,EM
21,0.001781275426489769,0.10722272666128603,0.02305286521388216,0.031169204251651823,0.057148569213003556,Scarborough Centre,EM
22,0.0007563323807908024,0.10805555555555553,0.021587301587301586,0.04906666666666667,0.015414382760682114,Scarborough-Agincourt,EM
23,0.0013157290265660181,0.11157652361356056,0.0257201646090535,0.04420057918000305,0.029767234976895325,Scarborough North,EM
24,0.0011570188222939028,0.09877147205914318,0.019487932159165035,0.04841433664852693,0.02389826862017135,Scarborough-Guildwood,EM
25,0.002914285349158391,0.08047413147648992,0.018474842767295597,0.029547881808472766,0.0986292475395894,Scarborough-Rouge Park,EM
1,0.0024691826124968977,0.47877794948107444,0.17010073260073255,0.020294008875739646,0.12167051998526854,Etobicoke North,AM
2,0.00193363761606333,0.4930172025855017,0.14454467353951891,0.02189393134233181,0.08831842878417413,Etobicoke Centre,AM
3,0.005639504234429144,0.5134355648088833,0.16124813153961134,0.018098091656779745,0.31160767341547435,Etobicoke-Lakeshore,AM
4,0.007250121788715089,0.7021380678708267,0.2867405582922824,0.03537455410225922,0.20495302266586182,Parkdale-High Park,AM
5,0.004839007877042031,0.6973275373367734,0.23419540229885066,0.02477209671026556,0.1953410699804327,York South-Weston,AM
6,0.010094723653943967,0.6901085774445841,0.2826166180758018,0.021709704289879218,0.4649866953116444,York Centre,AM
7,0.004347643649744655,0.6013979591836732,0.2362925170068027,0.023706122448979593,0.1833975024427411,Humber River-Black Creek,AM
8,0.0030684403004146363,0.663332164315821,0.24223163841807904,0.023747965144115677,0.1292085566823792,Eglinton-Lawrence,AM
9,0.003566951051896578,0.8540362142232223,0.33173978252718406,0.03385206770413541,0.10536877933340641,Davenport,AM
10,0.012875998934156864,1.1246623168498167,0.4953067765567766,0.04031065088757396,0.31941927631156114,Spadina-Fort York,AM
11,0.0056715481839455335,0.8082567804024497,0.3891544806899138,0.03484406968813938,0.16276939619013792,University-Rosedale,AM
12,0.012559732184938967,0.8439140104966719,0.3499423963133641,0.032908428720083246,0.38165700014944975,Toronto-St. Paul's,AM
13,0.009502587451444488,1.0515158554830857,0.47950417280314184,0.04633861196726539,0.2050684525932137,Toronto Centre,AM
14,0.006594420776255116,0.7996141975308645,0.29394014550264547,0.02961033950617284,0.22270669253489592,Toronto-Danforth,AM
15,0.011910922044047865,0.6580620572145994,0.21657250470809794,0.02221583836062434,0.536145512525827,Don Valley West,AM
16,0.007724312812930735,0.7052175606453617,0.296891058581706,0.030640236012628747,0.25209704030174784,Don Valley East,AM
17,0.011562711697396495,0.737735747283988,0.2754086709310589,0.034417464914234794,0.33595477546674996,Don Valley North,AM
18,0.004426292900896058,0.6192496775280163,0.20798826777087645,0.029615626969124134,0.1494580177387669,Willowdale,AM
19,0.0032550845398991637,0.5439055457573974,0.18301734273956494,0.02507239750038104,0.1298274143846712,Beaches-East York,AM
20,0.005970451893753229,0.6545307352500747,0.25311657681940697,0.0200249199003204,0.29815109990316124,Scarborough Southwest,AM
21,0.008104603964328634,0.761893320696334,0.28180803571428564,0.023274739583333332,0.34821459270514077,Scarborough Centre,AM
22,0.013239679605727117,0.755359122815793,0.30562850140056025,0.03535899653979239,0.3744359541093712,Scarborough-Agincourt,AM
23,0.006972353253663684,0.5958728941474338,0.24200262927256797,0.025593737061989537,0.27242419646557414,Scarborough North,AM
24,0.013905336517281066,0.8678243616287092,0.306935817805383,0.03705103969754253,0.37530219477763693,Scarborough-Guildwood,AM
25,0.006874658529324893,0.5137816542802089,0.15489953206716214,0.022185839820909485,0.3098669504881999,Scarborough-Rouge Park,AM
1,0.0025086477612577744,0.37248179611650467,0.1291608876560333,0.020407201432745783,0.12292953394542137,Etobicoke North,MD
2,0.0015703488574743312,0.3336083353894238,0.09190722921292865,0.02179924293269618,0.07203685294588838,Etobicoke Centre,MD
3,0.004607935684799883,0.3602820294784582,0.11011904761904764,0.018140495867768596,0.25401376667917347,Etobicoke-Lakeshore,MD
4,0.0061394194988732016,0.502210387078808,0.2099519632414369,0.03570329332102185,0.17195667199861234,Parkdale-High Park,MD
5,0.003571422855333904,0.459564290275497,0.15380405035577455,0.024177566389219182,0.1477163912132367,York South-Weston,MD
6,0.008528625772074264,0.5254405477826875,0.21707781050564562,0.021362525241789776,0.39923303427585444,York Centre,MD
7,0.004695227097554526,0.482633489903898,0.19201490119857467,0.028321532694710536,0.16578294501806495,Humber River-Black Creek,MD
8,0.0030837881636338,0.5286715797430085,0.1745918367346939,0.023771428571428572,0.12972666553747958,Eglinton-Lawrence,MD
9,0.003696073498297167,0.6272512810898637,0.24240719910011246,0.03385206770413541,0.10918309423815935,Davenport,MD
10,0.011093264962612781,0.8171807359307356,0.3594276094276093,0.041016222834404654,0.2704604226332534,Spadina-Fort York,MD
11,0.0038939830480241664,0.5886380034107308,0.28049980322707596,0.0357899050611297,0.1088011561185531,University-Rosedale,MD
12,0.009205948551937931,0.5570705542103845,0.21433615819209037,0.03375466819879345,0.27273112263230587,Toronto-St. Paul's,MD
13,0.0035651736537227244,0.7302961847389557,0.32415375788869766,0.05312817535201045,0.0671051401652892,Toronto Centre,MD
14,0.005674110234843589,0.5811996981891348,0.2005784708249497,0.03005356080142829,0.18879993197258435,Toronto-Danforth,MD
