0:56:36.241282,0,0,25494332
1:15:25.080552,10,10,25492852
1:32:09.784237,20,20,25491353
1:49:17.075849,30,30,25489881
2:06:19.809170,40,40,25488410
2:23:36.014832,50,50,25486894
2:40:18.593148,60,100,25479762
2:56:47.412573,70,150,25474107
3:13:52.435791,80,200,25470007
3:30:35.528197,90,250,25466157
3:47:27.105077,100,300,25462461
4:04:44.689981,110,550,25445232
4:22:12.093589,120,800,25428565
4:39:30.345608,130,1050,25413759
4:57:45.502021,140,1300,25398753
5:16:34.091747,150,1550,25384670
5:35:41.118178,160,2050,25356209
6:00:30.214585,170,2550,25327613
6:49:01.227216,180,3050,25301966
7:30:28.342645,190,3550,25278725
8:03:42.862928,200,4050,25254206
8:23:53.404401,210,5050,25210114
8:35:36.647172,220,6050,25170095
8:39:15.389205,230,7050,25135651
8:41:20.365934,240,8050,25105128
8:43:10.297547,250,9050,25076873
0:02:35.151754,0,0,25494332
0:15:55.817257,10,10,25492851
0:29:52.289446,20,20,25491365
0:44:13.088482,30,30,25489881
0:59:04.443139,40,40,25488410
1:14:13.965874,50,50,25486906
1:29:27.514550,60,100,25479831
1:44:20.577802,70,150,25473897
1:59:38.944663,80,200,25470041
2:14:52.155614,90,250,25466692
2:30:11.701466,100,300,25462902
2:45:21.483104,110,550,25445635
3:01:07.439451,120,800,25429805
3:17:11.723361,130,1050,25415183
3:33:55.055546,140,1300,25400601
3:50:37.022768,150,1550,25388156
4:07:36.584825,160,2050,25359877
4:30:38.741881,170,2550,25332573
5:14:45.906943,180,3050,25306202
5:55:54.328485,190,3550,25280837
6:31:25.418990,200,4050,25257486
6:56:13.857082,210,5050,25213451
7:04:44.445329,220,6050,25172603
7:07:58.537831,230,7050,25136610
7:10:07.486740,240,8050,25106424
7:12:02.696085,250,9050,25078521
