0:45:07.730574,0,0,23203653
1:02:14.425583,10,10,23202051
1:19:09.464065,20,20,23200476
1:34:51.920928,30,30,23198870
1:51:17.911360,40,40,23197258
2:08:43.824212,50,50,23195687
2:26:28.789874,60,100,23188186
2:44:49.807306,70,150,23181679
3:03:16.047145,80,200,23177302
3:22:47.120757,90,250,23172629
3:44:55.779768,100,300,23168003
4:07:48.652469,110,550,23147374
4:26:53.491018,120,800,23128072
4:45:57.367901,130,1050,23110187
5:04:01.218847,140,1300,23093076
5:21:43.093976,150,1550,23074485
5:39:31.684767,160,2050,23042981
5:57:26.068569,170,2550,23011538
6:14:58.069977,180,3050,22982715
6:42:35.142089,190,3550,22953786
7:10:10.362377,200,4050,22927238
7:30:49.587340,210,5050,22881202
7:40:22.121385,220,6050,22838506
7:45:57.346669,230,7050,22797267
7:50:25.208243,240,8050,22763782
7:54:37.995193,250,9050,22732702
0:02:31.702855,0,0,23203653
0:15:54.459439,10,10,23202045
0:29:28.959113,20,20,23200479
0:43:29.009339,30,30,23198870
0:57:27.231065,40,40,23197263
1:12:09.897963,50,50,23195682
1:27:00.351565,60,100,23188497
1:42:08.436743,70,150,23181797
1:57:10.391725,80,200,23176993
2:12:16.445056,90,250,23172335
2:27:41.652853,100,300,23167843
2:43:37.311458,110,550,23147635
2:59:42.428164,120,800,23129204
3:15:30.740100,130,1050,23111910
3:30:59.713878,140,1300,23095398
3:46:33.313132,150,1550,23077707
4:01:32.001529,160,2050,23044181
4:17:02.925509,170,2550,23012255
4:34:18.907701,180,3050,22982793
4:59:42.313779,190,3550,22954398
5:30:46.808258,200,4050,22927778
5:49:57.327136,210,5050,22881373
5:59:13.229224,220,6050,22838727
6:04:18.624144,230,7050,22799557
6:07:41.229078,240,8050,22764907
6:10:07.808291,250,9050,22733302
